id_bgl,t_score,u_score,p_t,p_u,delta
4,1.1740732386694042,63.5,0.2754773531162165,0.37686571143689396,10.281092434402462
8,2.4574197222240977,83.5,0.048407959987292734,0.02488372328270136,35.94088095238418
12,1.7547599344099896,71.5,0.11589341037497217,0.1534378834105726,7.257956852577947
16,,,,1.0,0.0
20,,,,1.0,0.0
24,4.6238972814998265,88.5,0.0010139131683988482,0.00979219587072503,112.36999345047143
28,,,,1.0,0.0
31,3.8740249699584797,87.5,0.003398715915908429,0.011899644584157432,31.279403935749134
32,-0.352070740843391,44.5,0.7372539486066441,0.7339474627492532,0.8263401332407836
36,0.07740142963881122,52.5,0.9402755454453786,0.8918594638362826,3.3591582728841907
40,5.898585819847805,93.5,6.307463364319566e-06,0.003467193190765815,16.08558904888209
44,,,,1.0,0.0
48,,,,1.0,0.0
50,3.7473459466191006,81.5,0.0011773731722157477,0.035095797419284286,12.149700903777736
51,6.243625661346851,94.5,3.3593467317392132e-06,0.002781224934389138,33.36126621132676
52,,,,1.0,0.0
56,4.557935734105892,88.5,0.0003255072218548601,0.00979219587072503,38.26361547380867
60,,,,1.0,0.0
64,-0.7290283884817486,-41.5,0.4751895990780065,0.5865744278376042,-10.714683247786997
68,2.2930566647917723,83.5,0.06363087163070574,0.02488372328270136,12.761406080799437
70,1.8795690130562375,76.5,0.11811350478291423,0.0771659313616824,17.005168184000564
72,4.779777763291415,86.5,0.00016864134794676314,0.014399864726701132,79.14172624475717
76,1.317465698669815,69.5,0.24885575805885385,0.1965160943128864,2.284808912077373
84,2.4130335288581883,64.5,0.025273408145734963,0.3412684763150512,6.560239104760028
90,,,,1.0,0.0
92,,,,1.0,0.0
96,,,,1.0,0.0
100,3.8197348068519235,89.5,0.0045052538902972394,0.008024002332133759,24.81614742943354
104,1.952172262850261,73.5,0.07461878716466468,0.11794806736103866,13.058374861402438
108,,,,1.0,0.0
112,2.705699206858628,88.5,0.03474671012121313,0.00979219587072503,34.358525218475584
116,3.5594542207723006,89.5,0.010138273077796673,0.008024002332133759,1253.357369267877
120,4.408625809247605,87.5,0.0011044900763209852,0.011899644584157432,44.96679230191544
124,0.3902710963655038,-48.5,0.7017661219429487,0.9458048585528951,-2.5112010766102753
132,,,,1.0,0.0
136,,,,1.0,0.0
140,,,,1.0,0.0
144,-0.3863191198874028,-42.5,0.7158855374088797,0.6341948173294822,-7.261201795963579
148,,,,1.0,0.0
152,0.9757639013827962,60.5,0.35461618834131214,0.49665738654204294,2.3976447391237583
156,0.8949458881879977,59.5,0.39007160640631333,0.5406815690956761,2.654835247670112
162,,,,1.0,0.0
166,,,,1.0,0.0
170,3.459756984952562,76.5,0.002349521643593788,0.0771659313616824,73.55753367659092
174,,,,1.0,0.0
175,,,,1.0,0.0
178,1.5406730013662295,61.5,0.13731531273778558,0.4546204062737812,97.24546093082577
180,2.156884865337808,79.5,0.06336401043778175,0.048689610702269216,38.44489336775065
184,,,,1.0,0.0
188,5.343919669196656,86.5,3.040135614426949e-05,0.014399864726701132,88.26148024159312
191,1.68512769162845,78.5,0.11625934929192953,0.05699830641051993,14.762459837712939
192,1.8334300328824762,76.5,0.1264126281974316,0.0771659313616824,32.86340372275376
196,1.9512393601152829,73.5,0.06978708688682335,0.11794806736103866,46.558777486215966
203,2.9800044780956987,78.5,0.009292433871011108,0.05699830641051993,9.904539477705072
204,2.2980184164540254,70.5,0.03544275555128673,0.17398281795260206,8.738414164533713
208,,,,1.0,0.0
212,,,,1.0,0.0
214,1.017293371332104,62.5,0.3566150076976137,0.4146659024229229,20.455485861219138
218,2.4715845425934297,81.5,0.0344606430963317,0.035095797419284286,110.76333428397709
222,0.6809983917312783,-54.5,0.5218424182557988,0.7856962962493347,-0.16179436158780822
226,,,,1.0,0.0
231,1.9808901183291248,68.5,0.061037913729029364,0.2211162550702167,26.136154110201193
232,1.6411027433045249,76.5,0.11542807333197982,0.0771659313616824,219.8618140242134
233,,,,1.0,0.0
234,,,,1.0,0.0
238,,,,1.0,0.0
239,,,,1.0,0.0
242,3.830610635015292,84.5,0.0018472975814974272,0.020822974945909827,49.541534024303516
246,4.345989804079471,91.5,0.0007313328547535606,0.005319686062957794,21.77489377607068
248,,,,1.0,0.0
250,1.87044428489157,75.5,0.10537957618035887,0.08924454710859073,16.773533148285672
254,2.9370567937296275,83.5,0.015522104595601207,0.02488372328270136,12.683641793069217
258,,,,1.0,0.0
262,,,,1.0,0.0
266,4.730848187455254,78.5,9.105552932993473e-05,0.05699830641051993,708.1655727372099
268,0.9254186524525023,54.5,0.3682682831075189,0.7856962962493347,1.8616739486599077
270,,,,1.0,0.0
276,4.438662923079249,90.5,0.0007534271128873633,0.006547287612860911,26.14872549372793
288,2.509037196970598,82.5,0.045284457225413396,0.029613094352645416,82.15678747508682
292,,,,1.0,0.0
296,,,,1.0,0.0
300,3.247900437275888,88.5,0.015912672559227754,0.00979219587072503,28.304744146879067
304,3.0189216438300703,77.5,0.006406501611031128,0.06640182830294607,10.624793890748254
308,,,,1.0,0.0
312,,,,1.0,0.0
316,,,,1.0,0.0
320,1.9793757924058735,73.5,0.09529245360040373,0.11794806736103866,8.618248740366761
324,-1.8902226584657038,-27.5,0.09164259731512078,0.13479216155813392,-1.7449242416626969
328,,,,1.0,0.0
332,,,,1.0,0.0
334,,,,1.0,0.0
336,,,,1.0,0.0
340,2.202337532674942,75.5,0.06824918722139964,0.08924454710859073,6.8870940620473124
344,,,,1.0,0.0
348,-1.4531974897612254,52.5,0.16011110940568235,0.8918594638362826,3.5184338447972543
352,6.919152515919099,86.5,4.839432177389809e-07,0.014399864726701132,596.2941670317888
356,2.7933674811682985,77.5,0.01651131544278637,0.06645414979996266,10.340512832672088
360,3.7539910163485057,88.5,0.004295178399439867,0.00979219587072503,17.186797472216664
364,3.36998355127981,82.5,0.0075593577125675614,0.029613094352645416,14.081940844518744
368,1.0256272013234047,67.5,0.3497693240311183,0.24784912392821346,15.508994418117108
372,5.336626981355169,91.5,2.0695569893963727e-05,0.005319686062957794,59.12746929410425
376,0.7295629749118528,60.5,0.4836958277148826,0.496574485248665,31.428777758298132
380,2.3905942115404053,84.5,0.05392596232879994,0.020822974945909827,16.965414331189475
