"id_bgl_3","aggregation_year","permanent_area","seasonal_area","maybepermanent","maybeseasonal"
"281_4","1984","0.0860409991210783","0.941157289003433","6.99824236024139","64.9798958758616"
"281_4","1985","2.839203291125","11.7780500564994","3.70347122880516","42.6524962850954"
"281_4","1986","4.50832049964183","28.5177879322793","1.12682433030568","12.7526758247959"
"281_4","1987","3.88650153326852","42.6843755763403","0","0.741166611242236"
"281_4","1988","0.918988377806347","1.68525482880673","4.82593937068333","51.6303392992638"
"281_4","1989","4.35278615454764","19.5096431705028","0.0818192646838725","11.8040149205013"
"281_4","1990","5.57711622469451","40.4477494834126","0.0963615500856666","7.57850482149127"
"281_4","1991","5.73532862876355","39.9532878110761","0.0251330285682343","9.49172951219234"
"281_4","1992","6.50612656357972","44.6122634785396","0.000728764978703111","6.64309176788095"
"281_4","1993","6.32359961589625","55.4100178389315","0","2.38620438021904"
"281_4","1994","5.47539294343305","36.9131502373411","0.0616377619654397","11.2344031450021"
"281_4","1995","6.7499313852154","38.1390097591369","0.747647276136787","16.3870514973313"
"281_4","1996","5.75633787902725","34.3046814014348","0.0661982555757277","8.2467239685505"
"281_4","1997","4.5997846659193","30.1652825726107","1.08017418947523","25.1703791235583"
"281_4","1998","4.85069882996294","53.0326835712859","0","1.61994882738332"
"281_4","1999","5.58548297841175","46.8445044504905","0","7.13700770895024"
"281_4","2000","3.45836456870756","34.9839483147213","0","0.41096204662166"
"281_4","2001","2.78553581220924","26.9167779710018","0.00220600352622569","1.25305235421436"
"281_4","2002","3.28285011630939","33.0670860917892","0.00956676038913429","1.75619977385824"
"281_4","2003","6.27373684356697","36.6411005635225","0.0308913784101605","3.98651252376651"
"281_4","2004","3.70220086405524","31.8917884026287","0","0.391954581670728"
"281_4","2005","5.24189095370353","38.866435429221","0","0.724671092215816"
"281_4","2006","3.85232182175615","30.8852293485419","0","2.44329687789192"
"281_4","2007","5.22281051100638","40.9115212623425","0","1.69459045136384"
"281_4","2008","3.30337114301099","34.0129539294581","0","0.290758147361853"
"281_4","2009","5.67433323637587","45.8412234351699","0","0.119454881459173"
"281_4","2010","5.33120600528486","44.0955981388565","0","0.11057113593321"
"281_4","2011","3.69262659982436","40.4871686679715","0","0.219512136215481"
"281_4","2012","4.92057310591164","38.5387338994297","0","1.06982092250517"
"281_4","2013","3.95118177968018","37.5957971951235","0","0.0960576823563315"
"281_4","2014","4.97015348015326","39.5071978709215","0","0.0455450902227312"
"281_4","2015","5.18897027008363","42.8138695968091","0","0.353520097676665"
"281_4","2016","5.66992807700025","47.7217514311589","0","0.223708948295098"
"281_4","2017","5.50851557249062","54.7064472011051","0","0.469587782800983"
"281_4","2018","3.65319427346181","42.4236960187333","0","0.406163551902864"
"281_4","2019","5.50971973341109","68.1296352128934","0","0.230184169777203"
"281_4","2020","6.16993390258776","73.826257131219","0","0.269955947354902"
"281_4","2021","3.10775885651888","51.4526873842551","0","0.207001187838614"
"291_4","1984","0.00228225253522396","0.122049994650297","2758.32627799529","2681.110269115"
"291_4","1985","717.786856353568","551.528677767709","1138.12663093265","696.804680547948"
"291_4","1986","584.915493671908","1162.35761347443","184.140527715405","339.56113748847"
"291_4","1987","348.808472450137","1059.69612598353","66.4791467884683","218.025714179966"
"291_4","1988","200.603333836944","107.926452920728","1062.28403901024","1067.25629092233"
"291_4","1989","377.136487406271","896.901997665342","1.4435695790914","193.175772724775"
"291_4","1990","494.78401502944","2490.34183218075","85.9483681626956","257.531006630013"
"291_4","1991","2100.49115754772","2330.97847837913","22.5799654163952","245.301452346379"
"291_4","1992","2780.74976837392","2131.54322434227","0.00517090357607231","95.4143289847827"
"291_4","1993","2849.89124127396","2185.02100484561","0.0166244403226301","55.8177338388575"
"291_4","1994","2804.36576873351","1326.96127964395","0.00603362265974283","363.108486565941"
"291_4","1995","2718.98705738808","1200.44369370973","5.43351634975943","496.550539115844"
"291_4","1996","2349.31367123825","1245.20739567951","1.84457433307612","147.570627811927"
"291_4","1997","2178.96428772575","847.783807738517","38.9640214764251","564.306346074225"
"291_4","1998","1990.47185674238","2240.98092492642","0.00297170941485092","14.8368499725452"
"291_4","1999","1682.70673195918","1692.71555522212","0.0227589541464113","240.241395358978"
"291_4","2000","969.391881672471","1038.48650181195","0","4.91293386428151"
"291_4","2001","399.843685155234","592.278839263113","0","6.05903730882953"
"291_4","2002","230.519589016164","463.813803871284","0.00147739425301552","14.1502190039925"
"291_4","2003","115.59631326469","1434.54325515108","0.0136748999357224","9.80967067886148"
"291_4","2004","16.3007637337581","542.165947982679","0","19.0651696936488"
"291_4","2005","317.113482238596","1970.05397537409","0","11.6008042536489"
"291_4","2006","28.9163464767473","761.249373609269","0","7.59643057453464"
"291_4","2007","279.347534809089","1957.74838492001","0","8.38383528283391"
"291_4","2008","26.274095349206","1203.44817349556","0","3.4503154160795"
"291_4","2009","57.8166547533556","2166.74233102601","0","1.02314722843938"
"291_4","2010","178.428443861807","1427.78310058681","0","0.758709892164916"
"291_4","2011","39.9745918911523","1220.55659986629","0","2.94543544386409"
"291_4","2012","47.1921763361893","1025.5822296207","0","9.24951778706916"
"291_4","2013","45.0798609362568","660.338448875412","0","4.52190817158039"
"291_4","2014","53.0161046416074","1558.8057313102","0","0.39727177826811"
"291_4","2015","38.6414880230724","1086.34545195584","0","9.47428112156945"
"291_4","2016","38.6640541727221","1391.44030544328","0","2.4708348767663"
"291_4","2017","33.005900313962","1447.03169698236","0","1.61368697205029"
"291_4","2018","15.7265300692438","725.33704238377","0","0.384964721510187"
