,id_bgl_0,aggregation_year,permanent_area,seasonal_area,maybepermanent,maybeseasonal
0,4,1984,0.0883232516563023,1.06320728365373,3470.66267216139,3772.49134290375
1,4,1985,735.731721807789,572.588012023444,1714.99801222862,1616.91303585248
2,4,1986,649.667226401832,1238.47700632552,709.995726578731,1038.25806665995
3,4,1987,541.333998313478,1312.76326071934,421.876596354068,665.027619272619
4,4,1988,423.143131101029,209.109048573841,1493.41815505849,1874.83467458909
5,4,1989,629.531302456841,1059.33962239648,197.823101837666,504.907283439156
6,4,1990,750.971652553543,2747.0903442524,368.434184428901,713.586780149911
7,4,1991,2505.41887161396,2748.92644056527,146.242707010773,470.811039208476
8,4,1992,3241.68771014491,2710.80705655824,76.4930015371019,238.337413793394
9,4,1993,3317.15806054913,2763.9574699517,14.6115193119282,136.56030623
10,4,1994,3314.3282497577,1947.23937446635,5.9568297438392,433.423908170009
11,4,1995,3078.36983776088,1573.85303708944,190.15308583168,778.509133657134
12,4,1996,2846.37242005893,1663.40999858476,49.3176811014122,315.349217495976
13,4,1997,2589.4293943598,1054.77113964812,229.441949096124,1062.3891803246
14,4,1998,2395.00129611318,3003.6459368178,2.72663964518853,61.0709307688355
15,4,1999,2212.91520371799,2234.20188817535,3.58136444865365,298.7255096402
16,4,2000,1458.13783217506,1469.92675018348,1.11188889060229,21.9640489209425
17,4,2001,878.042017087128,959.491600691597,2.80237509898325,42.4883020151304
18,4,2002,715.403438532095,921.129566926112,3.14264887530886,55.9385492037057
19,4,2003,619.54545982471,1809.39668600825,27.2793428527506,104.660979442361
20,4,2004,524.854771322069,995.992365202424,3.77103503292573,58.2643951286461
21,4,2005,782.467331437147,2617.99877874507,3.07974215686257,47.8276467909564
22,4,2006,529.651437454244,1223.40848930151,1.01455193496738,38.2445730768868
23,4,2007,799.808940543686,2439.31491303573,1.15256090841128,35.9076390442783
24,4,2008,497.784125702108,1691.82507361665,0.48705622053171,28.8571406088701
25,4,2009,470.647089913551,2873.00235487675,1.98986186734903,11.8856494525409
26,4,2010,636.985911838049,2122.91431291076,2.66048164645018,23.9223087064123
27,4,2011,549.757865019538,1714.90476122344,0.289910238252852,31.2059595992193
28,4,2012,516.860878131591,1672.85233040114,3.04533588092172,35.6694865810504
29,4,2013,542.188223572604,1246.89475028418,0.24677504637169,21.0226418233901
30,4,2014,509.752849462267,2197.07352469124,0.771952573823806,13.3281915323587
31,4,2015,532.200695008647,1835.00634987523,0.737191765133392,21.4900227080574
32,4,2016,575.665208832162,2054.02044288218,0.130787868693005,6.99943024799999
33,4,2017,542.362555562886,2183.54060094108,0.0986935927649029,5.81832942217862
34,4,2018,493.362441144552,1389.77213099771,0.050614096224308,11.8891678274643
35,4,2019,567.828141301856,3064.50963854112,0.155461642018054,20.2340094149599
36,4,2020,587.933397609752,2704.04208765362,0.185747052955112,20.3404198696001
37,4,2021,537.205580690141,1092.43660425821,0.126647925210487,15.2549516048059
38,8,1984,213.083803150825,26.8181186001056,9.69307767672387,34.9288526431771
39,8,1985,50.8394559230918,10.3385274923605,159.340231461317,42.0564713712494
40,8,1986,217.724505553188,86.0673617721207,0.0484170917188749,2.87828482021646
41,8,1987,214.707707311479,82.1978757291936,0.0355408958008732,2.44226787482233
42,8,1988,0.0,0.0,249.866689544529,122.20626305897
43,8,1989,0.0,0.0,249.866689544529,122.20626305897
44,8,1990,208.939526299774,16.0472552191758,11.0351293487874,43.5929688865926
45,8,1991,28.6906460635962,22.4889427916624,218.272919737664,84.0281668002952
46,8,1992,0.0,0.0,249.866689544529,122.20626305897
47,8,1993,0.0,0.0,249.866689544529,122.20626305897
48,8,1994,0.0,0.0,249.866689544529,122.20626305897
49,8,1995,0.0,0.0,249.866689544529,122.20626305897
50,8,1996,0.0,0.0,249.866689544529,122.20626305897
51,8,1997,0.0,0.0,249.866689544529,122.20626305897
52,8,1998,0.0,0.0,249.866689544529,122.20626305897
53,8,1999,213.522339024333,19.0993754526856,22.1729736339273,51.8578223867335
54,8,2000,225.434885662904,75.1648407142331,0.060330940339276,2.89387469808845
55,8,2001,223.732515712329,68.2668399130234,0.0426233466547987,2.73215135652001
56,8,2002,225.742568930144,61.3325310790916,0.0299251863073247,2.08599912157492
57,8,2003,219.830269149752,87.8494520560154,0.0086998348124325,2.99383891903814
58,8,2004,226.570319785637,80.1101963822038,0.0554691523697008,4.11685401478134
59,8,2005,229.67417909424,64.6242461221879,0.181010591569494,4.01357476136455
60,8,2006,228.767566271191,86.4665313448054,0.0115737189924545,1.66410718768283
61,8,2007,215.895812288929,76.2505566760962,0.0006704122642986,0.93572174384802
62,8,2008,216.359381753567,77.1349929595316,0.0121631762161212,1.42179390565999
63,8,2009,225.857846151206,79.7916748748853,0.0156863540710023,1.54250110115824
64,8,2010,229.861767669208,90.1016500670328,0.0086965507362037,2.20536068371205
65,8,2011,231.073515801634,84.1213784366983,0.0020066939759999,0.774102373135632
66,8,2012,229.104343619341,74.1816722240297,0.0060236050630919,1.64057997480998
67,8,2013,237.956925960103,87.6378916069676,0.000668266438879,0.258598108618867
68,8,2014,238.059397473876,80.3504030455189,0.0020069506717845,0.410946724018511
69,8,2015,235.898575126521,89.6422126337062,0.0,0.160882623051293
70,8,2016,239.65450941172,97.6866158849934,0.0,0.215356087137479
71,8,2017,235.152175156527,94.5363898193372,0.0,0.143001131073106
72,8,2018,241.145707416593,96.5579927358904,0.0,0.162962847416216
73,8,2019,239.263824159072,85.8871035472495,0.0,0.121699902869295
74,8,2020,244.341191881513,108.144281615049,0.0,0.138010236355887
