id_bgl,basin_level,start_year,t_score,u_score,p_t,p_u,sign_diff,delta
112906_706,6,2017,,50.0,,1.0,,0.0
112907_706,6,2017,,50.0,,1.0,,0.0
112908_706,6,2017,,50.0,,1.0,,0.0
112909_706,6,2017,,50.0,,1.0,,0.0
113000_887,6,2017,,50.0,,1.0,,0.0
114001_231,6,2017,,50.0,,1.0,,0.0
114001_404,6,2017,,50.0,,1.0,,0.0
114002_404,6,2017,,50.0,,1.0,,0.0
114100_706,6,2017,,50.0,,1.0,,0.0
114210_404,6,2017,,50.0,,1.0,,0.0
114210_706,6,2017,,50.0,,1.0,,0.0
114221_706,6,2017,,50.0,,1.0,,0.0
114222_706,6,2017,,50.0,,1.0,,0.0
114223_706,6,2017,,50.0,,1.0,,0.0
114224_231,6,2017,,50.0,,1.0,,0.0
114224_404,6,2017,,50.0,,1.0,,0.0
114224_706,6,2017,,50.0,,1.0,,0.0
114225_706,6,2017,,50.0,,1.0,,0.0
114226_404,6,2017,,50.0,,1.0,,0.0
114226_706,6,2017,,50.0,,1.0,,0.0
114227_231,6,2017,,50.0,,1.0,,0.0
114227_404,6,2017,,50.0,,1.0,,0.0
114227_706,6,2017,,50.0,,1.0,,0.0
114228_231,6,2017,,50.0,,1.0,,0.0
114229_231,6,2017,,50.0,,1.0,,0.0
114229_404,6,2017,,50.0,,1.0,,0.0
114230_706,6,2017,,50.0,,1.0,,0.0
114240_404,6,2017,,50.0,,1.0,,0.0
114240_706,6,2017,,50.0,,1.0,,0.0
114250_404,6,2017,,50.0,,1.0,,0.0
114250_706,6,2017,,50.0,,1.0,,0.0
114260_404,6,2017,,50.0,,1.0,,0.0
114270_404,6,2017,,50.0,,1.0,,0.0
114281_404,6,2017,,50.0,,1.0,,0.0
114282_404,6,2017,,50.0,,1.0,,0.0
114283_404,6,2017,,50.0,,1.0,,0.0
114284_404,6,2017,,50.0,,1.0,,0.0
114285_404,6,2017,,50.0,,1.0,,0.0
114286_404,6,2017,,50.0,,1.0,,0.0
114287_404,6,2017,,50.0,,1.0,,0.0
114288_404,6,2017,,50.0,,1.0,,0.0
114289_404,6,2017,,50.0,,1.0,,0.0
114290_404,6,2017,,50.0,,1.0,,0.0
114300_706,6,2017,,50.0,,1.0,,0.0
114410_706,6,2017,,50.0,,1.0,,0.0
114411_706,6,2017,,50.0,,1.0,,0.0
114412_706,6,2017,,50.0,,1.0,,0.0
114413_706,6,2017,,50.0,,1.0,,0.0
114414_706,6,2017,,50.0,,1.0,,0.0
114416_706,6,2017,,50.0,,1.0,,0.0
114417_706,6,2017,,50.0,,1.0,,0.0
114418_706,6,2017,,50.0,,1.0,,0.0
114419_706,6,2017,,50.0,,1.0,,0.0
114420_231,6,2017,,50.0,,1.0,,0.0
114420_706,6,2017,,50.0,,1.0,,0.0
114430_231,6,2017,,50.0,,1.0,,0.0
114430_706,6,2017,,50.0,,1.0,,0.0
114441_231,6,2017,,50.0,,1.0,,0.0
114441_404,6,2017,,50.0,,1.0,,0.0
114441_706,6,2017,,50.0,,1.0,,0.0
114442_404,6,2017,,50.0,,1.0,,0.0
114442_706,6,2017,,50.0,,1.0,,0.0
114443_231,6,2017,,50.0,,1.0,,0.0
114443_404,6,2017,,50.0,,1.0,,0.0
114444_231,6,2017,,50.0,,1.0,,0.0
114445_231,6,2017,,50.0,,1.0,,0.0
114446_231,6,2017,,50.0,,1.0,,0.0
114447_231,6,2017,,50.0,,1.0,,0.0
114448_231,6,2017,,50.0,,1.0,,0.0
114449_231,6,2017,,50.0,,1.0,,0.0
114450_231,6,2017,,50.0,,1.0,,0.0
114460_231,6,2017,,50.0,,1.0,,0.0
114470_231,6,2017,,50.0,,1.0,,0.0
114480_231,6,2017,,50.0,,1.0,,0.0
114490_231,6,2017,,50.0,,1.0,,0.0
114500_706,6,2017,,50.0,,1.0,,0.0
114601_706,6,2017,,50.0,,1.0,,0.0
114602_706,6,2017,,50.0,,1.0,,0.0
114603_706,6,2017,,50.0,,1.0,,0.0
114604_706,6,2017,,50.0,,1.0,,0.0
114605_706,6,2017,,50.0,,1.0,,0.0
114606_706,6,2017,,50.0,,1.0,,0.0
114607_706,6,2017,,50.0,,1.0,,0.0
114608_706,6,2017,,50.0,,1.0,,0.0
114609_706,6,2017,,50.0,,1.0,,0.0
114701_706,6,2017,,50.0,,1.0,,0.0
114702_706,6,2017,,50.0,,1.0,,0.0
114703_706,6,2017,,50.0,,1.0,,0.0
114704_706,6,2017,,50.0,,1.0,,0.0
114705_706,6,2017,,50.0,,1.0,,0.0
114706_231,6,2017,,50.0,,1.0,,0.0
114706_706,6,2017,,50.0,,1.0,,0.0
114707_231,6,2017,,50.0,,1.0,,0.0
114707_706,6,2017,,50.0,,1.0,,0.0
114708_231,6,2017,,50.0,,1.0,,0.0
114708_706,6,2017,,50.0,,1.0,,0.0
114709_231,6,2017,,50.0,,1.0,,0.0
114801_231,6,2017,,50.0,,1.0,,0.0
114802_231,6,2017,,50.0,,1.0,,0.0
114803_231,6,2017,,50.0,,1.0,,0.0
114804_231,6,2017,,50.0,,1.0,,0.0
114805_231,6,2017,,50.0,,1.0,,0.0
114806_231,6,2017,,50.0,,1.0,,0.0
114807_231,6,2017,,50.0,,1.0,,0.0
114808_231,6,2017,,50.0,,1.0,,0.0
114809_231,6,2017,,50.0,,1.0,,0.0
114910_231,6,2017,,50.0,,1.0,,0.0
114910_706,6,2017,,50.0,,1.0,,0.0
114920_231,6,2017,,50.0,,1.0,,0.0
114931_231,6,2017,,50.0,,1.0,,0.0
114932_231,6,2017,,50.0,,1.0,,0.0
114933_231,6,2017,,50.0,,1.0,,0.0
114934_231,6,2017,,50.0,,1.0,,0.0
114935_231,6,2017,,50.0,,1.0,,0.0
114936_231,6,2017,,50.0,,1.0,,0.0
114937_231,6,2017,,50.0,,1.0,,0.0
114938_231,6,2017,,50.0,,1.0,,0.0
114939_231,6,2017,,50.0,,1.0,,0.0
114940_231,6,2017,,50.0,,1.0,,0.0
114950_231,6,2017,,50.0,,1.0,,0.0
114960_231,6,2017,,50.0,,1.0,,0.0
114970_231,6,2017,,50.0,,1.0,,0.0
114980_231,6,2017,,50.0,,1.0,,0.0
114990_231,6,2017,0.21088098995193214,52.5,0.8391332467665285,0.8918594638362826,1.0,7.460625300027554
115101_834,6,2017,,50.0,,1.0,,0.0
115102_834,6,2017,,50.0,,1.0,,0.0
115103_834,6,2017,,50.0,,1.0,,0.0
115201_834,6,2017,,50.0,,1.0,,0.0
115202_834,6,2017,,50.0,,1.0,,0.0
115203_834,6,2017,,50.0,,1.0,,0.0
115204_834,6,2017,,50.0,,1.0,,0.0
115205_404,6,2017,,50.0,,1.0,,0.0
115205_834,6,2017,,50.0,,1.0,,0.0
