id_bgl,t_score,u_score,p_t,p_u,delta
4,0.6558950254851598,60.5,0.5400361988246679,0.49665738654204294,23.91338446126583
8,3.2874493004023555,87.5,0.01748938001328342,0.011899644584157432,17.415877502768243
12,0.8977261934588205,62.5,0.38128650552687837,0.4146659024229229,3.848559061257579
16,-1.3767772749313476,-35.5,0.19315762167621467,0.3412684763150512,-9.996958025298353
20,4.283420918407639,94.5,0.005958315447777122,0.002781224934389138,189.6595098361753
24,2.241351475532045,79.5,0.07414679411003063,0.048689610702269216,71.67850277936199
28,5.241327431867033,95.5,0.0004534972209988468,0.0022214145869887034,26.339101662599706
31,-0.10077719055626001,-46.5,0.9227682954711587,0.838410115171209,-2.8036046449951524
32,-0.03633538170823052,47.5,0.9722950854342712,0.8918594638362826,1.8619673257970784
36,-0.8116027194298288,43.5,0.4346252625734699,0.6833800574551345,4.37577902614633
40,5.309340506726892,95.5,0.00023106759242793456,0.0022214145869887034,28.680507283318903
44,4.245113455856318,83.5,0.00044501172949991386,0.02488372328270136,12.830786676621821
48,4.0965922252459155,90.5,0.005331321331512307,0.006547287612860911,139.83598561269014
50,-0.23919302775650098,-50.5,0.818253520886562,1.0,-0.0547313891707453
51,4.058206622528667,89.5,0.0014822212910150052,0.008024002332133759,24.121799340098786
52,5.225348564630557,95.5,0.0010187220200035339,0.0022214145869887034,72.05478366165909
56,3.6948759786336796,94.5,0.013208992911071919,0.002781224934389138,40.94342240479592
60,4.054294115775152,89.5,0.001464219053527275,0.008024002332133759,46.006798351329124
64,5.892731414577365,94.5,0.00014174813219692685,0.002781224934389138,42.63610631993862
68,2.4335857067242417,82.5,0.05124567233794625,0.029613094352645416,47.67591901673172
70,-0.11348022123524693,-50.5,0.9132930228953544,1.0,-7.9394078041885585
72,2.760553981324984,81.5,0.030859214836640936,0.035095797419284286,42.70238880507197
76,3.764278431802253,79.5,0.0010208550490433033,0.048689610702269216,5.0673423924600565
84,1.8941907796866149,75.5,0.09504556710789494,0.08924454710859073,9.21151903152422
90,-0.8636328387929606,61.5,0.3982146483428124,0.4546204062737812,13.12593930487916
92,7.275799369086601,91.5,2.7552813926018243e-07,0.005319686062957794,54.38408935150791
96,4.89360612473738,86.5,0.00015844438313394172,0.014399864726701132,57.04229625131746
100,2.3859351512148925,83.5,0.05265691392779939,0.02488372328270136,11.334582693786178
104,2.6784369941705988,79.5,0.024897117401398647,0.048689610702269216,19.963936245727137
108,3.4452957843551686,93.5,0.019763466353036274,0.003467193190765815,70.52592937036496
112,1.0582375008552931,67.5,0.3367923726586945,0.24784912392821346,18.350100852713222
116,-0.30930733128121496,-47.5,0.7655609294576489,0.8918594638362826,-9.667792921213515
120,3.4895568669694463,89.5,0.013270709707073598,0.008024002332133759,112.67988197636834
124,5.413883784176611,93.5,0.00017238410317975774,0.003467193190765815,23.241008733665637
132,6.6419523002495895,93.5,7.695424364954806e-06,0.003467193190765815,184.47918796961864
136,3.9082756812272463,78.5,0.0007917711898160064,0.05699830641051993,250.13176652255572
140,3.6745576168153966,87.5,0.005892899047728478,0.011899644584157432,34.00314591039415
144,3.611473071317419,90.5,0.009257609299425849,0.006547287612860911,21.946285741926484
148,4.622782666669787,91.5,0.0005552977643367374,0.005319686062957794,39.830917500845246
152,3.971890090152524,91.5,0.008829397243426379,0.005319686062957794,38.52024684661649
156,5.104816222164553,93.5,0.001072621650082974,0.003467193190765815,22.831888834277358
162,3.305494314326574,88.5,0.01504719869279523,0.005341702005623976,4.43521078873207e+16
166,1.4,,0.2288041223341344,0.040337393747568846,0.0
170,4.884562507029085,90.5,9.637372746600015e-05,0.006547287612860911,29.931528928747337
174,4.281106038780227,81.5,0.0002971709416483748,0.035095797419284286,119.45389557466235
175,5.33180610665021,85.5,2.343240142997831e-05,0.017352389190761427,114.26066800567216
178,3.8014656123476396,88.5,0.0050327579934916185,0.00979219587072503,77.11567865302882
180,4.691086156446927,86.5,0.0003552423310779998,0.014399864726701132,48.416103486772
