id,t_score,u_score,p_t,p_u,p_u_thd_0.01
1110110_818,,,,1.0,0.0
1110120_818,,,,1.0,0.0
1110130_818,,,,1.0,0.0
1110140_818,,,,1.0,0.0
1110151_818,,,,1.0,0.0
1110152_818,,,,1.0,0.0
1110153_818,,,,1.0,0.0
1110154_818,,,,1.0,0.0
1110155_818,,,,1.0,0.0
1110156_818,,,,1.0,0.0
1110157_818,,,,1.0,0.0
1110158_818,,,,1.0,0.0
1110159_818,,,,1.0,0.0
1110160_818,,,,1.0,0.0
1110170_818,,,,1.0,0.0
1110180_818,,,,1.0,0.0
1110190_818,,,,1.0,0.0
1110201_729,,,,1.0,0.0
1110201_818,,,,1.0,0.0
1110202_729,,,,1.0,0.0
1110202_818,,,,1.0,0.0
1110203_818,,,,1.0,0.0
1110204_818,,,,1.0,0.0
1110205_818,,,,1.0,0.0
1110206_729,,,,1.0,0.0
1110206_818,,,,1.0,0.0
1110207_818,,,,1.0,0.0
1110208_818,,,,1.0,0.0
1110209_729,,,,1.0,0.0
1110209_818,,,,1.0,0.0
1110300_729,,,,1.0,0.0
1110300_818,,,,1.0,0.0
1110411_729,,,,1.0,0.0
1110412_729,,,,1.0,0.0
1110413_729,,,,1.0,0.0
1110414_729,,,,1.0,0.0
1110415_729,,,,1.0,0.0
1110416_729,,,,1.0,0.0
1110417_729,,,,1.0,0.0
1110418_729,,,,1.0,0.0
1110419_729,,,,1.0,0.0
1110420_729,,,,1.0,0.0
1110430_729,,,,1.0,0.0
1110440_729,,,,1.0,0.0
1110450_729,,,,1.0,0.0
1110460_729,,,,1.0,0.0
1110470_729,,,,1.0,0.0
1110480_729,,,,1.0,0.0
1110490_729,,,,1.0,0.0
1110501_729,,,,1.0,0.0
1110502_729,,,,1.0,0.0
1110503_729,,,,1.0,0.0
1110504_729,,,,1.0,0.0
1110505_729,,,,1.0,0.0
1110506_729,,,,1.0,0.0
1110507_729,,,,1.0,0.0
1110508_729,,,,1.0,0.0
1110509_729,,,,1.0,0.0
1110600_729,,,,1.0,0.0
