basin_level,num_basins,start_year,mean,std,aplha,thd_low,thd_high,neg,stable,pos
0,278,2000,0.2538086692488928,9.543396048009315,0.5,-4.517889354755765,5.025506693253551,67,171,40
0,278,2000,0.2538086692488928,9.543396048009315,1.0,-9.289587378760423,9.797204717258207,37,214,27
0,278,2000,0.2538086692488928,9.543396048009315,1.5,-14.061285402765082,14.568902741262866,22,237,19
0,278,2000,0.2538086692488928,9.543396048009315,2.0,-18.832983426769736,19.340600765267524,18,242,18
0,278,2005,0.2538086692488928,9.543396048009315,0.5,-4.517889354755765,5.025506693253551,46,203,29
0,278,2005,0.2538086692488928,9.543396048009315,1.0,-9.289587378760423,9.797204717258207,31,233,14
0,278,2005,0.2538086692488928,9.543396048009315,1.5,-14.061285402765082,14.568902741262866,22,247,9
0,278,2005,0.2538086692488928,9.543396048009315,2.0,-18.832983426769736,19.340600765267524,20,249,9
0,278,2010,0.2538086692488928,9.543396048009315,0.5,-4.517889354755765,5.025506693253551,33,207,38
0,278,2010,0.2538086692488928,9.543396048009315,1.0,-9.289587378760423,9.797204717258207,21,234,23
0,278,2010,0.2538086692488928,9.543396048009315,1.5,-14.061285402765082,14.568902741262866,11,253,14
0,278,2010,0.2538086692488928,9.543396048009315,2.0,-18.832983426769736,19.340600765267524,7,260,11
0,278,2015,0.2538086692488928,9.543396048009315,0.5,-4.517889354755765,5.025506693253551,43,150,85
0,278,2015,0.2538086692488928,9.543396048009315,1.0,-9.289587378760423,9.797204717258207,32,186,60
0,278,2015,0.2538086692488928,9.543396048009315,1.5,-14.061285402765082,14.568902741262866,20,208,50
0,278,2015,0.2538086692488928,9.543396048009315,2.0,-18.832983426769736,19.340600765267524,15,220,43
0,278,2017,0.2538086692488928,9.543396048009315,0.5,-4.517889354755765,5.025506693253551,35,146,97
0,278,2017,0.2538086692488928,9.543396048009315,1.0,-9.289587378760423,9.797204717258207,24,186,68
0,278,2017,0.2538086692488928,9.543396048009315,1.5,-14.061285402765082,14.568902741262866,18,202,58
0,278,2017,0.2538086692488928,9.543396048009315,2.0,-18.832983426769736,19.340600765267524,13,215,50
3,778,2000,-0.0865048880812487,11.45479141948869,0.5,-5.813900597825594,5.6408908216630955,158,512,108
3,778,2000,-0.0865048880812487,11.45479141948869,1.0,-11.541296307569938,11.36828653140744,99,614,65
3,778,2000,-0.0865048880812487,11.45479141948869,1.5,-17.268692017314283,17.09568224115179,76,657,45
3,778,2000,-0.0865048880812487,11.45479141948869,2.0,-22.996087727058626,22.82307795089613,62,680,36
3,778,2005,-0.0865048880812487,11.45479141948869,0.5,-5.813900597825594,5.6408908216630955,123,569,86
3,778,2005,-0.0865048880812487,11.45479141948869,1.0,-11.541296307569938,11.36828653140744,66,666,46
3,778,2005,-0.0865048880812487,11.45479141948869,1.5,-17.268692017314283,17.09568224115179,51,691,36
3,778,2005,-0.0865048880812487,11.45479141948869,2.0,-22.996087727058626,22.82307795089613,39,710,29
3,778,2010,-0.0865048880812487,11.45479141948869,0.5,-5.813900597825594,5.6408908216630955,105,556,117
3,778,2010,-0.0865048880812487,11.45479141948869,1.0,-11.541296307569938,11.36828653140744,58,654,66
3,778,2010,-0.0865048880812487,11.45479141948869,1.5,-17.268692017314283,17.09568224115179,38,695,45
3,778,2010,-0.0865048880812487,11.45479141948869,2.0,-22.996087727058626,22.82307795089613,30,711,37
3,778,2015,-0.0865048880812487,11.45479141948869,0.5,-5.813900597825594,5.6408908216630955,129,436,213
3,778,2015,-0.0865048880812487,11.45479141948869,1.0,-11.541296307569938,11.36828653140744,87,538,153
3,778,2015,-0.0865048880812487,11.45479141948869,1.5,-17.268692017314283,17.09568224115179,69,585,124
3,778,2015,-0.0865048880812487,11.45479141948869,2.0,-22.996087727058626,22.82307795089613,47,628,103
3,778,2017,-0.0865048880812487,11.45479141948869,0.5,-5.813900597825594,5.6408908216630955,119,412,247
3,778,2017,-0.0865048880812487,11.45479141948869,1.0,-11.541296307569938,11.36828653140744,73,526,179
3,778,2017,-0.0865048880812487,11.45479141948869,1.5,-17.268692017314283,17.09568224115179,52,577,149
3,778,2017,-0.0865048880812487,11.45479141948869,2.0,-22.996087727058626,22.82307795089613,40,609,129
4,2212,2000,-0.561556894940523,13.784757004989014,0.5,-7.45393539743503,6.330821607553984,433,1448,331
4,2212,2000,-0.561556894940523,13.784757004989014,1.0,-14.346313899929537,13.223200110048491,287,1705,220
4,2212,2000,-0.561556894940523,13.784757004989014,1.5,-21.238692402424043,20.115578612542997,219,1816,177
4,2212,2000,-0.561556894940523,13.784757004989014,2.0,-28.131070904918552,27.007957115037506,170,1900,142
4,2212,2005,-0.561556894940523,13.784757004989014,0.5,-7.45393539743503,6.330821607553984,316,1626,270
4,2212,2005,-0.561556894940523,13.784757004989014,1.0,-14.346313899929537,13.223200110048491,191,1854,167
4,2212,2005,-0.561556894940523,13.784757004989014,1.5,-21.238692402424043,20.115578612542997,141,1953,118
4,2212,2005,-0.561556894940523,13.784757004989014,2.0,-28.131070904918552,27.007957115037506,98,2022,92
4,2212,2010,-0.561556894940523,13.784757004989014,0.5,-7.45393539743503,6.330821607553984,285,1587,340
4,2212,2010,-0.561556894940523,13.784757004989014,1.0,-14.346313899929537,13.223200110048491,173,1828,211
4,2212,2010,-0.561556894940523,13.784757004989014,1.5,-21.238692402424043,20.115578612542997,122,1933,157
4,2212,2010,-0.561556894940523,13.784757004989014,2.0,-28.131070904918552,27.007957115037506,92,1990,130
4,2212,2015,-0.561556894940523,13.784757004989014,0.5,-7.45393539743503,6.330821607553984,356,1288,568
