id_bgl,start_year,basin_level,seasonal_area
111011_818,2000,6,-0.45071896628996144
111011_818,2005,6,-0.13866339685094395
111011_818,2010,6,-7.363749625330119
111011_818,2015,6,82.7070693099755
111011_818,2017,6,149.02779403594556
111012_818,2000,6,-18.935703248784986
111012_818,2005,6,49.99198172558479
111012_818,2010,6,-18.58833216208759
111012_818,2015,6,201.603789893777
111012_818,2017,6,303.62593166940474
111013_818,2000,6,-39.95946843125269
111013_818,2005,6,-53.13386207011091
111013_818,2010,6,-31.979886946837986
111013_818,2015,6,182.8878655501539
111013_818,2017,6,182.8878655501539
111014_818,2000,6,-47.78672718895317
111014_818,2005,6,-44.9000015289795
111014_818,2010,6,78.0418927663643
111014_818,2015,6,75.21070440354389
111014_818,2017,6,75.21070440354389
111015_818,2000,6,0.7716513593548758
111015_818,2005,6,-10.108492896867514
111015_818,2010,6,3.797571066820371
111015_818,2015,6,-0.5259550330726216
111015_818,2017,6,-2.3110109220319064
111016_818,2000,6,8.2623290121163
111016_818,2005,6,-14.284079947960063
111016_818,2010,6,-7.142031951647086
111016_818,2015,6,314.68356099865355
111016_818,2017,6,343.1957441610769
111017_818,2000,6,7.835253514535628
111017_818,2005,6,1.217543376548477
111017_818,2010,6,-40.79035867637295
111017_818,2015,6,-9.679280818080818
111017_818,2017,6,9.147877352660691
111018_818,2000,6,-4.864040862707601
111018_818,2005,6,0.0
111018_818,2010,6,-6.001439295103304
111018_818,2015,6,96.18504532696429
111018_818,2017,6,115.61174991874988
111019_818,2000,6,16.516947083729143
111019_818,2005,6,5.288780768248605
111019_818,2010,6,-6.136629449721688
111019_818,2015,6,-5.986800080786862
111019_818,2017,6,-9.36218033043686
111020_729,2000,6,0.0
111020_729,2005,6,0.0
111020_729,2010,6,0.0
111020_729,2015,6,5964.881061531262
111020_729,2017,6,7832.224769069166
111020_818,2000,6,0.0
111020_818,2005,6,0.0
111020_818,2010,6,-1.2499209512792087
111020_818,2015,6,123.73846949632733
111020_818,2017,6,136.22958333472403
111030_729,2000,6,4.165291573068287
111030_729,2005,6,-8.081670906302017
111030_729,2010,6,26.44360894712157
111030_729,2015,6,-0.06867652927768125
111030_729,2017,6,-0.06867652927768125
111030_818,2000,6,0.0
111030_818,2005,6,0.0
111030_818,2010,6,0.0
111030_818,2015,6,0.0
111030_818,2017,6,0.0
111041_729,2000,6,-1.6171702609787069
111041_729,2005,6,-0.3228877731498504
111041_729,2010,6,-0.32672392927907623
111041_729,2015,6,70.79630975628261
111041_729,2017,6,180.1689954068514
111042_729,2000,6,1.4944148009573965
111042_729,2005,6,-2.9875609980768094
111042_729,2010,6,-7.462536480476291
111042_729,2015,6,140.3020880370087
111042_729,2017,6,147.77605360586858
111043_729,2000,6,0.0
111043_729,2005,6,0.0
111043_729,2010,6,0.0
111043_729,2015,6,167233473621299.97
111043_729,2017,6,167233473621299.97
111044_729,2000,6,-3.1572786147697602
111044_729,2005,6,-1.0522265981951657
111044_729,2010,6,-5.262385562256681
111044_729,2015,6,144.33588120310682
111044_729,2017,6,163.29370704973115
111045_729,2000,6,-20.02150851369169
111045_729,2005,6,0.0
111045_729,2010,6,-19.958269588294886
111045_729,2015,6,440.33314594835093
111045_729,2017,6,460.3169964348781
111046_729,2000,6,0.0
111046_729,2005,6,0.0
111046_729,2010,6,0.0
111046_729,2015,6,0.0
111046_729,2017,6,0.0
111047_729,2000,6,0.0
111047_729,2005,6,0.0
111047_729,2010,6,0.0
111047_729,2015,6,84033684106539.98
111047_729,2017,6,84033684106539.98
111048_729,2000,6,0.0
111048_729,2005,6,0.0
111048_729,2010,6,0.0
111048_729,2015,6,1094635197659949.8
111048_729,2017,6,1178719877498220.0
111049_729,2000,6,0.0
111049_729,2005,6,0.0
111049_729,2010,6,0.0
111049_729,2015,6,588701537344599.9
111049_729,2017,6,756810751045119.9
111050_729,2000,6,-6.794799437652532
111050_729,2005,6,-1.2952115753144715
111050_729,2010,6,0.6069447358864013
111050_729,2015,6,12.51050687268156
111050_729,2017,6,40.920763190411655
111060_729,2000,6,0.0
111060_729,2005,6,0.0
111060_729,2010,6,0.0
111060_729,2015,6,16474.862963065054
111060_729,2017,6,16474.862963065054
111070_729,2000,6,-14.418890685311162
111070_729,2005,6,-12.74139736037686
111070_729,2010,6,13.697883103711977
111070_729,2015,6,36.35891366097867
111070_729,2017,6,40.89599854484957
111081_232,2000,6,0.0
111081_232,2005,6,0.0
111081_232,2010,6,0.0
111081_232,2015,6,0.0
111081_232,2017,6,0.0
111081_729,2000,6,-1.9505377034660432
111081_729,2005,6,-43.45238001151411
111081_729,2010,6,-52.3000006954161
111081_729,2015,6,114.88623006940597
111081_729,2017,6,519.9513660389078
111082_232,2000,6,0.0
111082_232,2005,6,0.0
111082_232,2010,6,0.0
111082_232,2015,6,0.0
111082_232,2017,6,0.0
111082_729,2000,6,-89.2254374666928
111082_729,2005,6,800.3311361771715
111082_729,2010,6,-51.99927155961016
111082_729,2015,6,1283.83666292566
111082_729,2017,6,1603.503283911449
111083_232,2000,6,-11.119307044469386
111083_232,2005,6,0.0
111083_232,2010,6,-22.22065377173086
111083_232,2015,6,433.33053700148173
111083_232,2017,6,455.55550025083227
111083_729,2000,6,0.0
111083_729,2005,6,0.0
111083_729,2010,6,0.0
111083_729,2015,6,85417507216330.0
111083_729,2017,6,85417507216330.0
111084_232,2000,6,-19.5341081079401
111084_232,2005,6,1.6559813421800633
111084_232,2010,6,-11.074860128789316
111084_232,2015,6,23.445278101896413
111084_232,2017,6,28.13365779855625
111084_729,2000,6,0.0
111084_729,2005,6,0.0
111084_729,2010,6,0.0
111084_729,2015,6,0.0
111084_729,2017,6,0.0
111085_232,2000,6,0.0
111085_232,2005,6,0.0
111085_232,2010,6,-7.140566891778047
111085_232,2015,6,1014.6500066307422
111085_232,2017,6,1129.034810748038
111085_729,2000,6,0.0
111085_729,2005,6,0.0
111085_729,2010,6,0.0
111085_729,2015,6,85796747589480.0
111085_729,2017,6,85796747589480.0
111086_232,2000,6,0.0
111086_232,2005,6,-49.99999999997098
111086_232,2010,6,0.0
111086_232,2015,6,0.0
111086_232,2017,6,0.0
