id_bgl,basin_level,start_year,t_score,u_score,p_t,p_u,sign_diff,delta
11101_818,5,2017,0.8241622247393984,62.5,0.44442731828648047,0.4146659024229229,-1.0,-1.8181203102864332
11102_729,5,2017,3.3912800455713517,93.0,0.023185093506257397,0.0014561923082863123,1.0,7832.224769069166
11102_818,5,2017,3.504345371258627,94.5,0.020132325805348864,0.0026519838937703938,1.0,136.22958333472403
11103_729,5,2017,-0.2694735510647879,48.5,0.7911558285826583,0.9458048585528951,-1.0,-0.06867652927768125
11103_818,5,2017,,50.0,,1.0,,0.0
11104_729,5,2017,2.6365954519737054,95.5,0.055814475080496806,0.0022214145869887034,1.0,185.0520047796494
11105_729,5,2017,2.8581961012750967,89.5,0.0360391084744277,0.008024002332133759,1.0,40.920763190411655
11106_729,5,2017,4.994672938403514,86.5,0.00024524906783346216,0.01285744713277592,1.0,16474.862963065054
11107_729,5,2017,4.8277636247555,95.5,0.001241111176139224,0.0022214145869887034,1.0,40.89599854484957
11108_232,5,2017,4.98603024512469,94.5,0.001634762185511845,0.002781224934389138,1.0,64.02397308022539
11108_729,5,2017,1.5411320476571946,80.5,0.17759821147394303,0.04142253879330133,1.0,1149.2951596221367
11109_232,5,2017,3.4645088388088436,79.5,0.0028695384346582786,0.048689610702269216,1.0,34.90791404086268
11109_729,5,2017,3.5051717380662284,91.5,0.016658530128218614,0.005319686062957794,1.0,161.72112990508649
11201_231,5,2017,-0.6302959840030363,52.5,0.5385319925018519,0.8918594638362826,1.0,10.216225044027388
11201_706,5,2017,2.286601158023946,78.5,0.061027530290954944,0.05699830641051993,1.0,32.047519404825614
11202_706,5,2017,-0.41948087800706674,56.5,0.6848434523336351,0.6831491932172152,1.0,20.023076483329234
11203_706,5,2017,-0.5888766295252087,56.5,0.5669123149225006,0.6833223886472285,-1.0,-14.28516521951482
11204_231,5,2017,4.534610885857691,86.5,0.0003358316437582796,0.014399864726701132,1.0,108.71356643545576
11204_706,5,2017,2.6049741091359437,86.5,0.037124985593025586,0.014399864726701132,1.0,38.10805459077814
11205_706,5,2017,2.476485896216691,78.0,0.023622042038353247,0.054820893815058,1.0,199.99992154119758
11206_706,5,2017,2.1425420854009007,88.5,0.08368084283568743,0.009735813040949825,1.0,1127.8233187721746
11207_706,5,2017,-0.31723461805614983,44.0,0.7620480341923797,0.6500934623485038,,0.0
11211_231,5,2017,1.1939515499282813,76.5,0.2786996747476148,0.0771659313616824,1.0,314.36045401402174
11211_232,5,2017,4.653507493021451,93.5,0.003463243637927187,0.003467193190765815,1.0,95.40066555622778
11211_262,5,2017,3.9560999703437862,93.5,0.011031697797498763,0.003467193190765815,1.0,130.39745083336328
11211_706,5,2017,4.66677059768589,91.5,0.0015457132191321911,0.005319686062957794,1.0,107.38412516452753
11212_706,5,2017,2.621335450316258,79.5,0.022625971460780055,0.048689610702269216,1.0,89.84450728274041
11213_706,5,2017,3.1043127626126132,93.5,0.020574532709393113,0.003467193190765815,1.0,13.120172139538155
11214_706,5,2017,1.7393879043980875,79.5,0.154087717428957,0.0486462281931244,1.0,10.367132017826156
11215_706,5,2017,2.3871370274251906,83.5,0.05289598701930441,0.02488372328270136,1.0,13.70148595344376
11216_706,5,2017,1.6833102795353303,69.5,0.16094601042879333,0.1965160943128864,1.0,90.03044765174806
11217_706,5,2017,5.402326815521258,91.5,0.00029024316698908606,0.005319686062957794,1.0,324.83244575315854
11218_706,5,2017,1.5925453426757963,76.5,0.18062698007575526,0.0771659313616824,1.0,21.642757077747227
11219_706,5,2017,3.3859328589423408,86.5,0.007161423818373979,0.014399864726701132,1.0,31.929973016939332
11220_706,5,2017,3.9567432708614665,92.5,0.006184124507442672,0.004303876558312955,1.0,124.61274043209589
11230_706,5,2017,4.579888698993563,92.5,0.0004374154648127262,0.004303876558312955,1.0,43.10107896417908
11240_706,5,2017,3.2825574287732926,84.5,0.008599345069455214,0.020822974945909827,1.0,319.3847731090794
11250_706,5,2017,2.7459521897054238,80.5,0.025592735865024828,0.04142253879330133,1.0,8.725565980567719
11260_706,5,2017,0.2005664163214526,62.5,0.8485125799757807,0.4146659024229229,1.0,13.003827123326344
11270_706,5,2017,0.40667217946164397,53.5,0.6889478138003724,0.838410115171209,1.0,2.7929349052196497
11280_706,5,2017,-0.1746503327821279,61.5,0.8636596291402441,0.4546204062737812,1.0,7.826502762763883
11290_706,5,2017,1.612244255034694,74.5,0.16133501944363135,0.10280164223951978,1.0,10.595609713702874
11300_887,5,2017,6.072457103703581,90.5,6.062362981954884e-06,0.006547287612860911,1.0,98.89228477392736
11400_231,5,2017,1.3530065418299568,85.5,0.24679891274705607,0.017352389190761427,1.0,177.68400155748688
11400_404,5,2017,7.062108131436921,94.5,4.981049714487748e-07,0.002781224934389138,1.0,496.8624245217286
11410_706,5,2017,-0.7542520237612405,53.5,0.4598392142982295,0.838410115171209,1.0,7.216450741670319
11421_404,5,2017,6.893182318676579,90.0,6.34384289861841e-07,0.002104525682163851,1.0,357586820609859.94
11421_706,5,2017,0.9258762444342366,66.5,0.39677441917341894,0.27676572286017653,1.0,55.97019513898969
11422_231,5,2017,6.685553385360166,90.5,1.62994258350333e-06,0.006547287612860911,1.0,174.33284160830257
11422_404,5,2017,4.758487683010097,91.5,0.0011438397772428799,0.005319686062957794,1.0,475.1067085358168
11422_706,5,2017,1.2947393587766274,73.5,0.21056922563132383,0.11794806736103866,1.0,343.18979571325656
11423_706,5,2017,3.4004735310321768,91.5,0.014320281208002484,0.005319686062957794,1.0,3644.484105053656
11424_404,5,2017,3.8633437866223637,89.5,0.005557925850835742,0.008024002332133759,1.0,329.5217003870799
11424_706,5,2017,2.805127934377799,91.5,0.0345491108142664,0.001179176062810257,1.0,1340911665465680.0
11425_404,5,2017,5.770390148523329,89.5,7.985183657999491e-05,0.008024002332133759,1.0,345.11863999872594
11425_706,5,2017,1.405329274608892,91.5,0.22230175392848453,0.0016502765021549637,1.0,2681830368237569.5
11426_404,5,2017,3.078866093802036,88.5,0.021199266714727116,0.00979219587072503,1.0,527.615984057358
11427_404,5,2017,2.254787809422099,81.5,0.04230719289395195,0.035095797419284286,1.0,1019.4036002726692
11428_404,5,2017,0.8139966462524414,67.5,0.4332362976131381,0.24784912392821346,1.0,98.90949396978847
11429_404,5,2017,5.921363521016896,88.5,4.899863539505282e-06,0.00979219587072503,1.0,71.98391543342882
11430_706,5,2017,4.837112777318894,87.5,0.0002726304918798359,0.011899644584157432,1.0,68.71262125753026
11441_706,5,2017,3.1979640623983476,83.5,0.010482715316762594,0.02488372328270136,1.0,37.23239456373892
11442_231,5,2017,1.3398633169226533,72.5,0.2271896073040561,0.13479216155813392,1.0,212.1645365325396
11442_706,5,2017,2.7202329803926384,76.5,0.01441991548041856,0.0771659313616824,1.0,67.85300012790016
11443_231,5,2017,3.9387493869448518,89.5,0.005858620845529838,0.008024002332133759,1.0,64.06222784714059
11443_706,5,2017,5.653700538182201,88.5,1.034068962488953e-05,0.00979219587072503,1.0,33.69031696049349
11444_231,5,2017,6.375488560427019,95.5,6.3609676366656346e-06,0.0022214145869887034,1.0,94.199845002203
11444_404,5,2017,4.319702812293697,90.5,0.0019368649346147816,0.006547287612860911,1.0,64.31418932707457
11444_706,5,2017,4.9629812442289385,83.5,5.256491441966435e-05,0.02488372328270136,1.0,91.78636109781641
11445_231,5,2017,2.52934382425685,78.5,0.03182881584648942,0.05699830641051993,1.0,15.412182012872
11446_231,5,2017,2.364685715589188,76.5,0.03839151862033285,0.0771659313616824,1.0,23.60003089727934
11447_231,5,2017,4.0688605621322536,84.5,0.0006313613285061413,0.020822974945909827,1.0,15.481766049111052
11448_231,5,2017,6.247496280487978,94.5,1.0989094841465738e-05,0.002781224934389138,1.0,183.4946717184587
11449_231,5,2017,2.278093368548947,91.5,0.07914130189386384,0.005319686062957794,1.0,1390.6541457793712
11450_706,5,2017,3.3719536023734458,76.5,0.003633128948618771,0.0771659313616824,1.0,45.88852367424148
11460_706,5,2017,2.2380454580210105,88.5,0.08538631412597442,0.00979219587072503,1.0,531.6587216295522
11470_231,5,2017,2.3756691034759423,82.5,0.05777060281287164,0.029613094352645416,1.0,586.1354968651398
11470_706,5,2017,3.0495865311061374,89.5,0.02822129625960195,0.008024002332133759,1.0,183.7632188860423
11480_231,5,2017,3.397385479595152,86.5,0.01140017049989421,0.014399864726701132,1.0,235.77936931349916
11491_231,5,2017,3.428383087632382,86.5,0.006136856536165981,0.014399864726701132,1.0,31.099259713242137
11491_706,5,2017,2.790011468087104,89.5,0.03441812495822435,0.008011880888046946,1.0,725.576679040988
11492_231,5,2017,1.6221487277468718,71.5,0.15461643996156355,0.1534378834105726,1.0,110.00700001984313
11493_231,5,2017,4.132338936305636,92.5,0.005042161182171664,0.004303876558312955,1.0,55.96936058424081
11494_231,5,2017,3.496314271206003,93.5,0.018943388078055817,0.003467193190765815,1.0,266.52931354144
11495_231,5,2017,5.150201745977729,93.5,0.0009268760330081646,0.003467193190765815,1.0,51.70784755440009
11496_231,5,2017,1.5143130850067739,68.5,0.20090931828697525,0.2211162550702167,1.0,49.05659784815771
11497_231,5,2017,4.92059109435233,95.5,0.0031991108358942135,0.0022214145869887034,1.0,255.06208853076743
11498_231,5,2017,5.3020623487747045,93.5,0.001130537318817047,0.003467193190765815,1.0,790.8332807382145
11499_231,5,2017,2.620714544076515,84.5,0.04361609930221501,0.020822974945909827,1.0,166.86442145094983
11510_834,5,2017,1.6116787033917457,72.5,0.15679989716398735,0.13479216155813392,1.0,27.071440921113453
11520_404,5,2017,-0.5786776463364544,40.5,0.5884429109822715,0.5406815690956761,-1.0,-3.033885210672234
11520_834,5,2017,-1.0571196312202662,39.5,0.34630201094220353,0.49665738654204294,-1.0,-17.819448413180545
11530_404,5,2017,0.44713542816876883,57.5,0.6691449957227593,0.6341948173294822,1.0,5.425073143483564
