id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,mean,std,thd_low,thd_high,alpha,p_thd,decision
111011_818,6,2017,3.630330888944448,0.0169697359713386,95.5,0.0022214145869887,0.442409021859559,78.2486864354101,-0.768410471435599,14.397894467900349,-22.36525217328612,20.828431230414925,1.5,0.025,1
111012_818,6,2017,1.713165262597267,0.1617845072320447,77.5,0.0086504058950975,0.0,233816722175099.97,-0.768410471435599,14.397894467900349,-22.36525217328612,20.828431230414925,1.5,0.025,-99
111013_818,6,2017,4.115080646456875,0.0058050817472623,93.5,0.0034671931907658,0.0202065970305828,94.9341678585579,-0.768410471435599,14.397894467900349,-22.36525217328612,20.828431230414925,1.5,0.025,-99
111014_818,6,2017,1.4288524008325487,0.2262496634642994,70.0,0.0048840630105475,0.0,0.0,-0.768410471435599,14.397894467900349,-22.36525217328612,20.828431230414925,1.5,0.025,-99
111015_818,6,2017,5.924559211173556,5.248011795021098e-06,93.5,0.0034671931907658,20.1924737226363,28.648593793238007,-0.768410471435599,14.397894467900349,-22.36525217328612,20.828431230414925,1.5,0.025,1
111016_818,6,2017,1.7502420493826143,0.1529377654920277,85.0,0.0113619710237046,0.0021340360992825,18.819244011759693,-0.768410471435599,14.397894467900349,-22.36525217328612,20.828431230414925,1.5,0.025,-99
111017_818,6,2017,5.642956213771036,1.039228942601608e-05,87.5,0.0118996445841574,8.445764499911856,30.231396426345903,-0.768410471435599,14.397894467900349,-22.36525217328612,20.828431230414925,1.5,0.025,1
111018_818,6,2017,2.131704345025976,0.0971627458533486,86.5,0.008183796885243,0.0027366247986826,69.66159605612816,-0.768410471435599,14.397894467900349,-22.36525217328612,20.828431230414925,1.5,0.025,-99
111019_818,6,2017,5.88365232102621,8.290202158824198e-06,95.5,0.0022214145869887,11.85701282054135,29.663405906111407,-0.768410471435599,14.397894467900349,-22.36525217328612,20.828431230414925,1.5,0.025,1
111020_729,6,2017,1.4344867261724117,0.2247474791887752,70.0,0.0048840630105475,0.0,0.0,-0.768410471435599,14.397894467900349,-22.36525217328612,20.828431230414925,1.5,0.025,-99
111020_818,6,2017,1.0,0.373900966300059,60.0,0.0574331196320036,0.0,0.0,-0.768410471435599,14.397894467900349,-22.36525217328612,20.828431230414925,1.5,0.025,-99
111030_729,6,2017,4.453853009298121,0.0005090981304285,90.5,0.0065472876128609,11.4138140563382,30.42240882153556,-0.768410471435599,14.397894467900349,-22.36525217328612,20.828431230414925,1.5,0.025,1
111030_818,6,2017,,,50.0,1.0,0.0,0.0,-0.768410471435599,14.397894467900349,-22.36525217328612,20.828431230414925,1.5,0.025,-99
