PFAF_ID,id_bgl,start_year,basin_level,permanent_area,Country_ID
111011,111011_818,2017,6,78.2486864354101,818
111012,111012_818,2017,6,233816722175099.97,818
111013,111013_818,2017,6,94.9341678585579,818
111014,111014_818,2017,6,0.0,818
111015,111015_818,2017,6,28.648593793238007,818
111016,111016_818,2017,6,18.819244011759693,818
111017,111017_818,2017,6,30.231396426345903,818
111018,111018_818,2017,6,69.66159605612816,818
111019,111019_818,2017,6,29.663405906111407,818
111020,111020_729,2017,6,0.0,729
111020,111020_818,2017,6,0.0,818
111030,111030_729,2017,6,30.42240882153556,729
111030,111030_818,2017,6,0.0,818
111041,111041_729,2017,6,99.70838996088804,729
111042,111042_729,2017,6,0.0,729
111043,111043_729,2017,6,0.0,729
111044,111044_729,2017,6,0.0,729
111045,111045_729,2017,6,0.0,729
111046,111046_729,2017,6,0.0,729
111047,111047_729,2017,6,0.0,729
111048,111048_729,2017,6,0.0,729
111049,111049_729,2017,6,0.0,729
111050,111050_729,2017,6,20.83833829741349,729
111060,111060_729,2017,6,129648.22058326314,729
111070,111070_729,2017,6,16.820430719220308,729
111081,111081_232,2017,6,0.0,232
111081,111081_729,2017,6,0.0,729
111082,111082_232,2017,6,0.0,232
111082,111082_729,2017,6,0.0,729
111083,111083_232,2017,6,0.0,232
111083,111083_729,2017,6,0.0,729
111084,111084_232,2017,6,3.3476574468088947,232
111084,111084_729,2017,6,0.0,729
111085,111085_232,2017,6,0.0,232
111085,111085_729,2017,6,0.0,729
111086,111086_232,2017,6,0.0,232
111087,111087_232,2017,6,9116.244422695923,232
111088,111088_232,2017,6,100.00069796717132,232
111089,111089_232,2017,6,242.84936200047431,232
111090,111090_232,2017,6,0.0,232
111091,111091_729,2017,6,84843998774880.0,729
111092,111092_729,2017,6,255716830724849.97,729
111093,111093_232,2017,6,23.15415710436627,232
111093,111093_729,2017,6,37.23935786628105,729
111094,111094_232,2017,6,0.0,232
111095,111095_232,2017,6,3.134596220855327,232
111096,111096_232,2017,6,517374102491879.9,232
111097,111097_232,2017,6,24.290509824139452,232
111098,111098_232,2017,6,583.4282520047295,232
111099,111099_232,2017,6,26.76558071701968,232
112011,112011_706,2017,6,0.0,706
