M49Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
152,12571141,12734440,12905345,13082730,13272957,13472680,13673704,13889648,14117669,14352193,14593174,14858402,15124286,15403612,15702682,16011566,16336261,16674309,17030226,17402212,17790254
156,1068695953,1075243505,1082024111,1088906064,1095866661,1102865820,1110539180,1118147905,1125913128,1134077954,1142224118,1150794184,1159303546,1168257721,1177342973,1186713427,1196295869,1206180516,1216354046,1226674917,1237358720
162,1307,1274,1349,1295,1317,1318,1261,1289,1316,1321,1256,1246,1237,1214,1199,1204,1228,1254,1265,1255,1246
166,247,261,284,281,269,271,276,281,289,282,275,271,277,274,280,281,296,294,292,285,282
170,32852511,33582119,34342892,35123861,35934994,36776819,37646196,38546921,39481106,40456701,41471372,42520580,43613773,44750998,45941600,47175005,48476635,49835588,51263679,52757766,54345383
174,437844,447270,459205,470640,483411,495523,508627,520966,535135,549330,562661,578658,593095,607246,622971,640660,656132,674354,692017,710278,728344
175,112893,116095,119047,122431,125847,129051,133016,137025,141330,144690,149495,153851,158419,162926,167373,172912,177861,184187,189182,195703,201723
178,4054541,3847860,3672085,3526098,3402201,3303534,3213638,3141319,3086135,3046627,3014132,2996705,2991189,2996534,3014126,3046901,3093661,3155937,3233415,3335383,3453452
180,39370014,41022816,42764520,44593711,46529054,48565313,50727285,53007897,55417292,57959212,60661365,63508348,66532200,69728326,73124014,76727308,80557058,84620974,88941067,93535645,98430917
184,9496,9608,9414,9523,9526,9546,9712,9761,9714,9813,9795,9794,9604,9650,9739,9761,9843,9822,9926,9957,10024
188,3272563,3305903,3339694,3375417,3410928,3448081,3486552,3526544,3566953,3607667,3650605,3695072,3740194,3786068,3833430,3882056,3933113,3985088,4038465,4092903,4149289
191,3793231,3775592,3758867,3742481,3728806,3714030,3703246,3686127,3673558,3652828,3641955,3628689,3616073,3602404,3591244,3582271,3569550,3560268,3551492,3540723,3529983
192,9585048,9578258,9576338,9574535,9573328,9570506,9567887,9566788,9567020,9568239,9568166,9568087,9567159,9568296,9571310,9572591,9575473,9577781,9581216,9584681,9589177
196,767152,781781,795455,810312,825908,841156,857711,874667,891300,908661,927400,945220,966229,986557,1007222,1028963,1050441,1073633,1097504,1121777,1147215
203,8804433,8814785,8826637,8839836,8855079,8869978,8885924,8903700,8922716,8945138,8967232,8991991,9018050,9045923,9077531,9111544,9146453,9185044,9227300,9272895,9323185
204,5443980,5632561,5825042,6026376,6237027,6460061,6688503,6929382,7180083,7440713,7711677,7997503,8296968,8607168,8931782,9274198,9631455,10004277,10394636,10802971,11230418
208,4404679,4422862,4440187,4459821,4480724,4502912,4524626,4547726,4573128,4599238,4626906,4652475,4684842,4716452,4748369,4782583,4817881,4854516,4892048,4932784,4974975
212,59628,59547,59592,59314,59323,59293,59231,59253,59203,59094,59061,59084,58799,58691,58759,58785,58715,58667,58710,58745,58792
214,6706824,6814969,6928851,7051395,7178599,7313445,7453375,7604893,7759903,7919524,8092611,8273536,8463702,8664820,8875086,9096978,9327664,9575119,9832197,10109045,10397555
218,10238226,10439303,10644668,10854067,11068366,11286314,11510431,11737745,11969197,12206778,12450230,12700395,12959011,13220521,13483522,13755011,14034934,14317357,14607544,14904333,15206962
222,4646878,4684033,4723165,4763429,4804768,4849225,4895306,4943000,4993175,5046300,5101384,5158466,5213920,5277253,5343826,5412210,5484833,5560895,5640703,5725398,5814029
226,849052,859391,870628,883078,895294,906593,917932,930333,943554,957313,968250,981439,994795,1008874,1021155,1037144,1049216,1063761,1077636,1093453,1106793
231,52781419,54178755,55617160,57091122,58611609,60168995,61767145,63409704,65106132,66832937,68617364,70454310,72336423,74269669,76251768,78286283,80368062,82522814,84731097,87008558,89347177
232,2703858,2740694,2778949,2817929,2854070,2891690,2932135,2973606,3009096,3059406,3100717,3144503,3194373,3240598,3291671,3339499,3387778,3439546,3490949,3543877,3599146
233,1210063,1186318,1167399,1152117,1139471,1129504,1121373,1115240,1111450,1109249,1107768,1108567,1110747,1114864,1120131,1128251,1138117,1150073,1164697,1181978,1203321
234,32987,33510,33678,33889,34113,34085,34439,34443,35207,34838,35305,35879,35999,36355,36514,36837,37323,37763,38098,38725,39034
238,2093,2002,2125,1999,2082,1926,1897,1844,1883,1896,1981,1835,1242,1165,1283,1235,1243,1302,1141,1125,1185
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,648227,653897,658963,663898,668906,674274,678940,684095,689749,695282,700895,706717,713047,719115,724967,731341,737486,743988,750371,757100,763987
246,4403050,4418843,4435303,4452745,4469694,4487153,4505169,4524090,4544406,4563797,4583011,4605392,4627620,4650082,4672409,4695935,4719973,4744363,4769189,4794530,4820809
248,20531,20780,20947,21129,21299,21496,21661,21760,22064,22245,22424,22669,22939,23136,23414,23579,23805,24031,24239,24523,24722
250,50397206,50699856,51021550,51347789,51684512,52017436,52369043,52725425,53090613,53462006,53843255,54232417,54621960,55037878,55455853,55886094,56332927,56782428,57244114,57718631,58206374
254,137127,141971,146954,152194,157695,163518,169850,176490,183092,190518,198088,205892,214116,222895,232349,242511,252579,263586,275199,287303,300150
258,181981,184545,186661,188063,190535,192779,194942,197275,200220,202164,205131,207814,209352,211590,214416,217305,220222,223820,226821,229389,232491
262,528466,543742,559895,576833,594532,613077,632619,652252,672717,694348,716904,739807,762904,787675,812998,840392,868190,898053,928284,959988,992478
266,1133745,1174863,1221539,1272223,1320952,1372429,1426147,1484368,1544488,1609491,1671929,1742209,1817550,1894372,1972531,2060359,2147524,2241922,2337749,2446366,2556331
268,4025355,3969992,3915837,3865179,3814839,3765581,3718108,3673270,3629713,3586371,3545087,3506345,3466719,3429495,3393411,3360211,3326650,3295208,3264055,3234523,3205849
270,1068652,1099157,1132125,1166763,1202780,1241445,1283218,1325184,1368307,1412898,1460631,1509279,1562748,1615511,1673585,1734345,1798280,1868513,1941633,2015761,2090993
276,71538590,71307268,71076884,70851132,70630745,70408906,70193158,69982468,69765588,69561498,69357624,69152327,68947470,68750491,68558482,68367452,68182287,67998386,67817670,67638437,67464943
288,16312601,16732745,17163150,17612153,18078188,18561192,19063261,19584034,20125623,20688546,21269511,21874073,22498379,23141098,23825211,24531719,25259299,26014266,26806919,27628693,28487563
292,18584,19066,19178,19412,20008,20197,20678,20543,20623,21105,21556,21478,22885,22223,23995,24537,24705,24964,25367,25517,25939
296,23658,23913,24172,24486,24757,25190,25636,25922,26404,26808,27289,27927,28604,29136,29813,30454,31280,32018,32898,33715,34713
300,8999910,9002741,8998661,8984405,8974772,8973642,8954455,8952430,8942046,8902535,8898540,8893231,8870452,8859525,8854331,8840062,8831196,8816031,8813334,8801983,8793122
304,29077,29632,29455,29737,29392,29110,29690,29370,29673,29825,29561,30124,29464,29476,29924,30185,29902,30314,30334,30153,30351
308,83066,83012,82976,83022,83277,83136,83143,83251,83210,83342,83395,83597,83530,83675,83739,83741,83707,83798,83928,83972,84079
312,315501,316294,317545,318795,320158,321573,322761,324327,325717,326896,328517,330980,331627,333199,335134,336474,338406,340471,342726,344871,347257
316,131567,131826,132431,132866,133366,133723,134108,134571,134985,135322,135927,136160,136964,137410,137941,138453,139012,139510,140166,140823,141347
320,9825870,10045608,10273406,10506077,10746836,10993548,11248309,11509065,11779201,12057199,12341533,12635888,12935954,13247098,13568052,13898135,14238908,14589876,14950591,15323262,15706164
324,6656034,6784401,6917995,7055888,7200020,7350806,7507910,7671631,7842049,8023416,8207297,8404884,8606992,8817535,9039249,9278396,9523289,9782510,10054287,10338753,10641964
328,626349,626351,625544,625341,624626,624429,623896,623513,623958,624728,624255,624438,622906,622805,621982,622788,622366,623036,623033,622492,623286
332,6607003,6754537,6913311,7088026,7271853,7466752,7675543,7894766,8131404,8388309,8659540,8948057,9239940,9560923,9901417,10265971,10654137,11070573,11517059,11998521,12513112
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,911,911,913,918,920,923,926,930,935,935,938,942,945,950,953,956,957,960,963,968,971
340,5475394,5582653,5692620,5805165,5920242,6037973,6158326,6281376,6408028,6537961,6669929,6806994,6946440,7087829,7234303,7385295,7537554,7695199,7855828,8020365,8189326
344,4556510,4586392,4616912,4649755,4680390,4712971,4747877,4783262,4813346,4843749,4882982,4918163,4950068,4986421,5020531,5063911,5104971,5144317,5182861,5228032,5268966
348,9423570,9330800,9241151,9154751,9071355,8989843,8911422,8834913,8761343,8691081,8623106,8557149,8495193,8433185,8374682,8317595,8263340,8209870,8159518,8110961,8064530
352,218978,222597,223900,227758,231035,234873,238054,241199,243362,249176,251818,256608,259502,262797,267252,270219,274185,278519,282704,287491,292658
356,862424379,876291149,890382747,904763716,919393724,934379415,949620854,965170006,981031388,997159264,1013648170,1030523938,1047710399,1065237843,1083102589,1101392596,1120055874,1139066875,1158447073,1178198969,1198399374
360,173283401,175736181,178417515,181051882,183814646,186617381,189481679,192497356,195589161,198743879,202026258,205372208,208783208,212350545,216094081,219954676,223836643,227962649,232206427,236634095,241165285
364,65376224,64786443,64353760,64049154,63857543,63762750,63754909,63822554,63957613,64145276,64393827,64686266,65029918,65413438,65844828,66308976,66812282,67347911,67924151,68530640,69176078
368,20823940,21442002,22079987,22740316,23422595,24129863,24859555,25614406,26394609,27205531,28046700,28915769,29808465,30741035,31712324,32709922,33741816,34813916,35924155,37076044,38272403
372,3318049,3355572,3398164,3441370,3486086,3533556,3583526,3635729,3691381,3749202,3811408,3876324,3945063,4017904,4093975,4174589,4258165,4350768,4444445,4548550,4655925
376,5187259,5099632,5010635,4927465,4842441,5678837,5581895,5484057,5393379,5301400,6231425,6131170,6030635,5922690,5819268,6857765,6735657,6618966,6500149,6382719,7539423
380,48795700,48981954,49172292,49365618,49564530,49767448,49975164,50188269,50402092,50622887,50847457,51077463,51310805,51553712,51797095,52048985,52304276,52567107,52833507,53105672,53385399
384,13794188,14130066,14473309,14827328,15194808,15568397,15956355,16356405,16767752,17189926,17628033,18080652,18543884,19025331,19519524,20033434,20561934,21108222,21671998,22255688,22859770
388,2189643,2195832,2204230,2211691,2218901,2226931,2233193,2240540,2247910,2256594,2263594,2270849,2276595,2282615,2291157,2299296,2307261,2314893,2323723,2332574,2340467
392,107357325,107394756,107410066,107511943,107585356,107667294,107707478,107627217,107844227,107832074,107775424,107953037,107673759,107860732,107792234,107702185,107996522,108105012,108123589,108074637,108258602
398,12960577,13022108,13092744,13170934,13249390,13340773,13435758,13541070,13651235,13768820,13888848,14026757,14157343,14307171,14458752,14623140,14795139,14975702,15169564,15368790,15577227
400,4036339,4124166,4211296,4301903,4392509,4486501,4581990,4678515,4778248,4879248,4982475,5087691,5193405,5305149,5417590,5535228,5652102,5772712,5894457,6019474,6147381
404,25323341,26073843,26844226,27641140,28466166,29325390,30210508,31145593,32105851,33107844,34151801,35233499,36365025,37536868,38774032,40049219,41397976,42789619,44250333,45766776,47363368
408,19789131,19783248,19798037,19810584,19819210,19830661,19840071,19852407,19867832,19871727,19895247,19910383,19925637,19946730,19946236,19960384,19978769,19996632,20014553,20024650,20045182
410,39248464,39341849,39449798,39571068,39703227,39855436,40020180,40206082,40405348,40614508,40864582,41118655,41391558,41688142,42008569,42359950,42735248,43135616,43562765,44027376,44523840
414,1548782,1600417,1655903,1711495,1770300,1829717,1891934,1955282,2024926,2093542,2164306,2237882,2315013,2393752,2476108,2559849,2649120,2740908,2834964,2933260,3033746
417,4521331,4558177,4578639,4605824,4632682,4657110,4679573,4716636,4750558,4768105,4806444,4837031,4858063,4885861,4914044,4944918,4967085,4998484,5025328,5059927,5091070
418,4435368,4509815,4590716,4672499,4756689,4843143,4931735,5023233,5119809,5217636,5318690,5425420,5533716,5645521,5758991,5876728,5999778,6125196,6256261,6391432,6529100
422,3094438,3239152,3394726,3553769,3729025,3910916,4105643,4308119,4530976,4761601,5008545,5271571,5551103,5848041,6168923,6508195,6870547,7251139,7655827,8087402,8551704
426,1602612,1602637,1602143,1602158,1601707,1601965,1602019,1602293,1602780,1603066,1603471,1603311,1604734,1604626,1605126,1606214,1606721,1607486,1608042,1609397,1609735
428,1426425,1454870,1484220,1513933,1544783,1575693,1607689,1640378,1673961,1708225,1743398,1779019,1815690,1852735,1891236,1929988,1970056,2010666,2052362,2095150,2138681
430,2507416,2562504,2616506,2672919,2732501,2792935,2855703,2918409,2983071,3050081,3116481,3187706,3259369,3333555,3408570,3484208,3566088,3649747,3732905,3819031,3908066
434,4428828,4494335,4562246,4629801,4699323,4768785,4840212,4912308,4984509,5062671,5138738,5214352,5292647,5372398,5450518,5532245,5615180,5698127,5782914,5870274,5956830
438,28068,28308,28559,28747,29027,29219,29489,29801,30072,30355,30567,30940,31366,31620,31844,32103,32439,32694,33042,33345,33610
440,3004297,2965726,2927444,2889884,2853396,2817946,2782950,2748897,2715587,2682931,2651225,2620208,2588950,2559467,2530788,2502276,2474938,2447946,2421560,2396142,2371321
442,372924,378500,384234,390123,395918,401895,408171,414393,420993,427454,434179,441174,448940,455950,463457,470841,478609,486414,494523,502804,511107
446,350522,355011,360423,367634,374755,382802,387227,396333,402338,411442,420661,430013,436597,443568,456328,469218,478445,489248,501920,513558,529453
450,13194447,13523322,13864562,14226875,14598907,14990139,15405901,15838565,16292228,16767883,17268805,17794980,18348391,18930244,19539272,20178791,20854823,21568380,22314099,23102862,23935247
454,9035878,9279372,9529048,9788221,10056827,10333074,10618720,10913120,11220499,11535425,11863444,12203139,12555274,12922308,13296298,13694853,14104056,14528583,14973317,15437866,15927383
458,18688409,19090109,19505717,19947621,20388877,20846033,21313116,21786353,22287730,22802747,23316161,23868958,24404552,24981864,25562573,26176005,26802284,27453909,28113282,28814019,29517124
462,134797,143712,143014,146911,163516,168948,176251,184486,192778,199611,209608,218312,233076,247786,258907,271885,277887,291510,309200,337166,355269
466,8976153,9299328,9637025,9989702,10360249,10749546,11158777,11588697,12040223,12514925,13018307,13550739,14112825,14706164,15336422,16003431,16712679,17466376,18269183,19125582,20039738
470,330714,332069,333361,334793,336360,337311,339413,340966,342270,344162,345660,347805,349745,351641,353121,355328,357538,359531,362112,363774,366339
474,325648,326959,328011,329358,330684,331971,333442,334937,336493,338007,339721,341273,342716,344759,346258,348206,349981,351935,354032,356072,358237
478,2153397,2200878,2253808,2308329,2365572,2425834,2489112,2555742,2624539,2697402,2775041,2855488,2942801,3033180,3127990,3230443,3336983,3449036,3571176,3699447,3835077
480,2002314,2010259,2018441,2027498,2035947,2044657,2054322,2064104,2073249,2082901,2091494,2100698,2110479,2120695,2129711,2139891,2149862,2159203,2170106,2181475,2192529
484,82321618,83551778,84816550,86133174,87482364,88882823,90333851,91839468,93400874,95026873,96716959,98477426,100317554,102248289,104301396,106485037,108831936,111382329,114201031,117375776,121040172
492,26551,26745,26807,27240,27462,27849,28259,28524,28937,29276,29681,29983,30470,30811,31134,31611,31981,32276,32755,33156,33541
496,2044307,2060548,2077735,2097215,2117824,2140526,2164102,2189821,2217549,2246910,2278364,2312972,2349004,2388065,2428061,2470977,2515859,2563441,2613783,2666786,2722614
498,3445276,3428887,3410956,3392824,3376392,3359995,3344270,3330332,3315378,3300973,3286443,3273156,3258662,3245822,3234431,3222625,3211379,3199335,3190324,3180380,3169270
499,550566,547497,546303,543698,541922,540783,539611,538465,536900,535387,533576,533240,531181,530696,530324,529407,528264,529484,528067,527976,528980
500,3641,3673,3713,3746,3783,3799,3835,3877,3901,3957,3987,4028,4047,4104,4144,4190,4233,4277,4309,4352,4398
504,24186266,24441794,24713479,24991370,25274241,25562068,25854949,26156066,26458096,26776330,27092465,27426612,27751079,28092164,28439372,28801078,29158610,29527026,29901275,30285099,30674949
508,14188865,14587554,15000276,15433137,15880685,16352603,16841242,17353599,17884125,18441656,19027008,19631221,20268399,20935244,21637865,22364194,23129255,23933150,24773446,25655218,26581138
512,1879619,1925892,1969776,2014147,2064579,2108870,2164573,2216890,2271341,2336371,2398133,2459362,2519714,2594900,2661182,2736058,2818767,2896856,2987374,3081892,3179845
516,1576094,1595528,1615286,1634997,1655625,1677510,1699885,1723063,1747267,1771888,1797624,1823552,1849334,1877330,1906803,1937239,1968826,2000737,2034753,2069826,2105897
520,6624,6560,6553,6457,6417,6322,6273,6162,6122,6105,6128,6078,6012,6020,6045,5993,5998,6073,6058,6085,6101
524,20004305,19932450,19923972,19980326,20097621,20277844,20519344,20828127,21205694,21656601,22189206,22810487,23539198,24374295,25341445,26444779,27720301,29195698,30903384,32876465,35163369
528,13621444,13670787,13723080,13774613,13827953,13883714,13938899,13999331,14058177,14114717,14177351,14237746,14298566,14363215,14427440,14493003,14559550,14626785,14694955,14763217,14834719
531,109707,111142,112466,114044,115515,117121,118827,120579,122323,124140,126106,128138,130303,132470,134649,137015,139520,142000,144547,147233,149979
533,77952,78782,79630,80473,81392,82280,83263,84127,85157,86254,87283,88428,89590,90757,92124,93458,94797,96125,97606,99092,100629
534,25736,25711,25608,25602,25555,25517,25490,25463,25443,25378,25395,25400,25422,25422,25409,25414,25460,25482,25509,25547,25586
535,8686,9042,9395,9795,10188,10626,11052,11527,11989,12445,12917,13503,13978,14594,15229,15842,16499,17177,17879,18619,19390
540,147244,153291,153689,156121,157080,160323,161814,163711,166729,169575,173206,176935,179028,181648,186091,187971,191301,195907,201194,204789,210292
548,142918,148514,153158,156931,158643,163481,167136,170901,175261,179846,184465,188557,192630,197177,202148,206922,211346,217199,222461,227826,233873
554,2202845,2215682,2228586,2241976,2255176,2268515,2282212,2295967,2310111,2324523,2338914,2353780,2368439,2384044,2399853,2415521,2431572,2447885,2464320,2481337,2498451
558,4053201,4121803,4191506,4263743,4337954,4414701,4493575,4574858,4658539,4744303,4833945,4925849,5021931,5120046,5221799,5327786,5435536,5548939,5666084,5788081,5915017
562,9134678,9491401,9867263,10260619,10667248,11097528,11546227,12005271,12503252,13013868,13554062,14110652,14703552,15311808,15956245,16630276,17342669,18089959,18868644,19690005,20559460
566,100660891,103790464,106995113,110312726,113740652,117270540,120914149,124685933,128560800,132572058,136726227,141002744,145418825,149999575,154731794,159610504,164644657,169854507,175244956,180812738,186579035
570,1476,1448,1408,1384,1360,1335,1311,1292,1275,1255,1238,1222,1224,1216,1200,1196,1189,1187,1180,1179,1184
574,2211,2165,2156,2133,2118,2085,2059,2006,1979,1955,1938,1903,1863,1842,1817,1797,1777,1763,1733,1711,1692
578,3680299,3714343,3741304,3779542,3813680,3844650,3877802,3918248,3953154,3985970,4028346,4063734,4121550,4155377,4200375,4235862,4280397,4323578,4365937,4410341,4458790
580,57201,56112,54816,53451,52067,50810,49652,48504,47236,46135,44880,43867,42885,42054,40955,39805,38946,38053,37081,36124,35181
583,56063,56134,56422,56543,56424,56435,56398,56474,56477,56552,56543,56729,56386,56619,56587,56760,56904,57123,57169,57268,57580
584,8591,8345,8988,8615,8701,8327,8493,8878,9361,9814,9828,10000,10358,10296,10712,10805,10982,11197,11307,11210,11410
585,7441,7857,7645,7781,7726,7939,8193,8408,8998,9177,9121,9810,10346,10778,10952,11444,11773,12372,12960,13365,14104
586,119559340,122481488,125511200,128599706,131776641,134985640,138319496,141737612,145229281,148814719,152481474,156244195,160112787,164078870,168133731,172318267,176592841,180977937,185457116,190069418,194792692
591,2402055,2446531,2492151,2535110,2583976,2631482,2678736,2728326,2779742,2830137,2884485,2937924,2993172,3051466,3108908,3166435,3225988,3287213,3350019,3413554,3478273
598,4445001,4564967,4691995,4821416,4956154,5095369,5240907,5389621,5546176,5707218,5874548,6048033,6226320,6413053,6605036,6807646,7014864,7231272,7457916,7691846,7935723
600,4567647,4641258,4714913,4792429,4870860,4950206,5034072,5119464,5205910,5295956,5387437,5481244,5574330,5673584,5774349,5879139,5987413,6097205,6210724,6327505,6447213
604,20669577,21013578,21359565,21718216,22086743,22468516,22875777,23279685,23710479,24213785,24641917,25109662,25613773,26101114,26675095,27218233,27821752,28439212,29085547,29772710,30477281
608,66925097,67528568,68300626,69375288,69918061,70907889,72038423,72658986,74076195,75198987,76255703,77340732,78741186,80090405,81169075,82817496,84349883,85726934,87545978,89080111,90786645
612,37,38,39,40,41,42,44,44,46,47,46,48,50,51,52,54,56,57,59,60,62
616,32793119,32812176,32834577,32855518,32880780,32908601,32939526,32970236,33010349,33049045,33092258,33137624,33183680,33237383,33294559,33356523,33425369,33499121,33578568,33663591,33754987
620,8555089,8557081,8559833,8562509,8566365,8570603,8575558,8581782,8588171,8595363,8603439,8611896,8620685,8630938,8641673,8653380,8665818,8679353,8692883,8708015,8723028
624,1010132,1032990,1055814,1079462,1103530,1128206,1153960,1180580,1207573,1234927,1264139,1293307,1323310,1353920,1386345,1418412,1453192,1488498,1523230,1560445,1598807
626,716646,732901,749123,767167,784993,803974,823255,843523,865177,887658,910909,935567,961120,988412,1016587,1045128,1074825,1107630,1140175,1175854,1211643
630,3268314,3260402,3253722,3246495,3239280,3232200,3225210,3218478,3211828,3205640,3199387,3193561,3187860,3182388,3176815,3171799,3166613,3161521,3156565,3152023,3147410
634,370355,424999,487237,559736,641739,736045,844557,969131,1111522,1274856,1464038,1678999,1927009,2210387,2536745,2908280,3338165,3830852,4395319,5044501,5785200
638,612783,621616,630475,639806,648794,658474,668195,677998,688107,698067,708479,719288,729884,740900,752133,763796,775078,786941,798801,811181,823783
642,18578470,18433107,18290797,18152777,18021157,17891070,17766579,17648889,17541970,17451339,17380161,17345585,17360222,17457014,17678201,18083189,18779721,19920059,21744514,24629901,29148648
