M49Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
643,125290671,124993424,124707113,124429117,124153421,123902211,123645655,123396360,123165825,122927318,122709236,122496405,122290466,122090810,121899561,121720742,121540918,121372769,121217767,121064476,120925627
646,6693929,6844618,7002227,7167796,7337015,7517254,7705367,7904919,8113274,8332615,8560452,8805511,9059401,9331105,9610919,9907857,10221350,10552678,10900173,11269428,11658690
652,5255,5415,5546,5724,5867,5986,6155,6294,6485,6716,6920,7093,7214,7433,7678,7914,8150,8354,8576,8789,9020
654,3711,3637,3548,3466,3388,3322,3247,3172,3105,3041,2969,2907,2839,2769,2724,2658,2606,2539,2486,2433,2359
659,38109,38606,39135,39758,40235,40846,41424,42027,42623,43261,43940,44548,45243,45933,46632,47287,47972,48712,49435,50206,50981
660,9845,9993,10057,10234,10322,10457,10583,10718,10819,10881,11055,11136,11403,11538,11686,11801,11918,12067,12197,12341,12490
662,128560,129257,129956,130467,131136,131723,132390,133131,133893,134860,135348,136737,137241,138172,139099,140184,141164,142044,143011,143970,144946
663,24250,24859,25401,26081,26705,27328,27992,28652,29347,30014,30880,31484,32272,32856,33715,34516,35355,36190,37058,37929,38817
666,3157,3087,3108,3064,2847,2851,2883,2930,2870,2848,2976,2750,2739,2754,2759,2712,2689,2674,2653,2650,2626
670,89702,89715,89669,89686,89707,89909,90025,90178,90192,90437,90513,90610,90858,91188,91352,91466,91592,91804,91967,92140,92321
674,23207,23502,23787,24078,24386,24706,25018,25339,25662,25994,26332,26726,27076,27445,27802,28180,28581,28963,29394,29802,30206
678,112453,115452,118010,121034,124033,126808,129821,133003,136073,139860,142991,146395,150043,153558,156956,160867,164653,168562,172398,177039,181174
682,17191533,17721911,18268475,18833228,19416583,20017231,20637878,21276833,21935130,22618575,23325804,24057797,24809246,25585937,26381926,27208470,28056621,28936377,29841899,30773613,31743258
686,7919802,8146292,8386432,8631876,8879648,9140569,9396397,9671871,9954835,10248109,10544221,10853771,11176116,11502056,11848745,12190882,12543440,12911518,13279950,13664984,14060206
688,7664937,7659718,7655189,7652903,7651723,7651255,7651231,7653665,7658150,7664455,7671211,7678632,7686248,7698118,7710411,7725346,7740680,7757953,7777303,7798493,7820683
690,128,100,91,90,98,92,93,94,96,105,111,106,101,100,109,111,111,105,114,112,114
694,3903278,3974898,4052842,4133747,4213986,4294370,4379333,4463946,4555414,4644001,4737033,4832276,4928964,5034741,5140183,5243982,5355996,5463701,5583534,5699524,5822288
702,2760500,2792466,2826110,2860654,2897019,2931330,2972384,3015287,3057709,3098322,3150321,3198889,3256226,3313469,3370024,3431886,3498649,3572468,3644783,3724694,3810044
703,4633100,4632067,4630722,4629886,4628978,4629999,4631047,4631889,4633716,4635793,4637986,4640143,4642876,4646222,4649951,4655046,4659920,4665679,4671461,4677725,4685071
704,66986728,67590222,68230196,68891869,69583172,70300647,71048503,71840700,72633911,73469338,74352341,75249520,76185155,77174802,78176955,79223747,80301741,81431021,82601081,83815396,85064630
705,1655065,1664658,1674325,1684394,1694669,1705008,1715821,1726709,1737425,1748786,1760757,1772195,1783369,1795834,1807718,1820283,1833056,1846331,1859746,1873178,1887012
706,5663814,5812869,5963997,6120922,6281275,6446081,6617283,6789544,6969617,7149270,7336742,7530402,7727846,7930502,8141181,8351511,8571069,8794930,9025613,9262761,9506572
710,38030831,38549323,39081546,39624302,40186569,40766952,41358377,41966843,42596934,43244142,43912475,44596098,45298230,46020739,46761214,47522730,48304805,49110503,49938666,50789229,51665461
716,9790361,9903086,10016980,10132153,10249705,10368080,10489014,10610963,10734918,10860224,10987887,11118377,11249491,11383700,11517485,11654957,11795069,11935952,12079008,12224623,12371916
724,32692213,33116190,33542723,33987329,34438007,34901543,35377843,35850533,36353811,36806880,37302696,37808485,38302608,38827553,39367747,39918173,40456060,41048048,41613016,42213730,42804094
728,5249311,5428691,5620757,5825527,6045710,6281903,6535728,6811542,7110604,7436848,7794479,8185610,8618394,9095514,9629516,10222092,10890305,11634137,12474110,13423865,14501951
729,21603059,22155750,22717526,23297705,23893054,24509392,25156754,25816472,26500740,27204744,27932439,28684273,29454053,30253984,31081936,31934870,32816205,33729840,34670670,35644275,36649968
732,319677,322060,325708,329323,332124,335578,339765,344607,348541,352004,356961,362778,366767,371866,376465,381730,387327,394440,399489,406855,412259
740,407597,409944,412808,416473,419675,423240,427598,432094,437242,442835,448434,454864,461653,468491,476426,484224,493236,502273,511860,522288,532817
744,1729,1767,1799,1844,1882,1925,1969,2013,2054,2102,2137,2192,2238,2287,2339,2384,2439,2490,2544,2604,2666
748,844185,848751,853415,857828,862621,867298,871830,876642,881296,886220,890888,895839,900620,905352,910583,916028,921010,926398,931642,936956,942425
752,7348813,7404830,7464273,7517417,7572800,7630200,7692265,7751292,7818326,7874823,7937322,8008167,8081088,8147940,8208896,8282597,8354371,8426475,8499365,8572686,8648896
756,6225886,6280744,6334002,6390207,6447404,6504031,6563193,6622356,6683283,6746310,6807942,6870773,6934900,7001077,7067534,7134899,7204877,7274862,7346275,7418856,7492933
760,13990024,14345940,14708325,15078437,15463559,15857078,16260776,16668668,17095807,17527981,17969750,18434660,18890752,19357593,19855680,20363275,20885450,21420866,21968088,22531114,23112193
762,5264515,5379075,5488473,5603749,5725005,5845876,5966760,6098644,6227852,6350024,6495509,6632473,6780965,6930861,7083478,7237917,7391626,7550414,7718178,7891707,8061007
764,52446100,52764401,53108876,53475662,53865473,54285060,54730452,55205480,55707922,56240163,56807308,57408000,58037759,58709242,59422675,60177521,60969099,61806693,62685685,63618552,64604222
768,3915700,4019575,4130609,4246303,4364702,4493512,4624828,4761871,4905280,5056769,5218053,5387158,5569872,5762970,5959592,6168196,6394335,6634289,6882387,7144840,7423724
772,1090,1083,1072,1070,1062,1051,1044,1043,1038,1028,1018,1013,1012,1013,995,988,980,973,968,957,956
776,160955,160515,161803,161705,161926,162140,161746,161989,162787,164411,166125,166513,166768,167979,168313,169119,169575,170383,170516,171296,172712
780,1046701,1050496,1055056,1060493,1065440,1070482,1074551,1080099,1085693,1090997,1096282,1102448,1106501,1112374,1119345,1125144,1131044,1137829,1144071,1151049,1157197
784,2558205,2691567,2847742,3013741,3177372,3355962,3536851,3752602,3960409,4180998,4415438,4662415,4932785,5208759,5504137,5809863,6165072,6510662,6897582,7295924,7717067
788,8175911,8248892,8324975,8402299,8481521,8562248,8647705,8733755,8818479,8912175,9007013,9096071,9194501,9295466,9397029,9501814,9610078,9720692,9836742,9955029,10073590
792,61270384,61273307,61296743,61380976,61512553,61686106,61895049,62157356,62455392,62790806,63183115,63607695,64066688,64585707,65133939,65729871,66361657,67038990,67765068,68533489,69337165
795,4943413,5078546,5217985,5360918,5509148,5659284,5816726,5975477,6142369,6313907,6485581,6665150,6846787,7034924,7229989,7432404,7639350,7854279,8067018,8292537,8518463
796,14870,15474,16073,16676,17318,18018,18798,19590,20441,21306,22247,23344,24594,25870,27146,28534,29990,31582,33240,35042,36969
798,921,926,924,902,915,918,906,890,885,883,884,869,889,873,864,835,860,854,842,838,836
800,19850184,20417805,21005260,21613389,22243401,22898326,23575898,24279714,25008182,25765989,26552004,27368206,28220453,29101236,30019537,30973291,31962987,32990966,34063284,35178620,36339371
804,41847001,41604899,41365933,41137703,40897362,40670752,40445224,40221531,40002884,39784093,39575492,39359060,39154484,38948890,38749748,38551671,38355646,38160180,37970971,37781775,37597147
807,1750928,1753600,1756744,1759222,1762577,1766481,1769999,1773827,1776988,1779833,1783732,1787581,1792837,1796668,1800059,1803696,1807632,1812172,1815606,1819144,1823495
818,55993186,56974336,57989433,59016189,60062446,61139932,62255946,63402621,64575927,65787847,67051880,68330563,69662943,71041684,72459191,73936437,75470260,77053145,78721117,80433200,82253171
826,49749302,50103021,50460159,50814327,51176890,51545533,51923659,52301390,52681534,53065493,53454774,53849189,54249043,54652378,55060224,55471459,55886214,56306991,56733569,57172077,57609239
831,49476,49513,49599,49714,49943,50125,50499,50746,50846,50951,51197,51328,51481,51656,51814,51978,52069,52144,52322,52759,52919
832,68804,69298,69977,70502,71309,72142,73046,73926,74781,75464,76440,77334,78124,78981,79793,80839,81669,82636,83689,84682,85656
833,63342,63959,64637,65205,65944,66683,67470,68159,68942,69673,70452,71309,72160,72894,73761,74582,75378,76208,77153,78188,79129
834,28101763,28823830,29572016,30340421,31133192,31956066,32807985,33689620,34599757,35545327,36523112,37533645,38581624,39671818,40796168,41961344,43168209,44424125,45727588,47079397,48480933
840,241086779,243173099,245309154,247496836,249734543,252093412,254440984,256860147,259321197,261837670,264492536,267132875,269840129,272612468,275456654,278454343,281442200,284505338,287648036,290872295,294270751
850,88748,88529,88198,88182,87849,87643,87513,87357,87190,87042,86898,86810,86840,86758,86569,86495,86424,86370,86197,86081,85987
854,9977205,10287144,10607196,10941483,11290973,11656083,12036168,12432895,12848335,13281148,13732008,14204605,14698036,15217897,15760935,16326786,16921246,17545808,18201307,18887798,19608697
858,2767977,2770904,2774109,2776847,2780419,2784810,2789536,2794975,2800677,2806976,2812995,2819713,2827145,2835050,2842548,2850917,2859552,2867939,2877702,2887457,2897894
860,20707282,21035028,21388475,21739361,22097908,22464708,22844076,23208690,23584637,23997651,24379552,24782862,25205704,25624518,26053667,26483813,26944560,27395284,27857152,28317715,28804019
862,19342024,19648489,19962709,20284916,20614768,20941960,21289293,21635507,22009016,22376959,22757771,23158623,23532361,23962722,24381359,24822982,25289133,25762796,26252047,26765463,27297650
876,12694,12465,12198,11949,11763,11504,11206,11043,10795,10593,10365,10135,9868,9708,9465,9292,9105,8913,8761,8569,8411
882,286777,287735,290083,291454,292407,295093,296283,298693,300447,302931,304159,305955,306580,308859,311359,312310,314463,317100,318818,321240,324190
887,14988125,15408117,15838102,16278996,16731258,17200655,17677691,18173353,18685742,19203947,19735602,20285417,20852659,21436779,22034520,22647911,23273156,23926034,24591288,25278932,25984034
894,8349551,8583747,8829370,9086356,9356088,9639691,9935612,10246078,10571716,10913818,11271883,11648944,12045961,12464498,12904523,13365852,13856410,14372909,14920119,15498906,16112614
999,18967538,19033669,19101287,19175285,19236114,19304832,19373474,19441613,19514303,19597151,19674310,19751202,19821327,19907438,19994272,20081484,20172442,20266203,20354920,20445543,20542348
1011,201822,201913,202079,202320,202556,202801,202851,203107,203292,203522,203695,203923,204308,204619,204981,205236,205617,205737,206233,206355,206945
1012,1312649,1334153,1369931,1393458,1428103,1452756,1484031,1507921,1545454,1592917,1623377,1663881,1702055,1738843,1773879,1811298,1848892,1887711,1928472,1965542,2006831
1013,1670,2157,1706,1635,1653,1722,1954,1915,1932,1987,2156,2357,2440,2489,2288,2316,2341,2389,2443,2431,2455
1014,575161,591734,604851,623693,645946,658651,680862,702513,715244,738677,757220,777599,806171,837282,860302,896408,920825,958164,987391,1023361,1065002
1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,16611,10539,10626,10397,13919,9904,10047,11127,9522,10132,9145,9724,10550,10769,9151,12022,11545,13606,12056,12775,15794
1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,974952,1007229,1041851,1073771,1112991,1147734,1186128,1223151,1266070,1306597,1348967,1394803,1440434,1487806,1539309,1588938,1641831,1696444,1751145,1809555,1869788
1029,67730,61604,61973,64212,69303,73032,66416,65916,63281,63413,64405,62136,65987,66357,66022,66680,67118,65818,66932,66942,66709
1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,15177,14928,14755,14599,14430,14322,14157,13945,13827,13592,13405,13228,12986,12858,12686,12565,12410,12222,12088,11945,11837
1038,229086,228871,228681,228494,228326,228155,228051,227957,227855,227800,227713,227658,227895,227883,227942,227997,228087,228099,228280,228322,228541
1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,33,47,48,53,54,51,52,60,41,36,61,53,45,38,38,69,72,70,69,71,72
1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,69,73,63,59,55,78,61,74,64,83,86,92,75,86,76,72,60,74,60,70,83
1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,1933891,1975673,2017921,2062058,2110248,2186596,2232202,2285879,2331469,2386580,2474260,2522215,2575406,2634570,2696589,2788658,2854109,2916028,2986478,3058216,3163481
1052,11499390,11730112,11968035,12207900,12452897,12703149,12959547,13221461,13492537,13762139,14042764,14331243,14629813,14932174,15243595,15555672,15873580,16201803,16538368,16877374,17229739
1059,582,584,585,583,580,582,585,583,580,586,579,581,583,583,584,586,586,586,585,586,585
1060,228,227,226,225,226,224,225,223,223,222,219,223,221,220,220,218,218,217,216,215,214
1068,751,818,807,848,835,912,946,991,985,943,1009,1041,1067,1111,1159,1195,1196,1196,1233,1274,1278
1069,1408,1498,1557,1649,1721,1855,1934,2025,2133,2163,2172,2376,2502,2612,2762,2924,3073,3218,3378,3544,3719
1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,6898,6781,7209,7334,7289,7401,7520,7708,7949,8633,8629,9440,8637,8804,9148,9644,9991,10289,10709,11126,11564
1099,10798,10502,10868,10741,10554,11033,10983,10999,11293,11443,11263,11882,11090,11283,11367,11345,11829,11774,11895,12094,12368
1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
