id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,u_sign
1110110_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110120_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110130_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110140_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110151_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110152_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110153_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110154_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110155_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110156_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110157_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110158_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110159_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110160_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110170_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110180_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110190_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110201_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110201_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110202_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110202_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110203_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110204_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110205_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110206_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110206_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110207_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110208_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110209_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110209_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110300_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110300_818,7,2017,,,50.0,1.0,0.0,0.0,-99
1110411_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110412_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110413_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110414_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110415_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110416_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110417_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110418_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110419_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110420_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110430_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110440_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110450_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110460_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110470_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110480_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110490_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110501_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110502_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110503_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110504_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110505_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110506_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110507_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110508_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110509_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110600_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110701_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110702_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110703_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110704_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110705_729,7,2017,,,50.0,1.0,0.0,0.0,-99
1110706_729,7,2017,,,50.0,1.0,0.0,0.0,-99
