id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,delta,u_sign
1110_232,4,2017,8.64943363787126,2.381394108756274e-08,89.5,0.0079032115150517,6909.796530672023,1.0
1110_729,4,2017,,,,1.0,0.0,0.0
1110_818,4,2017,,,,1.0,0.0,0.0
1120_231,4,2017,,,,1.0,0.0,0.0
1120_706,4,2017,,,,1.0,0.0,0.0
1121_231,4,2017,,,,1.0,0.0,0.0
1121_232,4,2017,,,,1.0,0.0,0.0
1121_262,4,2017,,,,1.0,0.0,0.0
1121_706,4,2017,,,,1.0,0.0,0.0
1122_706,4,2017,,,,1.0,0.0,0.0
1123_706,4,2017,,,,1.0,0.0,0.0
1124_706,4,2017,,,,1.0,0.0,0.0
1125_706,4,2017,,,,1.0,0.0,0.0
1126_706,4,2017,,,,1.0,0.0,0.0
1127_706,4,2017,,,,1.0,0.0,0.0
1128_706,4,2017,,,,1.0,0.0,0.0
1129_706,4,2017,,,,1.0,0.0,0.0
1130_887,4,2017,,,,1.0,0.0,0.0
1140_231,4,2017,,,,1.0,0.0,0.0
1140_404,4,2017,,,,1.0,0.0,0.0
1141_706,4,2017,,,,1.0,0.0,0.0
1142_231,4,2017,,,,1.0,0.0,0.0
1142_404,4,2017,,,,1.0,0.0,0.0
1142_706,4,2017,,,,1.0,0.0,0.0
1143_706,4,2017,,,,1.0,0.0,0.0
1144_231,4,2017,,,,1.0,0.0,0.0
1144_404,4,2017,,,,1.0,0.0,0.0
1144_706,4,2017,,,,1.0,0.0,0.0
1145_706,4,2017,,,,1.0,0.0,0.0
1146_706,4,2017,,,,1.0,0.0,0.0
1147_231,4,2017,,,,1.0,0.0,0.0
1147_706,4,2017,,,,1.0,0.0,0.0
1148_231,4,2017,,,,1.0,0.0,0.0
1149_231,4,2017,3.0490200827219267,0.012001642743201,82.5,0.0296130943526454,5.5408715459865965,1.0
1149_706,4,2017,,,,1.0,0.0,0.0
1151_834,4,2017,,,,1.0,0.0,0.0
1152_404,4,2017,,,,1.0,0.0,0.0
1152_834,4,2017,,,,1.0,0.0,0.0
1153_404,4,2017,7.228735485940916,3.800885548035762e-07,91.5,0.0026506384119339,5.453241500654259e+16,1.0
1154_231,4,2017,7.244753301432646,1.0536795986339058e-06,92.5,0.0043038765583129,301.9359910669389,1.0
1154_404,4,2017,0.5000461182644493,0.6399964760194565,-52.5,0.8918594638362826,-10.293095199054136,-1.0
1154_728,4,2017,,,,1.0,0.0,0.0
1154_800,4,2017,,,,1.0,0.0,0.0
1155_231,4,2017,,,,1.0,0.0,0.0
1155_404,4,2017,,,,1.0,0.0,0.0
1155_728,4,2017,,,,1.0,0.0,0.0
1155_800,4,2017,,,,1.0,0.0,0.0
1156_231,4,2017,,,,1.0,0.0,0.0
1156_404,4,2017,,,,1.0,0.0,0.0
1157_231,4,2017,4.446008250608249,0.0038412753174088,95.5,0.0022214145869887,42.29472609040605,1.0
1157_262,4,2017,,,,1.0,0.0,0.0
1157_706,4,2017,,,,1.0,0.0,0.0
1158_231,4,2017,,,,1.0,0.0,0.0
1158_232,4,2017,,,,1.0,0.0,0.0
1159_231,4,2017,,,,1.0,0.0,0.0
1159_262,4,2017,,,,1.0,0.0,0.0
1160_834,4,2017,,,,1.0,0.0,0.0
1160_894,4,2017,,,,1.0,0.0,0.0
1170_454,4,2017,,,,1.0,0.0,0.0
1170_508,4,2017,,,,1.0,0.0,0.0
1171_404,4,2017,,,,1.0,0.0,0.0
1171_706,4,2017,,,,1.0,0.0,0.0
1172_404,4,2017,-0.7397684878249657,0.4893084728726175,-41.5,0.5865744278376042,-35.2939237233846,-1.0
1173_404,4,2017,,,,1.0,0.0,0.0
1173_834,4,2017,0.860339042413575,0.4318313593741287,63.5,0.3768657114368939,7.67058614415667,1.0
1174_834,4,2017,1.1336142930424742,0.2950451670782681,64.5,0.3412684763150512,1.1011499349596328,1.0
1175_834,4,2017,,,,1.0,0.0,0.0
1176_454,4,2017,,,,1.0,0.0,0.0
1176_508,4,2017,,,,1.0,0.0,0.0
1176_834,4,2017,,,,1.0,0.0,0.0
1177_508,4,2017,-3.8721100097648486,0.0099201906667919,-5.5,0.0027812249343891,-24.299406473967775,-1.0
1178_508,4,2017,,,,1.0,0.0,0.0
1179_508,4,2017,4.501000513781114,0.0015242782802675,93.5,0.0034671931907658,146.5390535227216,1.0
1210_508,4,2017,,,,1.0,0.0,0.0
1221_508,4,2017,,,,1.0,0.0,0.0
1222_454,4,2017,,,,1.0,0.0,0.0
1222_508,4,2017,,,,1.0,0.0,0.0
1222_834,4,2017,,,,1.0,0.0,0.0
1222_894,4,2017,,,,1.0,0.0,0.0
1223_454,4,2017,,,,1.0,0.0,0.0
1223_508,4,2017,-0.4124274567937924,0.6937528141195994,-33.5,0.2767657228601765,-0.5689291998600243,-1.0
1223_716,4,2017,-1.0793071412825306,0.3248141418722205,-34.5,0.307900293130149,-10.020539486048708,-1.0
1223_894,4,2017,,,,1.0,0.0,0.0
1224_180,4,2017,,,,1.0,0.0,0.0
1224_454,4,2017,,,,1.0,0.0,0.0
1224_508,4,2017,,,,1.0,0.0,0.0
1224_894,4,2017,-2.57620702701621,0.0317929530469363,-21.5,0.0569983064105199,-56.38544864792097,-1.0
1225_508,4,2017,,,,1.0,0.0,0.0
1225_716,4,2017,,,,1.0,0.0,0.0
1225_894,4,2017,-2.7324871750198474,0.0128941626532035,-31.5,0.2207603920495922,-68.53724146811591,-1.0
1226_180,4,2017,,,,1.0,0.0,0.0
1226_894,4,2017,-1.2112517175063564,0.2711751790011166,-26.5,0.1179480673610386,-5.270271663460549,-1.0
1227_716,4,2017,-2.623565355577803,0.0313171780147295,-20.5,0.0486896107022692,-4.7556338020585365,-1.0
1227_72,4,2017,,,,1.0,0.0,0.0
1227_894,4,2017,-2.717604250320685,0.0245016248671343,-24.5,0.0892445471085907,-5.102601934609495,-1.0
1228_24,4,2017,,,,1.0,0.0,0.0
1228_516,4,2017,,,,1.0,0.0,0.0
1228_72,4,2017,,,,1.0,0.0,0.0
1228_894,4,2017,,,,1.0,0.0,0.0
1229_180,4,2017,,,,1.0,0.0,0.0
1229_24,4,2017,,,,1.0,0.0,0.0
1229_516,4,2017,,,,1.0,0.0,0.0
1229_894,4,2017,4.710600475150509,0.0029794809411246,95.5,0.0019852063607293,991.5994758908548,1.0
1230_508,4,2017,2.711400995943258,0.0138064544442807,74.5,0.1028016422395197,16.335260614228492,1.0
1230_716,4,2017,1.4587933599690548,0.1961269435498221,67.5,0.2478491239282134,9.827588228823537,1.0
1241_508,4,2017,,,,1.0,0.0,0.0
1242_508,4,2017,,,,1.0,0.0,0.0
1242_716,4,2017,,,,1.0,0.0,0.0
1243_508,4,2017,,,,1.0,0.0,0.0
1244_508,4,2017,0.868484928227277,0.3988476282039707,-45.5,0.7856962962493347,-1.7157655346389744,-1.0
1244_710,4,2017,-1.9685264061906265,0.0703833211544717,-33.5,0.2767657228601765,-14.389542368286,-1.0
1245_508,4,2017,,,,1.0,0.0,0.0
1245_710,4,2017,3.124998040318088,0.004766063468283,74.5,0.1028016422395197,5.301769875919376,1.0
1245_716,4,2017,-0.1276501063526137,0.9038705414169412,53.5,0.838410115171209,9.200570142904956,1.0
1246_716,4,2017,0.6079491429924008,0.5696911232842056,59.5,0.5406815690956761,8.840159382672876,1.0
1246_72,4,2017,6.016797119408538,4.641013644872313e-06,87.5,0.0118996445841574,233.72423235849803,1.0
1247_710,4,2017,,,,1.0,0.0,0.0
1247_716,4,2017,,,,1.0,0.0,0.0
1247_72,4,2017,,,,1.0,0.0,0.0
1248_72,4,2017,6.094572611850508,9.687786145640962e-06,91.5,0.0053196860629577,59.21533941760772,1.0
1249_710,4,2017,-1.9050661719819149,0.0953654249723391,-26.5,0.1179480673610386,-14.115204280193458,-1.0
1249_72,4,2017,2.1197014931755254,0.0461625496223889,63.5,0.3768657114368939,5.508536532856654,1.0
1251_508,4,2017,,,,1.0,0.0,0.0
1252_508,4,2017,-1.6424483625566506,0.1527641952988067,-23.5,0.0771659313616824,-19.113027860358297,-1.0
1252_710,4,2017,-0.320206412498336,0.7549208002291068,-44.5,0.7339474627492532,-5.166996452118437,-1.0
1252_748,4,2017,0.9283326928450168,0.3697933444432045,53.5,0.838410115171209,8.583977925672107,1.0
1253_508,4,2017,-2.2868374759469576,0.0665695734650549,-23.5,0.0771659313616824,-54.84391254170937,-1.0
1253_710,4,2017,,,,1.0,0.0,0.0
1253_748,4,2017,-0.2314236116451432,0.8218617115632033,-41.5,0.5865744278376042,-9.453644692143207,-1.0
1254_508,4,2017,,,,1.0,0.0,0.0
1254_710,4,2017,-5.157750147016251,0.0001159657659848,-10.5,0.0080240023321337,-18.3286097230954,-1.0
1254_748,4,2017,2.202304228950145,0.0387583383631006,63.5,0.3768657114368939,15.828953169508637,1.0
1255_426,4,2017,,,,1.0,0.0,0.0
1255_508,4,2017,,,,1.0,0.0,0.0
1255_710,4,2017,-3.90212769542961,0.0011348260334004,-13.5,0.0143998647267011,-7.624769644142264,-1.0
1256_710,4,2017,-4.303145057042076,0.0002647876357132,-4.5,0.0022214145869887,-54.239809009317696,-1.0
1257_710,4,2017,-5.6174308411986535,0.0001427184555933,-4.5,0.0022214145869887,-35.901710008880386,-1.0
1258_710,4,2017,-6.337480008071477,2.199643801865838e-06,-10.5,0.0080240023321337,-74.33002653628,-1.0
1259_710,4,2017,-1.4812536373794594,0.1945225512058387,-27.5,0.1347921615581339,-16.970909741342265,-1.0
1260_710,4,2017,-1.1924493405482477,0.247504356777082,40.5,0.5406815690956761,0.0628883309982006,1.0
1271_516,4,2017,,,,1.0,0.0,0.0
1271_710,4,2017,,,,1.0,0.0,0.0
1272_516,4,2017,-1.2178988561470725,0.2760198211533381,-29.5,0.173982817952602,-10.448055214856716,-1.0
1273_516,4,2017,1.1237661377193628,0.3085339594813276,67.0,0.2602810606779115,143.3298952471779,1.0
1273_710,4,2017,,,,1.0,0.0,0.0
1274_516,4,2017,-0.817301362397099,0.4407520238032999,-36.5,0.3768657114368939,-20.405946951505477,-1.0
1274_710,4,2017,-4.192427482534553,0.0004937736429021,-20.0,0.0293893346811525,-99.99999999998334,-1.0
1274_72,4,2017,,,,1.0,0.0,0.0
1275_710,4,2017,,,,1.0,0.0,0.0
1276_710,4,2017,-0.914345672764248,0.400446159666409,-40.5,0.5406815690956761,-9.787914180503249,-1.0
1277_710,4,2017,-4.107146759226895,0.0005998772107774,-12.5,0.0093925878036916,-99.99999999999986,-1.0
1278_426,4,2017,-1.9841326322631645,0.0962238618915181,-21.5,0.0569983064105199,-14.446443918350324,-1.0
1278_710,4,2017,-0.8831296651090144,0.4070804433234901,-37.5,0.4146659024229229,-8.530090940281902,-1.0
1279_426,4,2017,,,,1.0,0.0,0.0
1279_710,4,2017,0.3490010191172096,0.7351895033309698,-51.5,0.9458048585528952,-5.25608348455507,-1.0
1280_516,4,2017,-2.300659068300964,0.0527063003723446,-23.5,0.0771659313616824,-30.882733701374917,-1.0
1290_24,4,2017,,,,1.0,0.0,0.0
1290_516,4,2017,-5.559398845629098,1.2382460869340816e-05,-13.5,0.0143998647267011,-52.16933535234266,-1.0
1291_716,4,2017,-0.3253893285922427,0.7567773228217078,-46.5,0.838410115171209,-11.794813578771732,-1.0
1291_72,4,2017,,,,1.0,0.0,0.0
1292_516,4,2017,,,,1.0,0.0,0.0
1292_72,4,2017,,,,1.0,0.0,0.0
1293_516,4,2017,,,,1.0,0.0,0.0
1293_716,4,2017,,,,1.0,0.0,0.0
1293_72,4,2017,,,,1.0,0.0,0.0
1294_516,4,2017,,,,1.0,0.0,0.0
1294_72,4,2017,,,,1.0,0.0,0.0
1295_24,4,2017,,,,1.0,0.0,0.0
1295_516,4,2017,,,,1.0,0.0,0.0
1295_716,4,2017,,,,1.0,0.0,0.0
1295_72,4,2017,,,,1.0,0.0,0.0
1296_24,4,2017,,,,1.0,0.0,0.0
1297_24,4,2017,,,,1.0,0.0,0.0
1297_516,4,2017,,,,1.0,0.0,0.0
1298_516,4,2017,0.2789146034838067,0.7918502575161134,-44.5,0.7338981681900745,-47.14043925394428,-1.0
1299_24,4,2017,,,,1.0,0.0,0.0
1299_516,4,2017,,,,1.0,0.0,0.0
1311_516,4,2017,,,,1.0,0.0,0.0
1312_24,4,2017,0.2656781149656561,0.7993954990922609,54.5,0.7856962962493347,0.2868775428731726,1.0
1312_516,4,2017,,,,1.0,0.0,0.0
1313_24,4,2017,-1.876204856578684,0.125046152247357,-14.5,0.0173523891907614,-24.59937505165028,-1.0
1314_24,4,2017,,,,1.0,0.0,0.0
1315_24,4,2017,,,,1.0,0.0,0.0
1316_24,4,2017,3.751438581144152,0.001376082347514,76.5,0.0566520772051977,5.22029114828911e+16,1.0
1317_24,4,2017,,,,1.0,0.0,0.0
1318_24,4,2017,2.164204798963902,0.0863792055189502,83.5,0.0248837232827013,11.398515856464725,1.0
1319_24,4,2017,-1.5382885489862752,0.1407372267881875,-35.5,0.3412684763150512,-30.214010086777925,-1.0
1321_178,4,2017,,,,1.0,0.0,0.0
1321_180,4,2017,,,,1.0,0.0,0.0
1321_24,4,2017,,,,1.0,0.0,0.0
1322_180,4,2017,,,,1.0,0.0,0.0
1322_24,4,2017,2.720207617331924,0.0155245762095135,75.5,0.0889981126673359,39.78765631870716,1.0
1323_178,4,2017,4.778452086597281,9.21101698778428e-05,79.5,0.0486896107022692,284.84205164124444,1.0
1323_180,4,2017,,,,1.0,0.0,0.0
1323_266,4,2017,,,,1.0,0.0,0.0
1324_120,4,2017,,,,1.0,0.0,0.0
1324_140,4,2017,,,,1.0,0.0,0.0
1324_178,4,2017,,,,1.0,0.0,0.0
1324_266,4,2017,,,,1.0,0.0,0.0
1325_178,4,2017,,,,1.0,0.0,0.0
1325_180,4,2017,,,,1.0,0.0,0.0
1326_140,4,2017,,,,1.0,0.0,0.0
1326_178,4,2017,,,,1.0,0.0,0.0
1326_180,4,2017,,,,1.0,0.0,0.0
1326_728,4,2017,,,,1.0,0.0,0.0
1326_729,4,2017,,,,1.0,0.0,0.0
1326_800,4,2017,,,,1.0,0.0,0.0
1327_180,4,2017,,,,1.0,0.0,0.0
1328_108,4,2017,,,,1.0,0.0,0.0
1328_180,4,2017,-2.1965382496772885,0.0779994334634176,-20.5,0.0486896107022692,-4.843163620271175,-1.0
1328_646,4,2017,-0.8233110322792299,0.4501678465550447,-38.5,0.4546204062737812,-1.9224375199078227,-1.0
1328_834,4,2017,,,,1.0,0.0,0.0
1328_894,4,2017,-0.3535901980496894,0.7321131616443641,-38.5,0.4546204062737812,-1.4851291529794126,-1.0
1329_180,4,2017,-4.032762010339107,0.0009703940815934,-13.5,0.0143998647267011,-7.585946030981471,-1.0
1329_454,4,2017,,,,1.0,0.0,0.0
1329_834,4,2017,,,,1.0,0.0,0.0
1329_894,4,2017,4.063090721849483,0.0009872239825952,80.5,0.0330431460732162,2.88106046849862e+16,1.0
1331_178,4,2017,,,,1.0,0.0,0.0
1331_180,4,2017,,,,1.0,0.0,0.0
1331_24,4,2017,,,,1.0,0.0,0.0
1332_178,4,2017,,,,1.0,0.0,0.0
1332_180,4,2017,,,,1.0,0.0,0.0
1332_266,4,2017,,,,1.0,0.0,0.0
1333_178,4,2017,,,,1.0,0.0,0.0
1333_266,4,2017,,,,1.0,0.0,0.0
1334_120,4,2017,,,,1.0,0.0,0.0
1334_178,4,2017,,,,1.0,0.0,0.0
