id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,delta,u_sign
111_232,3,2017,8.649433637871264,2.3813941087562572e-08,89.5,0.0079032115150517,6909.796530672023,1.0
111_729,3,2017,,,,1.0,0.0,0.0
111_818,3,2017,,,,1.0,0.0,0.0
112_231,3,2017,,,,1.0,0.0,0.0
112_232,3,2017,,,,1.0,0.0,0.0
112_262,3,2017,,,,1.0,0.0,0.0
112_706,3,2017,,,,1.0,0.0,0.0
113_887,3,2017,,,,1.0,0.0,0.0
114_231,3,2017,3.0490200827219267,0.012001642743201,82.5,0.0296130943526454,5.5408715459865965,1.0
114_404,3,2017,,,,1.0,0.0,0.0
114_706,3,2017,,,,1.0,0.0,0.0
115_231,3,2017,7.076484605664743,2.8158745387977135e-05,95.5,0.0022214145869887,69.92949076948344,1.0
115_232,3,2017,,,,1.0,0.0,0.0
115_262,3,2017,,,,1.0,0.0,0.0
115_404,3,2017,0.5741919019986294,0.5928195155698704,-53.5,0.838410115171209,-7.289662757415495,-1.0
115_706,3,2017,,,,1.0,0.0,0.0
115_728,3,2017,,,,1.0,0.0,0.0
115_800,3,2017,,,,1.0,0.0,0.0
115_834,3,2017,,,,1.0,0.0,0.0
116_834,3,2017,,,,1.0,0.0,0.0
116_894,3,2017,,,,1.0,0.0,0.0
117_404,3,2017,-0.7397684878249666,0.4893084728726169,-41.5,0.5865744278376042,-35.2939237233846,-1.0
117_454,3,2017,,,,1.0,0.0,0.0
117_508,3,2017,-1.4997691867010727,0.1916514859412413,-28.5,0.1534378834105726,-5.899013325971983,-1.0
117_706,3,2017,,,,1.0,0.0,0.0
117_834,3,2017,1.1321710602993589,0.2978715719666261,66.5,0.2767657228601765,1.4923162044119107,1.0
121_508,3,2017,,,,1.0,0.0,0.0
122_180,3,2017,,,,1.0,0.0,0.0
122_24,3,2017,,,,1.0,0.0,0.0
122_454,3,2017,,,,1.0,0.0,0.0
122_508,3,2017,-0.4124274567937924,0.6937528141195994,-33.5,0.2767657228601765,-0.5689291998600243,-1.0
122_516,3,2017,,,,1.0,0.0,0.0
122_716,3,2017,-2.528728828881487,0.0378858204954206,-20.5,0.0486896107022692,-4.683004275728156,-1.0
122_72,3,2017,,,,1.0,0.0,0.0
122_834,3,2017,,,,1.0,0.0,0.0
122_894,3,2017,-2.283946847085628,0.0543104722566556,-21.5,0.0569983064105199,-5.280955727697779,-1.0
123_508,3,2017,2.711400995943254,0.0138064544442808,74.5,0.1028016422395197,16.335260614228492,1.0
123_716,3,2017,1.4587933599690548,0.1961269435498222,67.5,0.2478491239282134,9.827588228823537,1.0
124_508,3,2017,0.868484928227277,0.3988476282039707,-45.5,0.7856962962493347,-1.7157655346389744,-1.0
124_710,3,2017,-1.5963251304237414,0.1431495492960752,-32.5,0.2478491239282134,-12.06696976839815,-1.0
124_716,3,2017,-0.0475589476753392,0.9640873422273238,55.5,0.7339474627492532,11.97575970274937,1.0
124_72,3,2017,6.992170804477378,4.5752057455555314e-07,91.5,0.0053196860629577,93.77636279060744,1.0
125_426,3,2017,,,,1.0,0.0,0.0
125_508,3,2017,-2.1166777535775614,0.0811816399433023,-22.5,0.0664541497999626,-32.71301934495716,-1.0
125_710,3,2017,-4.460426466905185,0.0005328494226927,-16.5,0.0248837232827013,-17.05768764654454,-1.0
125_748,3,2017,1.2629819873139865,0.2278471874267343,63.5,0.3768657114368939,11.911536340946716,1.0
126_710,3,2017,-1.1924493405482477,0.247504356777082,40.5,0.5406815690956761,0.0628883309982006,1.0
127_426,3,2017,-1.9841326322631645,0.0962238618915181,-21.5,0.0569983064105199,-14.446443918350324,-1.0
