PFAF_ID,id,t_score,u_score,p_t,p_u,p_u_thd_0.01,sign
111011,111011_818,3.630330888944447,95.5,0.0169697359713386,0.0022214145869887,1.0,1.0
111012,111012_818,1.713165262597267,77.5,0.1617845072320447,0.0086504058950975,1.0,1.0
111013,111013_818,4.115080646456875,93.5,0.0058050817472623,0.0034671931907658,1.0,1.0
111015,111015_818,5.924559211173555,93.5,5.248011795021098e-06,0.0034671931907658,1.0,1.0
111018,111018_818,2.131704345025976,86.5,0.0971627458533486,0.008183796885243,1.0,1.0
111019,111019_818,5.88365232102621,95.5,8.290202158824198e-06,0.0022214145869887,1.0,1.0
111030,111030_729,4.453853009298119,90.5,0.0005090981304285,0.0065472876128609,1.0,1.0
111050,111050_729,6.799698922764366,95.5,6.394209923951206e-07,0.0022214145869887,1.0,1.0
111060,111060_729,4.022838276490493,88.5,0.0042061911033105,0.0068872181464482,1.0,1.0
111087,111087_232,5.257244777435153,94.5,0.0007553436077315,0.0021902171610107,1.0,1.0
111089,111089_232,4.055919844795271,90.5,0.0042150075512681,0.0065369298062659,1.0,1.0
111091,111091_729,1.8866205780222272,87.0,0.1316323948030777,0.0009284791593993,1.0,1.0
111092,111092_729,2.1151304543421245,77.5,0.0973682560656503,0.0086504058950975,1.0,1.0
111093,111093_232,5.384495345221591,88.5,2.6472182873592575e-05,0.009792195870725,1.0,1.0
111093,111093_729,2.654400213199058,90.5,0.0473035109238171,0.0065472876128609,1.0,1.0
111096,111096_232,1.2139556035780714,76.5,0.2834264080881906,0.0056456731818682,1.0,1.0
111098,111098_232,2.922655542434519,89.5,0.0290298394761754,0.0079514148230439,1.0,1.0
111099,111099_232,5.626300762760852,88.5,1.2020907997532607e-05,0.009792195870725,1.0,1.0
112111,112111_231,3.5441653368073247,92.5,0.0160079525116706,0.0005657392424534,1.0,1.0
112115,112115_706,3.188828140587748,94.5,0.0275881407600768,0.0027812249343891,1.0,1.0
112116,112116_706,5.204206222523379,91.5,0.0002036390889367,0.0051884685570278,1.0,1.0
112117,112117_706,4.311609896074428,92.5,0.0022765762303108,0.0043038765583129,1.0,1.0
112119,112119_706,5.380524779170484,91.5,9.366989909281956e-05,0.0053196860629577,1.0,1.0
112130,112130_706,5.803424715831055,93.5,2.064828166651219e-05,0.0034671931907658,1.0,1.0
112150,112150_706,6.466837388748206,90.5,3.4473449691452365e-06,0.0065472876128609,1.0,1.0
112180,112180_706,5.465882640668861,92.5,0.0002400002600206,0.0043038765583129,1.0,1.0
