basin_level,num_basins,start_year,mean,std,aplha,thd_low,thd_high,neg,stable,pos
0,278,2017,0.6483318581362844,5.275593335277821,0.5,-1.9894648095026262,3.286128525775195,33,190,55
0,278,2017,0.6483318581362844,5.275593335277821,1.0,-4.627261477141537,5.923925193414106,21,214,43
0,278,2017,0.6483318581362844,5.275593335277821,1.5,-7.265058144780447,8.561721861053016,13,223,42
0,278,2017,0.6483318581362844,5.275593335277821,2.0,-9.902854812419358,11.199518528691927,7,237,34
0,278,2017,0.6483318581362844,5.275593335277821,2.5,-12.54065148005827,13.837315196330838,5,243,30
0,278,2017,0.6483318581362844,5.275593335277821,3.0,-15.178448147697178,16.475111863969747,4,249,25
0,278,2017,0.6483318581362844,5.275593335277821,4.0,-20.454041482975,21.75070519924757,3,251,24
0,278,2017,0.6483318581362844,5.275593335277821,5.0,-25.729634818252823,27.02629853452539,2,254,22
3,778,2017,0.26169234149763604,6.063008307177776,0.5,-2.769811812091252,3.293196495086524,80,566,132
3,778,2017,0.26169234149763604,6.063008307177776,1.0,-5.801315965680139,6.324700648675412,56,607,115
3,778,2017,0.26169234149763604,6.063008307177776,1.5,-8.832820119269028,9.3562048022643,39,641,98
3,778,2017,0.26169234149763604,6.063008307177776,2.0,-11.864324272857916,12.387708955853187,30,667,81
3,778,2017,0.26169234149763604,6.063008307177776,2.5,-14.895828426446803,15.419213109442074,21,683,74
3,778,2017,0.26169234149763604,6.063008307177776,3.0,-17.927332580035692,18.450717263030963,16,694,68
3,778,2017,0.26169234149763604,6.063008307177776,4.0,-23.990340887213467,24.513725570208738,13,704,61
3,778,2017,0.26169234149763604,6.063008307177776,5.0,-30.05334919439124,30.576733877386513,12,710,56
4,2212,2017,-0.06997839408883126,5.046409883761399,0.5,-2.5931833359695307,2.453226547791868,188,1708,316
4,2212,2017,-0.06997839408883126,5.046409883761399,1.0,-5.1163882778502305,4.976431489672567,135,1807,270
4,2212,2017,-0.06997839408883126,5.046409883761399,1.5,-7.63959321973093,7.499636431553267,102,1868,242
4,2212,2017,-0.06997839408883126,5.046409883761399,2.0,-10.16279816161163,10.022841373433966,83,1922,207
4,2212,2017,-0.06997839408883126,5.046409883761399,2.5,-12.686003103492329,12.546046315314666,74,1947,191
4,2212,2017,-0.06997839408883126,5.046409883761399,3.0,-15.209208045373028,15.069251257195365,59,1976,177
4,2212,2017,-0.06997839408883126,5.046409883761399,4.0,-20.255617929134427,20.115661140956764,46,2007,159
4,2212,2017,-0.06997839408883126,5.046409883761399,5.0,-25.302027812895826,25.162071024718163,35,2031,146
5,6238,2017,-0.09655567513229898,3.0935794309232754,0.5,-1.6433453905939366,1.4502340403293388,439,5103,696
5,6238,2017,-0.09655567513229898,3.0935794309232754,1.0,-3.1901351060555743,2.9970237557909765,363,5277,598
5,6238,2017,-0.09655567513229898,3.0935794309232754,1.5,-4.736924821517212,4.543813471252614,298,5396,544
5,6238,2017,-0.09655567513229898,3.0935794309232754,2.0,-6.28371453697885,6.090603186714252,251,5473,514
5,6238,2017,-0.09655567513229898,3.0935794309232754,2.5,-7.8305042524404875,7.63739290217589,219,5541,478
5,6238,2017,-0.09655567513229898,3.0935794309232754,3.0,-9.377293967902125,9.184182617637527,196,5600,442
5,6238,2017,-0.09655567513229898,3.0935794309232754,4.0,-12.4708733988254,12.277762048560803,155,5694,389
5,6238,2017,-0.09655567513229898,3.0935794309232754,5.0,-15.564452829748676,15.371341479484078,130,5751,357
6,19163,2017,-0.08623334424250391,1.8660686665794526,0.5,-1.0192676775322302,0.8468009890472223,1049,16427,1687
6,19163,2017,-0.08623334424250391,1.8660686665794526,1.0,-1.9523020108219564,1.7798353223369487,921,16746,1496
6,19163,2017,-0.08623334424250391,1.8660686665794526,1.5,-2.885336344111683,2.712869655626675,815,16991,1357
6,19163,2017,-0.08623334424250391,1.8660686665794526,2.0,-3.818370677401409,3.6459039889164013,732,17159,1272
6,19163,2017,-0.08623334424250391,1.8660686665794526,2.5,-4.751405010691135,4.5789383222061275,659,17293,1211
6,19163,2017,-0.08623334424250391,1.8660686665794526,3.0,-5.684439343980862,5.511972655495854,612,17409,1142
6,19163,2017,-0.08623334424250391,1.8660686665794526,4.0,-7.550508010560314,7.3780413220753065,527,17597,1039
6,19163,2017,-0.08623334424250391,1.8660686665794526,5.0,-9.416576677139767,9.244109988654758,471,17725,967
7,62716,2017,-0.022922498236769385,0.5644477518518559,0.5,-0.30514637416269735,0.25930137768915856,2469,56477,3770
7,62716,2017,-0.022922498236769385,0.5644477518518559,1.0,-0.5873702500886253,0.5415252536150865,2283,56917,3516
7,62716,2017,-0.022922498236769385,0.5644477518518559,1.5,-0.8695941260145533,0.8237491295410145,2141,57220,3355
7,62716,2017,-0.022922498236769385,0.5644477518518559,2.0,-1.1518180019404811,1.1059730054669425,2036,57453,3227
7,62716,2017,-0.022922498236769385,0.5644477518518559,2.5,-1.434041877866409,1.3881968813928705,1962,57661,3093
7,62716,2017,-0.022922498236769385,0.5644477518518559,3.0,-1.7162657537923371,1.6704207573187986,1892,57843,2981
7,62716,2017,-0.022922498236769385,0.5644477518518559,4.0,-2.280713505644193,2.234868509170654,1764,58157,2795
7,62716,2017,-0.022922498236769385,0.5644477518518559,5.0,-2.845161257496049,2.79931626102251,1639,58420,2657
8,199144,2017,-0.0003457940597922154,0.04426661187626395,0.5,-0.02247909999792419,0.021787511878339758,5000,186787,7357
8,199144,2017,-0.0003457940597922154,0.04426661187626395,1.0,-0.044612405936056164,0.04392081781647173,4911,186955,7278
