id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta
11101_818,5,2000,,,50.0,1.0,0.0,0.0
11101_818,5,2005,,,50.0,1.0,0.0,0.0
11101_818,5,2010,,,50.0,1.0,0.0,0.0
11101_818,5,2015,,,50.0,1.0,0.0,0.0
11101_818,5,2017,,,50.0,1.0,0.0,0.0
11102_729,5,2000,,,50.0,1.0,0.0,0.0
11102_729,5,2005,,,50.0,1.0,0.0,0.0
11102_729,5,2010,,,50.0,1.0,0.0,0.0
11102_729,5,2015,,,50.0,1.0,0.0,0.0
11102_729,5,2017,,,50.0,1.0,0.0,0.0
11102_818,5,2000,,,50.0,1.0,0.0,0.0
11102_818,5,2005,,,50.0,1.0,0.0,0.0
11102_818,5,2010,,,50.0,1.0,0.0,0.0
11102_818,5,2015,,,50.0,1.0,0.0,0.0
11102_818,5,2017,,,50.0,1.0,0.0,0.0
11103_729,5,2000,,,50.0,1.0,0.0,0.0
11103_729,5,2005,,,50.0,1.0,0.0,0.0
11103_729,5,2010,,,50.0,1.0,0.0,0.0
11103_729,5,2015,,,50.0,1.0,0.0,0.0
11103_729,5,2017,,,50.0,1.0,0.0,0.0
11103_818,5,2000,,,50.0,1.0,0.0,0.0
11103_818,5,2005,,,50.0,1.0,0.0,0.0
11103_818,5,2010,,,50.0,1.0,0.0,0.0
11103_818,5,2015,,,50.0,1.0,0.0,0.0
11103_818,5,2017,,,50.0,1.0,0.0,0.0
11104_729,5,2000,,,50.0,1.0,0.0,0.0
11104_729,5,2005,,,50.0,1.0,0.0,0.0
11104_729,5,2010,,,50.0,1.0,0.0,0.0
11104_729,5,2015,,,50.0,1.0,0.0,0.0
11104_729,5,2017,,,50.0,1.0,0.0,0.0
11105_729,5,2000,,,50.0,1.0,0.0,0.0
11105_729,5,2005,,,50.0,1.0,0.0,0.0
11105_729,5,2010,,,50.0,1.0,0.0,0.0
11105_729,5,2015,,,50.0,1.0,0.0,0.0
11105_729,5,2017,,,50.0,1.0,0.0,0.0
11106_729,5,2000,,,50.0,1.0,0.0,0.0
11106_729,5,2005,,,50.0,1.0,0.0,0.0
11106_729,5,2010,,,50.0,1.0,0.0,0.0
11106_729,5,2015,,,50.0,1.0,0.0,0.0
11106_729,5,2017,,,50.0,1.0,0.0,0.0
11107_729,5,2000,,,50.0,1.0,0.0,0.0
11107_729,5,2005,,,50.0,1.0,0.0,0.0
11107_729,5,2010,,,50.0,1.0,0.0,0.0
11107_729,5,2015,,,50.0,1.0,0.0,0.0
11107_729,5,2017,,,50.0,1.0,0.0,0.0
11108_232,5,2000,-2.818733153588561,0.01096566378390099,34.5,0.30461880966392085,0.469616144720931,-0.3676327904358838
11108_232,5,2005,-2.825546124166687,0.01080220720666165,25.0,0.09448826131903607,0.469616144720931,-0.9190902370020076
11108_232,5,2010,-0.542281181156781,0.5990498581822583,53.0,0.8645139930906288,0.469616144720931,0.0
11108_232,5,2015,3.3074142981226733,0.012697164394014922,87.5,0.011704264901870116,0.469616144720931,6909.649396688797
11108_232,5,2017,8.649433637871264,2.3813941087562565e-08,89.5,0.007903211515051732,0.469616144720931,6909.649396688797
11108_729,5,2000,,,50.0,1.0,0.0,0.0
11108_729,5,2005,,,50.0,1.0,0.0,0.0
11108_729,5,2010,,,50.0,1.0,0.0,0.0
11108_729,5,2015,,,50.0,1.0,0.0,0.0
11108_729,5,2017,,,50.0,1.0,0.0,0.0
11109_232,5,2000,,,50.0,1.0,0.0,0.0
11109_232,5,2005,,,50.0,1.0,0.0,0.0
11109_232,5,2010,,,50.0,1.0,0.0,0.0
11109_232,5,2015,,,50.0,1.0,0.0,0.0
11109_232,5,2017,,,50.0,1.0,0.0,0.0
11109_729,5,2000,,,50.0,1.0,0.0,0.0
11109_729,5,2005,,,50.0,1.0,0.0,0.0
11109_729,5,2010,,,50.0,1.0,0.0,0.0
11109_729,5,2015,,,50.0,1.0,0.0,0.0
11109_729,5,2017,,,50.0,1.0,0.0,0.0
11201_231,5,2000,,,50.0,1.0,0.0,0.0
11201_231,5,2005,,,50.0,1.0,0.0,0.0
11201_231,5,2010,,,50.0,1.0,0.0,0.0
11201_231,5,2015,,,50.0,1.0,0.0,0.0
11201_231,5,2017,,,50.0,1.0,0.0,0.0
11201_706,5,2000,,,50.0,1.0,0.0,0.0
11201_706,5,2005,,,50.0,1.0,0.0,0.0
11201_706,5,2010,,,50.0,1.0,0.0,0.0
11201_706,5,2015,,,50.0,1.0,0.0,0.0
11201_706,5,2017,,,50.0,1.0,0.0,0.0
11202_706,5,2000,,,50.0,1.0,0.0,0.0
11202_706,5,2005,,,50.0,1.0,0.0,0.0
11202_706,5,2010,,,50.0,1.0,0.0,0.0
11202_706,5,2015,,,50.0,1.0,0.0,0.0
11202_706,5,2017,,,50.0,1.0,0.0,0.0
11203_706,5,2000,,,50.0,1.0,0.0,0.0
11203_706,5,2005,,,50.0,1.0,0.0,0.0
11203_706,5,2010,,,50.0,1.0,0.0,0.0
11203_706,5,2015,,,50.0,1.0,0.0,0.0
11203_706,5,2017,,,50.0,1.0,0.0,0.0
11204_231,5,2000,,,50.0,1.0,0.0,0.0
11204_231,5,2005,,,50.0,1.0,0.0,0.0
11204_231,5,2010,,,50.0,1.0,0.0,0.0
11204_231,5,2015,,,50.0,1.0,0.0,0.0
11204_231,5,2017,,,50.0,1.0,0.0,0.0
11204_706,5,2000,,,50.0,1.0,0.0,0.0
11204_706,5,2005,,,50.0,1.0,0.0,0.0
11204_706,5,2010,,,50.0,1.0,0.0,0.0
11204_706,5,2015,,,50.0,1.0,0.0,0.0
11204_706,5,2017,,,50.0,1.0,0.0,0.0
11205_706,5,2000,,,50.0,1.0,0.0,0.0
11205_706,5,2005,,,50.0,1.0,0.0,0.0
11205_706,5,2010,,,50.0,1.0,0.0,0.0
11205_706,5,2015,,,50.0,1.0,0.0,0.0
11205_706,5,2017,,,50.0,1.0,0.0,0.0
11206_706,5,2000,,,50.0,1.0,0.0,0.0
11206_706,5,2005,,,50.0,1.0,0.0,0.0
11206_706,5,2010,,,50.0,1.0,0.0,0.0
11206_706,5,2015,,,50.0,1.0,0.0,0.0
11206_706,5,2017,,,50.0,1.0,0.0,0.0
11207_706,5,2000,,,50.0,1.0,0.0,0.0
11207_706,5,2005,,,50.0,1.0,0.0,0.0
11207_706,5,2010,,,50.0,1.0,0.0,0.0
11207_706,5,2015,,,50.0,1.0,0.0,0.0
11207_706,5,2017,,,50.0,1.0,0.0,0.0
11211_231,5,2000,,,50.0,1.0,0.0,0.0
11211_231,5,2005,,,50.0,1.0,0.0,0.0
11211_231,5,2010,,,50.0,1.0,0.0,0.0
11211_231,5,2015,,,50.0,1.0,0.0,0.0
11211_231,5,2017,,,50.0,1.0,0.0,0.0
11211_232,5,2000,,,50.0,1.0,0.0,0.0
11211_232,5,2005,,,50.0,1.0,0.0,0.0
11211_232,5,2010,,,50.0,1.0,0.0,0.0
11211_232,5,2015,,,50.0,1.0,0.0,0.0
11211_232,5,2017,,,50.0,1.0,0.0,0.0
11211_262,5,2000,,,50.0,1.0,0.0,0.0
11211_262,5,2005,,,50.0,1.0,0.0,0.0
11211_262,5,2010,,,50.0,1.0,0.0,0.0
11211_262,5,2015,,,50.0,1.0,0.0,0.0
11211_262,5,2017,,,50.0,1.0,0.0,0.0
11211_706,5,2000,,,50.0,1.0,0.0,0.0
11211_706,5,2005,,,50.0,1.0,0.0,0.0
11211_706,5,2010,,,50.0,1.0,0.0,0.0
11211_706,5,2015,,,50.0,1.0,0.0,0.0
11211_706,5,2017,,,50.0,1.0,0.0,0.0
11212_706,5,2000,,,50.0,1.0,0.0,0.0
11212_706,5,2005,,,50.0,1.0,0.0,0.0
11212_706,5,2010,,,50.0,1.0,0.0,0.0
11212_706,5,2015,,,50.0,1.0,0.0,0.0
11212_706,5,2017,,,50.0,1.0,0.0,0.0
11213_706,5,2000,,,50.0,1.0,0.0,0.0
11213_706,5,2005,,,50.0,1.0,0.0,0.0
11213_706,5,2010,,,50.0,1.0,0.0,0.0
11213_706,5,2015,,,50.0,1.0,0.0,0.0
11213_706,5,2017,,,50.0,1.0,0.0,0.0
11214_706,5,2000,,,50.0,1.0,0.0,0.0
11214_706,5,2005,,,50.0,1.0,0.0,0.0
11214_706,5,2010,,,50.0,1.0,0.0,0.0
11214_706,5,2015,,,50.0,1.0,0.0,0.0
11214_706,5,2017,,,50.0,1.0,0.0,0.0
11215_706,5,2000,,,50.0,1.0,0.0,0.0
11215_706,5,2005,,,50.0,1.0,0.0,0.0
11215_706,5,2010,,,50.0,1.0,0.0,0.0
11215_706,5,2015,,,50.0,1.0,0.0,0.0
11215_706,5,2017,,,50.0,1.0,0.0,0.0
11216_706,5,2000,,,50.0,1.0,0.0,0.0
11216_706,5,2005,,,50.0,1.0,0.0,0.0
11216_706,5,2010,,,50.0,1.0,0.0,0.0
11216_706,5,2015,,,50.0,1.0,0.0,0.0
11216_706,5,2017,,,50.0,1.0,0.0,0.0
11217_706,5,2000,,,50.0,1.0,0.0,0.0
11217_706,5,2005,,,50.0,1.0,0.0,0.0
11217_706,5,2010,,,50.0,1.0,0.0,0.0
11217_706,5,2015,,,50.0,1.0,0.0,0.0
11217_706,5,2017,,,50.0,1.0,0.0,0.0
11218_706,5,2000,,,50.0,1.0,0.0,0.0
11218_706,5,2005,,,50.0,1.0,0.0,0.0
11218_706,5,2010,,,50.0,1.0,0.0,0.0
11218_706,5,2015,,,50.0,1.0,0.0,0.0
11218_706,5,2017,,,50.0,1.0,0.0,0.0
11219_706,5,2000,,,50.0,1.0,0.0,0.0
11219_706,5,2005,,,50.0,1.0,0.0,0.0
11219_706,5,2010,,,50.0,1.0,0.0,0.0
11219_706,5,2015,,,50.0,1.0,0.0,0.0
11219_706,5,2017,,,50.0,1.0,0.0,0.0
11220_706,5,2000,,,50.0,1.0,0.0,0.0
11220_706,5,2005,,,50.0,1.0,0.0,0.0
11220_706,5,2010,,,50.0,1.0,0.0,0.0
11220_706,5,2015,,,50.0,1.0,0.0,0.0
11220_706,5,2017,,,50.0,1.0,0.0,0.0
11230_706,5,2000,,,50.0,1.0,0.0,0.0
11230_706,5,2005,,,50.0,1.0,0.0,0.0
