id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta
1142_231,4,2010,,,50.0,1.0,0.0,0.0
1142_231,4,2015,,,50.0,1.0,0.0,0.0
1142_231,4,2017,,,50.0,1.0,0.0,0.0
1142_404,4,2000,,,50.0,1.0,0.0,0.0
1142_404,4,2005,,,50.0,1.0,0.0,0.0
1142_404,4,2010,,,50.0,1.0,0.0,0.0
1142_404,4,2015,,,50.0,1.0,0.0,0.0
1142_404,4,2017,,,50.0,1.0,0.0,0.0
1142_706,4,2000,,,50.0,1.0,0.0,0.0
1142_706,4,2005,,,50.0,1.0,0.0,0.0
1142_706,4,2010,,,50.0,1.0,0.0,0.0
1142_706,4,2015,,,50.0,1.0,0.0,0.0
1142_706,4,2017,,,50.0,1.0,0.0,0.0
1143_706,4,2000,,,50.0,1.0,0.0,0.0
1143_706,4,2005,,,50.0,1.0,0.0,0.0
1143_706,4,2010,,,50.0,1.0,0.0,0.0
1143_706,4,2015,,,50.0,1.0,0.0,0.0
1143_706,4,2017,,,50.0,1.0,0.0,0.0
1144_231,4,2000,,,50.0,1.0,0.0,0.0
1144_231,4,2005,,,50.0,1.0,0.0,0.0
1144_231,4,2010,,,50.0,1.0,0.0,0.0
1144_231,4,2015,,,50.0,1.0,0.0,0.0
1144_231,4,2017,,,50.0,1.0,0.0,0.0
1144_404,4,2000,,,50.0,1.0,0.0,0.0
1144_404,4,2005,,,50.0,1.0,0.0,0.0
1144_404,4,2010,,,50.0,1.0,0.0,0.0
1144_404,4,2015,,,50.0,1.0,0.0,0.0
1144_404,4,2017,,,50.0,1.0,0.0,0.0
1144_706,4,2000,,,50.0,1.0,0.0,0.0
1144_706,4,2005,,,50.0,1.0,0.0,0.0
1144_706,4,2010,,,50.0,1.0,0.0,0.0
1144_706,4,2015,,,50.0,1.0,0.0,0.0
1144_706,4,2017,,,50.0,1.0,0.0,0.0
1145_706,4,2000,,,50.0,1.0,0.0,0.0
1145_706,4,2005,,,50.0,1.0,0.0,0.0
1145_706,4,2010,,,50.0,1.0,0.0,0.0
1145_706,4,2015,,,50.0,1.0,0.0,0.0
1145_706,4,2017,,,50.0,1.0,0.0,0.0
1146_706,4,2000,,,50.0,1.0,0.0,0.0
1146_706,4,2005,,,50.0,1.0,0.0,0.0
1146_706,4,2010,,,50.0,1.0,0.0,0.0
1146_706,4,2015,,,50.0,1.0,0.0,0.0
1146_706,4,2017,,,50.0,1.0,0.0,0.0
1147_231,4,2000,,,50.0,1.0,0.0,0.0
1147_231,4,2005,,,50.0,1.0,0.0,0.0
1147_231,4,2010,,,50.0,1.0,0.0,0.0
1147_231,4,2015,,,50.0,1.0,0.0,0.0
1147_231,4,2017,,,50.0,1.0,0.0,0.0
1147_706,4,2000,,,50.0,1.0,0.0,0.0
