basin_level,mean,std
0,0.21947681694728466,5.016032192377269
3,-0.09624516883531826,6.095381837816752
4,-0.22394816062984071,5.030437209733772
5,-0.13284557984493822,2.9378741361882206
6,-0.08537982904134322,1.7548474291153198
7,-0.020086533710803593,0.5469207702247209
8,-0.0007675738415353215,0.04754878089586377
