id_bgl,start_year,basin_level,seasonal_area
4,2000,0,-43.47859397868659
4,2005,0,38.428278599822505
4,2010,0,-2.6811533065377486
4,2015,0,16.56326643088923
4,2017,0,23.91338446126583
8,2000,0,-8.598496305142806
8,2005,0,-6.202763459613286
8,2010,0,2.292779562059481
8,2015,0,14.957579917207319
8,2017,0,17.415877502768243
12,2000,0,-16.62090453095424
12,2005,0,-3.2930941645960625
12,2010,0,20.90445755467285
12,2015,0,19.37423713593629
12,2017,0,3.848559061257579
16,2000,0,-1.6965029698828107
16,2005,0,-41.582105454761894
16,2010,0,16.560273578440697
16,2015,0,6.866462835758144
16,2017,0,-9.996958025298353
20,2000,0,-43.92943478569155
20,2005,0,-3.030848851670611
20,2010,0,24.256332227272594
20,2015,0,154.82057561652653
20,2017,0,189.6595098361753
24,2000,0,-0.22797644087718294
24,2005,0,-5.70835065880217
24,2010,0,2.603742298169514
24,2015,0,46.299516171088776
24,2017,0,71.67850277936199
28,2000,0,-21.46006579931192
28,2005,0,-2.5669023607656443
28,2010,0,0.9748388780366166
28,2015,0,20.692571330440128
28,2017,0,26.339101662599706
31,2000,0,-15.180979523364236
31,2005,0,-3.191050821566641
31,2010,0,9.3519271758365
31,2015,0,0.30160458705430504
31,2017,0,-2.8036046449951524
32,2000,0,4.110297829925294
32,2005,0,-24.317677351299725
32,2010,0,-10.286416524205478
32,2015,0,25.68944640221071
32,2017,0,1.8619673257970784
36,2000,0,20.34901681780226
36,2005,0,-0.14506287358571018
36,2010,0,0.14506287358571018
36,2015,0,-15.197860568970773
36,2017,0,4.37577902614633
40,2000,0,-23.33146249617842
40,2005,0,-4.513680801464618
40,2010,0,1.9410442415130742
40,2015,0,19.87833936580757
40,2017,0,28.680507283318903
44,2000,0,0.330304174806743
44,2005,0,-2.1094315135900708
44,2010,0,-11.448897086661384
44,2015,0,14.261385541423921
44,2017,0,12.830786676621821
48,2000,0,-11.15261032692079
48,2005,0,-3.3155164286849663
48,2010,0,-2.4186615791687696
48,2015,0,87.36061535896226
48,2017,0,139.83598561269014
50,2000,0,0.0547313891707453
50,2005,0,3.8784179235521457
50,2010,0,-12.331132133204994
50,2015,0,3.7978106530745364
50,2017,0,-0.0547313891707453
51,2000,0,-13.686552561583099
51,2005,0,-0.4024397173633932
51,2010,0,0.4024397173634046
51,2015,0,22.913366421385682
51,2017,0,24.121799340098786
52,2000,0,-9.456380757106933
52,2005,0,1.5741764534101355
52,2010,0,-36.58297652809861
52,2015,0,55.76585570983244
52,2017,0,72.05478366165909
56,2000,0,-24.13452728282512
56,2005,0,1.4804470586079186
56,2010,0,-13.770274120407022
56,2015,0,23.32146983415539
56,2017,0,40.94342240479592
60,2000,0,-3.9082305728534252
60,2005,0,-71.51344513220536
60,2010,0,7.0531644078718685
60,2015,0,30.162572322296988
60,2017,0,46.006798351329124
64,2000,0,-25.65377492168089
64,2005,0,-0.29077573675911617
64,2010,0,-3.0407430670691276
64,2015,0,39.299669495886896
64,2017,0,42.63610631993862
68,2000,0,-28.81726375610737
68,2005,0,10.719913088839485
68,2010,0,-6.677684902742262
68,2015,0,14.679036217193369
68,2017,0,47.67591901673172
70,2000,0,-26.240468604501523
70,2005,0,7.939407804188543
70,2010,0,24.973574907832607
70,2015,0,-7.9394078041885585
70,2017,0,-7.9394078041885585
72,2000,0,-10.705969316240767
72,2005,0,-0.5605821308371562
72,2010,0,0.5605821308371562
72,2015,0,41.84543710762204
72,2017,0,42.70238880507197
76,2000,0,-2.5574830622237763
76,2005,0,2.838605236878336
76,2010,0,-4.5385233809144605
76,2015,0,6.729636912683929
76,2017,0,5.0673423924600565
84,2000,0,-1.4170906113893798
84,2005,0,-14.383037178270817
84,2010,0,-10.91569747906911
84,2015,0,6.526740521967979
84,2017,0,9.21151903152422
90,2000,0,-72.23196153298932
90,2005,0,-60.51732224661188
90,2010,0,26.904312370869356
90,2015,0,10.603340752079744
90,2017,0,13.12593930487916
92,2000,0,-13.62325323092555
92,2005,0,-7.7712957779190335
92,2010,0,0.3578911074657244
92,2015,0,45.50299990564275
92,2017,0,54.38408935150791
96,2000,0,-12.439253192879269
96,2005,0,-0.22513279454857926
96,2010,0,-7.475981481392344
96,2015,0,57.809697650723116
96,2017,0,57.04229625131746
100,2000,0,-22.102666598780786
100,2005,0,-5.905978059555206
100,2010,0,-1.8956681029262834
100,2015,0,16.748254892688415
100,2017,0,11.334582693786178
104,2000,0,-6.553232363007266
104,2005,0,-6.647340734256193
104,2010,0,0.7561423998746746
104,2015,0,22.63860110679838
104,2017,0,19.963936245727137
108,2000,0,-19.00869325754201
108,2005,0,-27.616700933440065
108,2010,0,6.045263255175203
108,2015,0,52.85102140699799
108,2017,0,70.52592937036496
112,2000,0,5.782140613668468
112,2005,0,-24.424319217114522
112,2010,0,10.771872716504538
112,2015,0,-11.103397207803981
112,2017,0,18.350100852713222
116,2000,0,10.03654659002202
116,2005,0,4.653417637740161
116,2010,0,-7.578419537815943
116,2015,0,-9.667792921213515
116,2017,0,-9.667792921213515
120,2000,0,-4.521684322432791
120,2005,0,-13.166993407810832
120,2010,0,25.543048102921556
120,2015,0,69.57247891113668
120,2017,0,112.67988197636834
124,2000,0,-12.998963701527144
124,2005,0,-0.5209698952334272
124,2010,0,0.520969895233409
124,2015,0,17.488934834857297
124,2017,0,23.241008733665637
132,2000,0,-7.475637428704522
132,2005,0,-31.21866674677751
132,2010,0,-16.001768711683294
132,2015,0,161.1098493776178
132,2017,0,184.47918796961864
136,2000,0,1.4411306540951343
136,2005,0,-23.845300210195422
136,2010,0,-25.89988456888708
136,2015,0,182.01101527194245
136,2017,0,250.13176652255572
140,2000,0,-2.176002434801259
140,2005,0,-5.478678194780182
140,2010,0,0.4626116458980511
140,2015,0,23.720192462864116
140,2017,0,34.00314591039415
144,2000,0,-7.468834782004208
144,2005,0,3.085915725857733
144,2010,0,-4.241172454718986
144,2015,0,12.594625134804938
144,2017,0,21.946285741926484
148,2000,0,6.002494763218342
148,2005,0,-13.801895642609255
148,2010,0,-14.174234232141108
148,2015,0,31.058540257883106
148,2017,0,39.830917500845246
152,2000,0,-2.322873270193262
152,2005,0,-0.6038205648408246
152,2010,0,-1.4630718073386517
152,2015,0,35.836917289983525
152,2017,0,38.52024684661649
156,2000,0,1.6497017215307153
156,2005,0,-5.029015123031877
156,2010,0,-6.672361235422965
156,2015,0,16.58896317662975
156,2017,0,22.831888834277358
162,2000,0,0.0
162,2005,0,0.0
162,2010,0,0.0
162,2015,0,4.35906646733273e+16
162,2017,0,4.43521078873207e+16
166,2000,0,0.0
166,2005,0,0.0
166,2010,0,0.0
166,2015,0,0.0
166,2017,0,0.0
170,2000,0,-11.561942297738712
170,2005,0,-2.400953119597042
170,2010,0,14.17924780141708
170,2015,0,25.536689836185488
170,2017,0,29.931528928747337
174,2000,0,-10.907993115445175
174,2005,0,-21.78981557003387
174,2010,0,-9.636518917647026
174,2015,0,161.56911353924767
174,2017,0,119.45389557466235
175,2000,0,11.03277642245929
175,2005,0,-52.755416337337344
175,2010,0,-38.83898586454748
175,2015,0,114.26066800567216
175,2017,0,114.26066800567216
178,2000,0,-11.85784639914788
178,2005,0,-18.360406780138874
178,2010,0,5.964789494249045
178,2015,0,63.71353323273169
178,2017,0,77.11567865302882
180,2000,0,-9.096314684741518
180,2005,0,-6.190913288351765
180,2010,0,17.36414824519489
180,2015,0,43.83704482455556
180,2017,0,48.416103486772
184,2000,0,86.16019533393188
184,2005,0,-4.650124599016946
184,2010,0,-30.54062181757522
184,2015,0,10.422876011915514
184,2017,0,58.88218860302494
188,2000,0,-21.236559845146935
188,2005,0,-21.76180052517549
188,2010,0,3.1553390910271673
188,2015,0,74.40974975442474
188,2017,0,71.35653653800772
191,2000,0,-22.011515512530895
191,2005,0,5.9408771865169125
191,2010,0,32.77041338932298
191,2015,0,2.8804768836966885
191,2017,0,2.8804768836966885
192,2000,0,-5.846286380719855
192,2005,0,-3.2913836036624606
192,2010,0,-0.2626298024908292
192,2015,0,14.013714264628918
192,2017,0,19.069513967759057
196,2000,0,-0.9265339648472444
196,2005,0,-16.536499455586785
196,2010,0,3.76333775118982
196,2015,0,2.8747025525467986
196,2017,0,41.45875995404696
203,2000,0,-13.23683554998163
203,2005,0,-4.394780310954034
203,2010,0,5.61297072434346
203,2015,0,3.3329618402794186
203,2017,0,17.3284077417368
204,2000,0,-8.244824011277206
204,2005,0,-35.75403730702442
204,2010,0,40.69925321770532
204,2015,0,113.02624173411407
204,2017,0,134.6248145630662
208,2000,0,-8.40305325939574
208,2005,0,-8.19046373410894
208,2010,0,6.638034722014571
208,2015,0,14.11116794674264
208,2017,0,24.716868303958233
212,2000,0,-18.54010670408621
212,2005,0,-8.610923282465478
212,2010,0,3.3994092111114003
212,2015,0,350.6278011389129
212,2017,0,202.18451568061678
214,2000,0,-15.060762003890959
214,2005,0,24.370646890408658
214,2010,0,-2.626161568473452
214,2015,0,25.415917637278827
214,2017,0,37.86313008257303
218,2000,0,15.087420186808048
218,2005,0,-27.51197281122667
218,2010,0,-0.7239988464250451
218,2015,0,116.25723650735273
218,2017,0,142.05912538198524
222,2000,0,-4.80107958271706
222,2005,0,-7.610749837553874
222,2010,0,12.104385392925405
222,2015,0,4.50664389404815
222,2017,0,3.580426053199616
226,2000,0,-18.13441918478456
226,2005,0,-38.09845432010095
226,2010,0,9.4430241929879
226,2015,0,229.28904189850067
226,2017,0,246.84181386551543
231,2000,0,-19.49923850023392
231,2005,0,-2.7178584627106845
231,2010,0,16.17929670963671
231,2015,0,33.03768822343536
231,2017,0,50.99282299441881
232,2000,0,-6.687943312659919
232,2005,0,-7.018834788174185
232,2010,0,1.027770706546138
232,2015,0,61.18610567697268
232,2017,0,67.7139031799244
233,2000,0,-1.5690970338943087
233,2005,0,-3.1773839872258964
233,2010,0,-1.3765863955117368
233,2015,0,39.652527099181135
233,2017,0,49.325074678726736
234,2000,0,0.0
234,2005,0,0.0
234,2010,0,0.0
234,2015,0,8.26042881452275e+17
234,2017,0,6.188057963330839e+17
238,2000,0,10.956028491711661
238,2005,0,-5.093309920015422
238,2010,0,-1.1071793127367644
238,2015,0,1.1071793127367482
238,2017,0,6.886669551680548
239,2000,0,39.948308174666614
239,2005,0,-13.693596320200799
239,2010,0,-25.084496846306596
239,2015,0,2.163601206484752
239,2017,0,1.2150682098468668
242,2000,0,-10.048511074615844
242,2005,0,-13.061868026430279
242,2010,0,10.896578703250082
242,2015,0,137.32050793410127
242,2017,0,137.32050793410127
246,2000,0,-3.869368636188154
246,2005,0,0.0634381606165901
246,2010,0,-0.7239740047201243
246,2015,0,30.975309496849246
246,2017,0,38.909181579501535
248,2000,0,-6.726934056761164
248,2005,0,-8.491814234880039
248,2010,0,3.11713709639861
248,2015,0,34.7580986907965
248,2017,0,44.73164323190989
250,2000,0,-8.721336627469457
250,2005,0,-6.544028768158319
250,2010,0,-7.178519460038676
250,2015,0,32.75876610490142
250,2017,0,38.90544946124121
254,2000,0,3.6210001885438747
254,2005,0,-12.866459760375268
254,2010,0,-19.466945645887527
254,2015,0,26.945210004991544
254,2017,0,48.71537465932958
258,2000,0,-17.23382448037142
258,2005,0,-14.28990749698779
258,2010,0,298.36830369213624
258,2015,0,859.4747424291274
258,2017,0,678.183071310851
262,2000,0,-22.83768970807148
262,2005,0,-16.82960173813724
262,2010,0,4.017822304741272
262,2015,0,144.61803795818412
262,2017,0,166.50383793904666
266,2000,0,3.7297360391594854
266,2005,0,-24.61220374416857
266,2010,0,-25.596607231696105
266,2015,0,123.21605692080281
266,2017,0,120.84318512574997
268,2000,0,-13.63091213789455
268,2005,0,-0.982790610233317
268,2010,0,3.445050947585467
268,2015,0,22.691491505664356
268,2017,0,23.503050843966264
270,2000,0,-21.09122043357464
270,2005,0,-1.1543333662781614
270,2010,0,10.497230348799887
270,2015,0,11.44349016062388
270,2017,0,11.44349016062388
276,2000,0,-7.977010987404521
276,2005,0,-4.057529457176114
276,2010,0,-1.5808612313130979
276,2015,0,22.06582551089412
276,2017,0,33.61554016797756
288,2000,0,-16.337845648149198
288,2005,0,5.566732966351197
288,2010,0,-9.288205225510216
288,2015,0,52.548129049178
288,2017,0,72.24475787613788
292,2000,0,-46.25259510870431
292,2005,0,-40.78766789286865
292,2010,0,8.951972329231419
292,2015,0,150.20137871047632
292,2017,0,206.179212996887
296,2000,0,-70.42231746979395
296,2005,0,-99.99999999999622
296,2010,0,1668.3180626674844
296,2015,0,7889.127943694744
296,2017,0,7818.882216328325
300,2000,0,-14.859351747250827
300,2005,0,2.2505032225590575
300,2010,0,-0.5481047429794578
300,2015,0,14.962952173652722
300,2017,0,31.69881663701441
304,2000,0,-33.92988614323245
304,2005,0,-2.5852044478077114
304,2010,0,6.791725034772762
304,2015,0,69.38469718277294
304,2017,0,74.84140399336133
308,2000,0,-15.524085427160713
308,2005,0,-6.602236425646551
308,2010,0,-0.5311495664362713
308,2015,0,108.22991588728345
308,2017,0,92.78430466142359
312,2000,0,-16.15219675742686
312,2005,0,-9.378090403628118
312,2010,0,3.0400229871439466
312,2015,0,84.69117588390478
312,2017,0,84.69117588390478
316,2000,0,-18.015612675699714
316,2005,0,-21.12657045999995
316,2010,0,-10.32599846415664
316,2015,0,226.71350548242845
316,2017,0,222.88713555435353
320,2000,0,-25.27821964224048
320,2005,0,-23.64278589361815
320,2010,0,14.761004852491524
320,2015,0,18.39517747695865
320,2017,0,25.537211371870555
324,2000,0,-13.659254201834797
324,2005,0,-7.233212998552144
324,2010,0,-0.2595254272724938
324,2015,0,35.193887294015155
324,2017,0,44.562424073721196
328,2000,0,-0.2569866843632326
328,2005,0,-2.732522579841053
328,2010,0,-11.668707662315676
328,2015,0,19.237838790436403
328,2017,0,48.42424366639686
332,2000,0,-30.532554159020147
332,2005,0,0.5491584528804332
332,2010,0,4.618562644028658
332,2015,0,8.65917771837367
332,2017,0,10.06786540421481
334,2000,0,0.0
334,2005,0,0.0
334,2010,0,0.0
334,2015,0,0.0
334,2017,0,0.0
336,2000,0,0.0
336,2005,0,0.0
336,2010,0,0.0
336,2015,0,0.0
336,2017,0,0.0
340,2000,0,-14.660479348930513
340,2005,0,-15.179450023357457
340,2010,0,2.8804420806886073
340,2015,0,23.992800684398976
340,2017,0,27.852204912082474
344,2000,0,8.778059998152916
344,2005,0,-2.263681203221056
344,2010,0,-20.579420345213308
344,2015,0,10.48900928074255
344,2017,0,16.79732856907272
348,2000,0,9.293668012606867
348,2005,0,-10.049596095820684
348,2010,0,-2.2649818936266426
348,2015,0,-4.673166377815999
348,2017,0,-4.673166377815999
352,2000,0,-2.700112204487413
352,2005,0,-18.790520926428098
352,2010,0,11.177408892853299
352,2015,0,701.9657886313782
352,2017,0,826.1604006518866
356,2000,0,-9.833164786051341
356,2005,0,5.954815254881718
356,2010,0,-2.188946694697715
356,2015,0,15.618738036581851
356,2017,0,29.852533848876988
360,2000,0,-17.969278778821778
360,2005,0,-1.1408531016026489
360,2010,0,-7.467188674167925
360,2015,0,37.54894509370699
360,2017,0,38.76669014631109
364,2000,0,-31.814743705005295
364,2005,0,-5.17112197354249
364,2010,0,0.24808369205774616
364,2015,0,24.99161876670167
364,2017,0,51.20070910167107
368,2000,0,-51.51473138356336
368,2005,0,2.834833398150278
368,2010,0,-26.588940605508725
368,2015,0,15.796846749949738
368,2017,0,22.80264044262364
372,2000,0,7.886981246925914
372,2005,0,-63.69955634208564
372,2010,0,-7.886981246925914
372,2015,0,84.77431253082415
372,2017,0,92.9897587510267
376,2000,0,-0.6020937620493877
376,2005,0,-4.213368999544903
376,2010,0,-4.687356369858424
376,2015,0,13.030000980729772
376,2017,0,36.039030528620295
380,2000,0,-1.0851432802880359
380,2005,0,-18.668930679847758
380,2010,0,-14.152716408803942
380,2015,0,56.87007771832003
380,2017,0,56.87007771832003
384,2000,0,-1.2822839710713176
