id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta
111_232,3,2000,-1.5635949475976758,0.14234632981914144,38.5,0.4544466217384099,36.199958709014396,-2.410807530867215
111_232,3,2005,-1.7202440676863897,0.11247967198846245,36.5,0.37668189633071936,36.199958709014396,-7.506026886399694
111_232,3,2010,-0.8469264820814532,0.4234194847398254,37.5,0.41448613410576296,36.199958709014396,-8.339969337575146
111_232,3,2015,5.935720090968448,4.819134414549034e-06,87.5,0.011866976415705938,36.199958709014396,24.779149583900644
111_232,3,2017,5.714953986957036,1.0274032712194288e-05,88.5,0.00979219587072503,36.199958709014396,24.779149583900644
111_729,3,2000,-3.6940697877612028,0.001432665819138984,15.5,0.020773861168054002,25.778302135729398,-9.404374247994198
111_729,3,2005,-0.8362196576669585,0.41580124081827996,47.5,0.891818055418289,25.778302135729398,3.004272679956395
111_729,3,2010,-0.646040120249556,0.5309343134522357,49.5,1.0,25.778302135729398,-3.157276216640355
111_729,3,2015,6.0193000990381735,3.900607396888269e-06,87.5,0.011866976415705938,25.778302135729398,28.100849762156987
111_729,3,2017,6.223654435159028,1.760881824048262e-05,95.5,0.0022214145869887034,25.778302135729398,31.294721464202425
111_818,3,2000,-4.416759133202488,0.0002615571949401081,15.5,0.020773861168054002,38.873560070572296,-12.888725160623338
111_818,3,2005,-1.2542169918859383,0.23505700953286923,42.5,0.6340642040377586,38.873560070572296,-4.754001820526614
111_818,3,2010,0.18275972956189274,0.8598395010460268,54.5,0.7856157447765455,38.873560070572296,14.726614293877551
111_818,3,2015,5.798269713079577,8.457332626740142e-06,87.5,0.011866976415705938,38.873560070572296,34.99422508785217
111_818,3,2017,6.498155186990788,1.94119411824582e-06,93.5,0.003467193190765815,38.873560070572296,37.49427916593852
112_231,3,2000,0.8778304048944139,0.4059643445157979,64.5,0.3410824971479892,0.033109122450696304,22.623333646061234
112_231,3,2005,-0.029278573752928545,0.9776752675158759,50.5,1.0,0.033109122450696304,-1.2334350017704463
112_231,3,2010,-0.32123141148966794,0.7605829844707623,41.5,0.5864302419067187,0.033109122450696304,-14.617238428110657
112_231,3,2015,-0.30491728938288903,0.7693348967607456,43.5,0.6832646883573559,0.033109122450696304,-12.205091226938954
112_231,3,2017,0.5541834375864244,0.6015126378109847,54.5,0.7856962962493347,0.033109122450696304,-12.205091226938954
112_232,3,2000,-1.2942726244260243,0.23617589675306935,32.5,0.24766697136682303,5.254751002073155,-34.49636199671178
112_232,3,2005,-0.1220750009099846,0.9063383200925343,51.5,0.9457840102873425,5.254751002073155,3.8803601542791264
112_232,3,2010,-0.1058716984585642,0.9185124357073549,48.5,0.9457840102873425,5.254751002073155,1.1546349978308763
112_232,3,2015,1.096105584014398,0.3202979654579154,67.5,0.24766697136682303,5.254751002073155,14.405312525247686
112_232,3,2017,1.5738816744724913,0.18971062362570917,87.5,0.011899644584157432,5.254751002073155,69.69566851099424
112_262,3,2000,-0.43947176512007485,0.6769024587416487,44.5,0.7338488462374848,4.853357041723265,2.4178723937437563
112_262,3,2005,0.8024411308340724,0.4423250316937649,55.5,0.7338488462374848,4.853357041723265,1.5544258447778168
112_262,3,2010,-1.0420509688951713,0.3315948466247909,36.5,0.37668189633071936,4.853357041723265,-9.633740328521085
112_262,3,2015,0.6835540696502964,0.5227338386738148,63.5,0.37668189633071936,4.853357041723265,3.281700136111951
112_262,3,2017,2.4070974164576193,0.059183240478239044,83.5,0.02488372328270136,4.853357041723265,23.568520925306892
112_706,3,2000,-0.6263335325454978,0.5476743858755164,43.5,0.6832646883573559,36.694655465489845,-1.16639330046208
112_706,3,2005,0.9258088136951946,0.3728856338070392,60.5,0.4964915434248136,36.694655465489845,3.4953599707257457
112_706,3,2010,2.5625246317767356,0.035037159080691105,80.5,0.04134423030761837,36.694655465489845,8.281270380633211
112_706,3,2015,-4.390842179145896,0.0002296682859464177,15.5,0.020773861168054002,36.694655465489845,-10.733043906941553
112_706,3,2017,-4.147737788731333,0.0004212403343054857,16.5,0.02488372328270136,36.694655465489845,-8.530716512468297
113_887,3,2000,0.5777131946295899,0.576773927217769,57.5,0.6340642040377586,2.564778928132385,1.1958044399570922
113_887,3,2005,2.4106907243172087,0.03191385602208918,70.5,0.17381701252848136,2.564778928132385,4.553720865458541
113_887,3,2010,0.5209101534763834,0.6207588475820947,57.5,0.6340642040377586,2.564778928132385,1.4457282199555281
113_887,3,2015,-4.1475924030470015,0.0008491300099896026,14.5,0.0173092836723952,2.564778928132385,-17.923394668466354
113_887,3,2017,-3.4933342301545167,0.0039488840201156025,17.5,0.029613094352645416,2.564778928132385,-16.396329336427137
114_231,3,2000,1.1288451550849417,0.2902847247818047,61.5,0.4544466217384099,6.71034814001417,8.937271746759615
114_231,3,2005,-0.32921312003665715,0.7456343959554891,46.5,0.8383487162012156,6.71034814001417,-7.379176711581811
114_231,3,2010,3.1880415077249173,0.0062995751748263565,79.5,0.04860285309914336,6.71034814001417,39.739422102050284
114_231,3,2015,-4.170187125794082,0.0010820700005419396,12.5,0.011866976415705938,6.71034814001417,-64.09649777763424
114_231,3,2017,0.24627953638117808,0.8171239223467902,38.5,0.4546204062737812,6.71034814001417,-64.09649777763424
114_404,3,2000,-2.159902857796311,0.059283539194326496,22.5,0.0663495105323919,2.25676620466984,-32.50352283508606
114_404,3,2005,-2.018606161333944,0.06753204918552971,28.5,0.15327952768294986,2.25676620466984,-17.419508078831953
114_404,3,2010,2.2518398962863064,0.038972312632907034,75.5,0.08912133249537314,2.25676620466984,22.905831665205632
