id_bgl,start_year,basin_level,seasonal_area
111011_818,2000,6,0.0
111011_818,2005,6,0.0
111011_818,2010,6,0.0
111011_818,2015,6,0.0
111011_818,2017,6,0.0
111012_818,2000,6,0.0
111012_818,2005,6,0.0
111012_818,2010,6,0.0
111012_818,2015,6,0.0
111012_818,2017,6,0.0
111013_818,2000,6,0.0
111013_818,2005,6,0.0
111013_818,2010,6,0.0
111013_818,2015,6,0.0
111013_818,2017,6,0.0
111014_818,2000,6,0.0
111014_818,2005,6,0.0
111014_818,2010,6,0.0
111014_818,2015,6,0.0
111014_818,2017,6,0.0
111015_818,2000,6,0.0
111015_818,2005,6,0.0
111015_818,2010,6,0.0
111015_818,2015,6,0.0
111015_818,2017,6,0.0
111016_818,2000,6,0.0
111016_818,2005,6,0.0
111016_818,2010,6,0.0
111016_818,2015,6,0.0
111016_818,2017,6,0.0
111017_818,2000,6,0.0
111017_818,2005,6,0.0
111017_818,2010,6,0.0
111017_818,2015,6,0.0
111017_818,2017,6,0.0
111018_818,2000,6,0.0
111018_818,2005,6,0.0
111018_818,2010,6,0.0
111018_818,2015,6,0.0
111018_818,2017,6,0.0
111019_818,2000,6,0.0
111019_818,2005,6,0.0
111019_818,2010,6,0.0
111019_818,2015,6,0.0
111019_818,2017,6,0.0
111020_729,2000,6,0.0
111020_729,2005,6,0.0
111020_729,2010,6,0.0
111020_729,2015,6,0.0
111020_729,2017,6,0.0
111020_818,2000,6,0.0
111020_818,2005,6,0.0
111020_818,2010,6,0.0
111020_818,2015,6,0.0
111020_818,2017,6,0.0
111030_729,2000,6,0.0
111030_729,2005,6,0.0
111030_729,2010,6,0.0
111030_729,2015,6,0.0
111030_729,2017,6,0.0
111030_818,2000,6,0.0
111030_818,2005,6,0.0
111030_818,2010,6,0.0
111030_818,2015,6,0.0
111030_818,2017,6,0.0
111041_729,2000,6,0.0
111041_729,2005,6,0.0
111041_729,2010,6,0.0
111041_729,2015,6,0.0
111041_729,2017,6,0.0
111042_729,2000,6,0.0
111042_729,2005,6,0.0
111042_729,2010,6,0.0
111042_729,2015,6,0.0
111042_729,2017,6,0.0
111043_729,2000,6,0.0
111043_729,2005,6,0.0
111043_729,2010,6,0.0
111043_729,2015,6,0.0
111043_729,2017,6,0.0
111044_729,2000,6,0.0
111044_729,2005,6,0.0
111044_729,2010,6,0.0
111044_729,2015,6,0.0
111044_729,2017,6,0.0
111045_729,2000,6,0.0
