id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta
7743_840,4,2000,0.41772690894583453,0.683334420217781,55.5,0.7338488462374848,5.332398072961955,0.5070438136698407
7743_840,4,2005,2.56881377592382,0.018091151175819897,77.5,0.0663495105323919,5.332398072961955,14.132088925682298
7743_840,4,2010,-1.5117037179951358,0.16954391444776573,29.5,0.17381701252848136,5.332398072961955,-13.67895273571928
7743_840,4,2015,-0.27611982602168306,0.7939825805756731,37.5,0.41448613410576296,5.332398072961955,-10.867766475265025
7743_840,4,2017,-0.42852510833137863,0.6871133614243652,33.5,0.27676572286017653,5.332398072961955,-19.471115863366954
7744_840,4,2000,0.6721250642661314,0.5234791160328343,59.5,0.5405256097346169,199.370018298451,4.7657709611218655
7744_840,4,2005,0.3439940202907529,0.7447145326128302,60.5,0.4964915434248136,199.370018298451,6.398087774633236
7744_840,4,2010,-1.2880305319004914,0.24203229822763528,31.5,0.2209383750446412,199.370018298451,-8.354603961816466
7744_840,4,2015,0.2216681087720237,0.8293293516711429,48.5,0.9457840102873425,199.370018298451,2.611376737955978
7744_840,4,2017,0.3364434655469231,0.7445693602891901,51.5,0.9458048585528951,199.370018298451,2.611376737955978
7745_840,4,2000,0.5337196345699361,0.6044623166562035,58.5,0.5864302419067187,3.452405372285285,6.954765336837468
7745_840,4,2005,0.40428231608809606,0.7010166547868056,56.5,0.6832646883573559,3.452405372285285,2.9695712176108104
7745_840,4,2010,0.11780684925752777,0.9107606710077609,48.5,0.9457840102873425,3.452405372285285,-4.575342031272312
7745_840,4,2015,-1.1525958752851577,0.2849861992419521,36.5,0.37668189633071936,3.452405372285285,-5.196927959269581
7745_840,4,2017,0.4202048084714567,0.6915578785248314,55.5,0.7339474627492532,3.452405372285285,0.2700038220657285
7746_840,4,2000,-1.6851917345833223,0.10571795361649915,37.5,0.41448613410576296,2.39654076041188,-2.2018078135754244
7746_840,4,2005,-0.34306968506694235,0.7362210252411814,52.5,0.891818055418289,2.39654076041188,-0.5793213477111516
7746_840,4,2010,-0.49079206005119713,0.6334115524872247,48.5,0.9457840102873425,2.39654076041188,0.8404468988843142
7746_840,4,2015,0.836659350188276,0.4437738180977173,61.5,0.4544466217384099,2.39654076041188,5.040881640348715
7746_840,4,2017,-1.9075771999402247,0.10225906189317117,24.5,0.08924454710859073,2.39654076041188,-5.619776838799069
7747_840,4,2000,0.8128075692262797,0.429241391543259,59.5,0.5405256097346169,0.8581173934799154,1.3579645466755874
7747_840,4,2005,0.392616679738169,0.702315025075166,52.5,0.891818055418289,0.8581173934799154,-0.15931434581029164
7747_840,4,2010,-1.7934659028381439,0.12499090548626667,23.5,0.07705203661884766,0.8581173934799154,-5.8303152550404445
7747_840,4,2015,1.059192324794744,0.3325668452413119,64.5,0.3410824971479892,0.8581173934799154,6.708214087312533
7747_840,4,2017,0.908062731831023,0.40211073859478685,62.5,0.4146659024229229,0.8581173934799154,6.708214087312533
7748_840,4,2000,0.0289531375982999,0.9775116896514036,54.5,0.7856157447765455,45.61627799879405,3.6325377935965837
7748_840,4,2005,-0.3092131910765727,0.7601666902607437,51.5,0.9457840102873425,45.61627799879405,-3.0488859990262944
7748_840,4,2010,-0.15006067962927153,0.8863248064789594,45.5,0.7856157447765455,45.61627799879405,-8.153879467150158
7748_840,4,2015,0.2233430696607728,0.8323851541026471,48.5,0.9457840102873425,45.61627799879405,-13.697617778240154
7748_840,4,2017,-0.9330795247538118,0.3789467746073841,38.5,0.4546204062737812,45.61627799879405,-13.697617778240154
7749_840,4,2000,,,50.0,1.0,0.0,0.0
7749_840,4,2005,,,50.0,1.0,0.0,0.0
7749_840,4,2010,,,50.0,1.0,0.0,0.0
7749_840,4,2015,,,50.0,1.0,0.0,0.0
7749_840,4,2017,,,50.0,1.0,0.0,0.0
7810_840,4,2000,-1.6443468761467177,0.13639727601819823,34.5,0.3077139478434141,6.30692131954129,-0.16740640742807208
7810_840,4,2005,-0.7516956003172927,0.4614276516556691,47.5,0.891818055418289,6.30692131954129,-1.1250878389659007
7810_840,4,2010,-0.2591179326485237,0.8052829886224075,36.5,0.37668189633071936,6.30692131954129,-1.6920967257438242
7810_840,4,2015,2.3595180238055833,0.048432208374943296,81.5,0.03502551935929021,6.30692131954129,5.502955646173456
7810_840,4,2017,3.0563380606757145,0.016999407616336584,84.5,0.020822974945909827,6.30692131954129,7.698846412371821
7821_840,4,2000,-0.9447737826724135,0.3608841454200422,39.5,0.4964915434248136,4.482262315013784,-5.783815280024481
7821_840,4,2005,0.3096210366961313,0.7630008655216065,58.5,0.5864302419067187,4.482262315013784,5.321128736296156
7821_840,4,2010,-2.1005483444224105,0.0649306397867002,27.5,0.13464195967385212,4.482262315013784,-10.927351823964045
7821_840,4,2015,1.5911320983949555,0.1691087114673186,74.5,0.1026691721573245,4.482262315013784,22.52735805161807
7821_840,4,2017,2.685497852270309,0.02718616636554022,83.5,0.02488372328270136,4.482262315013784,31.723605956286328
