adm0_code,adm0_name,SDG_region,delta_2000_2004,delta_2005_2009,delta_2010_2014,delta_2015_2019,delta_2017_2021,count_basins_plus_2000_2004,count_basins_negative_2000_2004,count_basins_plus_2005_2009,count_basins_negative_2005_2009,count_basins_plus_2010_2014,count_basins_negative_2010_2014,count_basins_plus_2015_2019,count_basins_negative_2015_2019,count_basins_plus_2017_2021,count_basins_negative_2017_2021,total_basins
702,Singapore,Eastern Asia (M49) and South-eastern Asia (MDG=M49),-20.32831591763109,-1.2749019780945043,9.286040213617657,39.81465510742266,4.747684315063946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
703,Slovakia,Northern America (M49) and Europe (M49),-6.068157642217529,-1.122734768888052,0.8253094455276336,17.610642985298007,12.229016209902248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
704,Viet Nam,Eastern Asia (M49) and South-eastern Asia (MDG=M49),-32.26407609373896,-16.53856606698032,20.30473977396993,38.44252898950555,38.44252898950555,0.0,15.0,0.0,0.0,0.0,0.0,13.0,0.0,10.0,0.0,58.0
705,Slovenia,Northern America (M49) and Europe (M49),-26.187099186280825,5.964847278229374,-3.244964605454878,2.425599222469512,-0.6530906287336368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
706,Somalia,Sub-Saharan Africa (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
710,South Africa,Sub-Saharan Africa (M49),-9.147901030156133,-2.439945330878688,-16.182417944592697,29.6518857465372,27.424603260514147,0.0,2.0,0.0,0.0,0.0,2.0,7.0,2.0,4.0,3.0,203.0
716,Zimbabwe,Sub-Saharan Africa (M49),-12.871993848243171,2.259774880875788,-9.860434503012812,50.578080690949,50.578080690949,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,56.0
724,Spain,Northern America (M49) and Europe (M49),-4.322915047960934,-22.19825069939857,-9.632666000954124,19.66573973205956,25.50287493925311,0.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,8.0,0.0,68.0
728,South Sudan,Sub-Saharan Africa (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0
729,Sudan,Western Asia (M49) and Northern Africa (M49),-25.40848555672934,-15.826467016314451,22.80148098928913,11.654051983558508,1.721617303611521,0.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,3.0,244.0
