,num_neg,num_pos,num_total,percent_neg (%),percent_pos (%)
2000,337.0,77.0,19163,1.7585972968741845,0.4018159995825288
2005,30.0,24.0,19163,0.15655168814903722,0.12524135051922977
2010,10.0,58.0,19163,0.05218389604967907,0.3026665970881386
2015,166.0,470.0,19163,0.8662526744246726,2.4526431143349163
2017,218.0,570.0,19163,1.1376089338830038,2.974482074831707
