basin_level,p_thd_0.001,p_thd_0.01,p_thd_0.02,p_thd_0.05,p_thd_0.1,p_thd_0.2,p_thd_0.5
3,24,85,103,149,174,224,307
4,55,194,244,326,372,486,650
5,121,379,482,679,816,1021,1364
6,236,794,1032,1477,1806,2241,2947
7,3080,10962,13886,19848,24230,30398,40872
8,8719,30557,39102,56024,68554,86031,116573
