id_bgl,Unnamed: 0,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,u_sign
111011_818,0,6,2017,4.228971750977959,0.0057765513134892,92.5,0.0043038765583129,0.471978977637128,149.02463659369408,1
111012_818,1,6,2017,2.23890851498033,0.0812921480470744,86.5,0.0143998647267011,0.223332194743025,303.61233701784374,1
111013_818,2,6,2017,2.604840555997507,0.0452499121546432,83.5,0.0248837232827013,0.221865275285581,182.87962272700483,1
111014_818,3,6,2017,1.6051445418338652,0.1836314012113642,73.5,0.1179480673610386,0.054165419889614,75.19682159385836,1
111015_818,4,6,2017,-0.4961374579651338,0.6276134336800703,35.5,0.3412684763150512,18.9917959087404,-2.3110097051855814,-1
111016_818,5,6,2017,1.957017436701703,0.1213023099235146,90.5,0.0062504760963156,0.0112463388941251,342.89085307050584,-99
111017_818,6,6,2017,1.6906140150183333,0.1448203703790579,68.5,0.2211162550702167,4.212538623805026,9.14785563688203,1
111018_818,7,6,2017,2.330499748582479,0.0790494240073432,92.5,0.0037659856025451,0.0167605433373383,115.5428125280037,-99
111019_818,8,6,2017,-3.8128658301677247,0.0008968714042175,17.5,0.0296130943526454,14.4108458957695,-9.362173833820425,-1
111020_729,9,6,2017,3.391280045571352,0.0231850935062573,93.0,0.0014561923082863,0.0024805713328532,7800.777266783362,-99
111020_818,10,6,2017,3.504345371258627,0.0201323258053488,94.5,0.0026519838937703,0.0658565357443877,136.20890066456664,1
111030_729,11,6,2017,-0.269473551064785,0.7911558285826603,48.5,0.9458048585528952,10.88964728868485,-0.0686764662118496,-1
111030_818,12,6,2017,,,50.0,1.0,0.0,0.0,-99
111041_729,13,6,2017,2.1810424721946724,0.0939201298768538,93.5,0.0034609301161331,0.12879058838007,180.1550071947124,1
111042_729,14,6,2017,5.889535156666335,0.0001922475424613,95.5,0.0022214145869887,0.0559408525004982,147.74964184501297,1
111043_729,15,6,2017,2.629935826379856,0.0560892938872826,92.5,0.0009999701264438,0.0,16723.34736213,-99
111044_729,16,6,2017,4.201620998129651,0.0078412326816421,94.5,0.0027707477988951,0.0397369567945134,163.25262372657824,1
111045_729,17,6,2017,3.382562395943204,0.023318372567487,94.0,0.0026214542346164,0.0041902128141373,459.2210591175129,-99
111046_729,18,6,2017,,,50.0,1.0,0.0,0.0,-99
111047_729,19,6,2017,7.54983443527075,3.91821108547284e-07,87.5,0.0030763904234761,0.0,8403.368410653999,-99
111048_729,20,6,2017,2.4532936142880906,0.0687729135945097,94.5,0.0006934628404899,0.0,117871.987749822,-99
111049_729,21,6,2017,3.4565257794373627,0.0213541641097304,93.5,0.0008764789294643,0.0,75681.07510451198,-99
111050_729,22,6,2017,2.8581961012750967,0.0360391084744277,89.5,0.0080240023321337,7.59417399085691,40.92070930606644,1
111060_729,23,6,2017,4.994672938403514,0.0002452490678334,86.5,0.0128574471327759,0.0130546618424192,16462.25271477839,-99
111070_729,24,6,2017,4.827763624755504,0.0012411111761392,95.5,0.0022214145869887,74.56408227654126,40.895993060172245,1
111081_232,25,6,2017,1.2910028302126515,0.2662619964228216,70.0,0.0048840630105475,0.0,0.0,-99
111081_729,26,6,2017,2.51583434089314,0.0614781090902799,88.5,0.009792195870725,0.3106070772002854,519.9346267349819,1
111082_232,27,6,2017,,,50.0,1.0,0.0,0.0,-99
111082_729,28,6,2017,1.2733906138651294,0.2522093181518192,80.5,0.0414225387933013,0.9188041616235764,1603.4858320332485,1
111083_232,29,6,2017,2.063430201776168,0.1069998548492438,93.0,0.0035840835547657,0.0076948779751546,454.9642442936656,-99
111083_729,30,6,2017,1.2370865378374725,0.2837173213798751,92.5,0.0010029642955091,0.0,8541.750721633,-99
111084_232,31,6,2017,5.39382668876218,0.0001536496888908,92.5,0.0043038765583129,2.246992629457965,28.13353259328311,1
111084_729,32,6,2017,,,50.0,1.0,0.0,0.0,-99
111085_232,33,6,2017,3.829311277122447,0.0124548490543033,93.5,0.0029643406853018,0.0119951639208011,1128.0943531099051,-99
111085_729,34,6,2017,2.726679777439158,0.0354929419546572,80.0,0.0131937683413237,0.0,8579.674758948,-99
111086_232,35,6,2017,1.4161647446010364,0.2229725190197241,69.5,0.1435712008195906,0.0017230861121788,0.0,-99
111087_232,36,6,2017,4.095563690589866,0.0063411116058032,91.5,0.0053196860629577,0.1444092182500755,668.2740584727475,1
111088_232,37,6,2017,2.179168992521753,0.0400050658144997,69.5,0.1964299188959078,0.0341155303176492,24.04286981658221,1
111089_232,38,6,2017,4.71673318495091,0.000612172848927,87.5,0.0118996445841574,0.169619723310461,53.17241834276435,1
111090_232,39,6,2017,1.4999998000260737,0.2080000491455977,70.0,0.0048840630105475,0.0,0.0,-99
111091_729,40,6,2017,2.7394286972637025,0.0462159797617371,89.5,0.0080240023321337,0.626366580159212,197.8069891627184,1
111092_729,41,6,2017,2.0926730408582443,0.1039370733012292,94.5,0.0027812249343891,0.0589119098886537,1075.1126367945888,1
111093_232,42,6,2017,2.54487854147963,0.0570457418317104,91.5,0.0053196860629577,3.07168529527216,31.786116764514265,1
111093_729,43,6,2017,3.59974875487847,0.0141366518854839,91.5,0.0053196860629577,20.937310516249,157.59785848953464,1
111094_232,44,6,2017,4.31634333882173,0.0016493250819013,88.5,0.0080428158807318,0.0008603300666436,2666.051889474756,-99
111095_232,45,6,2017,3.677341520740869,0.0039395467631821,84.5,0.0208229749459098,1.1795228215303115,65.39835362592198,1
111096_232,46,6,2017,2.630081332273845,0.0555475997197306,95.5,0.0022170503984282,0.0267235278442967,1383.750512082071,1
111097_232,47,6,2017,4.675515394704302,0.0011954348977636,91.5,0.0053196860629577,1.7806863163732598,460.8203018865241,1
111098_232,48,6,2017,5.005197950997075,0.0009901630593455,91.5,0.0053196860629577,0.243674838973675,136.09383358363573,1
111099_232,49,6,2017,2.3847976217421927,0.0262027722783208,73.5,0.1179480673610386,70.7893487478901,22.03322730678737,1
112011_706,50,6,2017,1.0893575166945535,0.3300633052230011,61.5,0.4546204062737812,1.2945183909614602,-5.421644972612248,-1
