id_bgl,basin_level,start_year,t_score,p_t,u_score,mean,std,alpha,thd_low,thd_high,baseline_median,delta,p_u,p_thd,decision
4,0,2017,0.6558950254851598,0.5400361988246679,60.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,1762.150723615845,23.91338446126583,0.4966573865420429,0.025,0
8,0,2017,3.2874493004023555,0.0174893800132834,87.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,82.23589074110859,17.415877502768243,0.0118996445841574,0.025,0
12,0,2017,0.8977261934588205,0.3812865055268783,62.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,1862.7437699461948,3.848559061257579,0.4146659024229229,0.025,0
16,0,2017,-1.3767772749313476,0.1931576216762146,35.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,0.867987876358401,-9.996958025298351,0.3412684763150512,0.025,0
20,0,2017,4.283420918407639,0.0059583154477771,94.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,0.0874428304668982,189.6595098361753,0.0027812249343891,0.025,1
24,0,2017,2.2413514755320447,0.0741467941100306,79.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,2669.57989413876,71.67850277936199,0.0486896107022692,0.025,0
28,0,2017,5.241327431867029,0.0004534972209988,95.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,3.9110981871681,26.339101662599703,0.0022214145869887,0.025,0
31,0,2017,-0.1007771905562616,0.9227682954711574,46.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,836.648614708138,-2.8036046449951524,0.838410115171209,0.025,0
32,0,2017,-0.0363353817082305,0.9722950854342712,47.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,28528.135408166003,1.8619673257970784,0.8918594638362826,0.025,0
36,0,2017,-0.8116027194298288,0.4346252625734699,43.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,52608.19195978455,4.37577902614633,0.6833800574551345,0.025,0
40,0,2017,5.309340506726892,0.0002310675924279,95.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,77.50253451519924,28.680507283318903,0.0022214145869887,0.025,0
44,0,2017,4.245113455856318,0.0004450117294999,83.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,1811.40261405735,12.83078667662182,0.0248837232827013,0.025,0
48,0,2017,4.096592225245916,0.0053313213315123,90.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,5.22407177954652,139.83598561269014,0.0065472876128609,0.025,1
50,0,2017,-0.2391930277565009,0.818253520886562,50.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,16934.28722672365,-0.0547313891707453,1.0,0.025,0
51,0,2017,4.058206622528667,0.001482221291015,89.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,30.9133514253666,24.121799340098782,0.0080240023321337,0.025,0
52,0,2017,5.225348564630557,0.0010187220200035,95.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,0.3244088282475394,72.05478366165909,0.0022214145869887,0.025,1
56,0,2017,3.69487597863368,0.0132089929110719,94.5,5.819421664560155,22.89585993799653,1.5,-28.52436824243464,40.163211571554946,32.79938307797645,40.94342240479592,0.0027812249343891,0.025,1
