id_bgl,start_year,basin_level,permanent_area
111_232,2000,3,-0.36764061880368015
111_232,2005,3,-0.9191098080974064
111_232,2010,3,0.0
111_232,2015,3,6909.7965306720225
111_232,2017,3,6909.7965306720225
111_729,2000,3,0.0
111_729,2005,3,0.0
111_729,2010,3,0.0
111_729,2015,3,0.0
111_729,2017,3,0.0
111_818,2000,3,0.0
111_818,2005,3,0.0
111_818,2010,3,0.0
111_818,2015,3,0.0
111_818,2017,3,0.0
112_231,2000,3,0.0
112_231,2005,3,0.0
112_231,2010,3,0.0
112_231,2015,3,0.0
112_231,2017,3,0.0
112_232,2000,3,0.0
112_232,2005,3,0.0
112_232,2010,3,0.0
112_232,2015,3,0.0
112_232,2017,3,0.0
112_262,2000,3,0.0
112_262,2005,3,0.0
112_262,2010,3,0.0
112_262,2015,3,0.0
112_262,2017,3,0.0
112_706,2000,3,0.0
112_706,2005,3,0.0
112_706,2010,3,0.0
112_706,2015,3,0.0
112_706,2017,3,0.0
113_887,2000,3,0.0
113_887,2005,3,0.0
113_887,2010,3,0.0
113_887,2015,3,0.0
113_887,2017,3,0.0
114_231,2000,3,-0.20038222212976092
114_231,2005,3,0.0648315262921424
114_231,2010,3,0.11495270836337616
114_231,2015,3,-2.0073432150886044
114_231,2017,3,5.5408715459865965
114_404,2000,3,0.0
114_404,2005,3,0.0
114_404,2010,3,0.0
114_404,2015,3,0.0
114_404,2017,3,0.0
114_706,2000,3,0.0
114_706,2005,3,0.0
114_706,2010,3,0.0
114_706,2015,3,0.0
114_706,2017,3,0.0
115_231,2000,3,-17.11982117566625
115_231,2005,3,-4.165558690881376
115_231,2010,3,12.68280807757888
115_231,2015,3,62.48533493825291
115_231,2017,3,69.92949076948344
115_232,2000,3,0.0
115_232,2005,3,0.0
115_232,2010,3,0.0
115_232,2015,3,0.0
115_232,2017,3,0.0
115_262,2000,3,0.0
115_262,2005,3,0.0
115_262,2010,3,0.0
115_262,2015,3,0.0
115_262,2017,3,0.0
115_404,2000,3,-9.724541511561274
115_404,2005,3,19.964243724383607
115_404,2010,3,40.62405481374888
115_404,2015,3,-14.381563299593514
115_404,2017,3,-7.2896627574154955
115_706,2000,3,0.0
115_706,2005,3,0.0
115_706,2010,3,0.0
115_706,2015,3,0.0
115_706,2017,3,0.0
115_728,2000,3,0.0
115_728,2005,3,0.0
115_728,2010,3,0.0
115_728,2015,3,0.0
115_728,2017,3,0.0
115_800,2000,3,0.0
115_800,2005,3,0.0
115_800,2010,3,0.0
115_800,2015,3,0.0
115_800,2017,3,0.0
115_834,2000,3,0.0
115_834,2005,3,0.0
115_834,2010,3,0.0
115_834,2015,3,0.0
115_834,2017,3,0.0
116_834,2000,3,0.0
116_834,2005,3,0.0
116_834,2010,3,0.0
116_834,2015,3,0.0
116_834,2017,3,0.0
116_894,2000,3,0.0
116_894,2005,3,0.0
116_894,2010,3,0.0
116_894,2015,3,0.0
116_894,2017,3,0.0
117_404,2000,3,1.0715886264322005
117_404,2005,3,0.5263634898105597
117_404,2010,3,1.3208534198143396
117_404,2015,3,-35.2939237233846
117_404,2017,3,-35.2939237233846
117_454,2000,3,0.0
117_454,2005,3,0.0
117_454,2010,3,0.0
117_454,2015,3,0.0
117_454,2017,3,0.0
117_508,2000,3,6.814729005495746
117_508,2005,3,-4.193154196810401
117_508,2010,3,1.8005621817122133
117_508,2015,3,3.3196442657491385
117_508,2017,3,-5.899013325971983
117_706,2000,3,0.0
117_706,2005,3,0.0
117_706,2010,3,0.0
117_706,2015,3,0.0
117_706,2017,3,0.0
117_834,2000,3,5.587982286737399
117_834,2005,3,37.39441442826775
117_834,2010,3,-22.110277108882237
117_834,2015,3,-1.4923162044119107
117_834,2017,3,1.4923162044119107
121_508,2000,3,0.0
121_508,2005,3,0.0
121_508,2010,3,0.0
121_508,2015,3,0.0
121_508,2017,3,0.0
122_180,2000,3,0.0
122_180,2005,3,0.0
122_180,2010,3,0.0
122_180,2015,3,0.0
122_180,2017,3,0.0
122_24,2000,3,0.0
122_24,2005,3,0.0
122_24,2010,3,0.0
122_24,2015,3,0.0
122_24,2017,3,0.0
122_454,2000,3,0.0
122_454,2005,3,0.0
122_454,2010,3,0.0
122_454,2015,3,0.0
122_454,2017,3,0.0
122_508,2000,3,-5.548017795334615
122_508,2005,3,0.8233317193522504
122_508,2010,3,0.9914227377804912
122_508,2015,3,-7.377185143673016
122_508,2017,3,-0.5689291998600243
122_516,2000,3,0.0
122_516,2005,3,0.0
122_516,2010,3,0.0
122_516,2015,3,0.0
122_516,2017,3,0.0
122_716,2000,3,0.9726707779596858
122_716,2005,3,-4.705206624022198
122_716,2010,3,1.3628745504378705
122_716,2015,3,-5.255220081263088
122_716,2017,3,-4.683004275728156
122_72,2000,3,0.0
122_72,2005,3,0.0
122_72,2010,3,0.0
122_72,2015,3,0.0
122_72,2017,3,0.0
122_834,2000,3,0.0
122_834,2005,3,0.0
122_834,2010,3,0.0
122_834,2015,3,0.0
122_834,2017,3,0.0
122_894,2000,3,2.500896114314962
122_894,2005,3,-3.589404433166344
122_894,2010,3,2.2600107379889574
122_894,2015,3,-7.1321184489082246
122_894,2017,3,-5.280955727697779
123_508,2000,3,22.974201940775295
123_508,2005,3,11.531753072602779
123_508,2010,3,-31.083308755810858
123_508,2015,3,-1.6774836353785305
123_508,2017,3,16.335260614228492
123_716,2000,3,13.9599129015007
123_716,2005,3,2.1261258912504437
123_716,2010,3,-11.824132230629548
123_716,2015,3,-7.552129145050383
123_716,2017,3,9.827588228823537
124_508,2000,3,-25.600345470370083
124_508,2005,3,-11.600342710487526
124_508,2010,3,11.385440193977646
124_508,2015,3,1.4822745726436883
124_508,2017,3,-1.7157655346389744
124_710,2000,3,6.93554530131829
124_710,2005,3,-4.998070836058068
124_710,2010,3,6.859613709521997
124_710,2015,3,-12.06696976839815
124_710,2017,3,-12.06696976839815
124_716,2000,3,8.75428582436537
124_716,2005,3,0.11974849110141458
124_716,2010,3,-3.0818055655202707
124_716,2015,3,-4.17682582347928
124_716,2017,3,11.97575970274937
124_72,2000,3,-11.325233264765519
124_72,2005,3,-1.5511377546897986
124_72,2010,3,-5.552208540039278
124_72,2015,3,82.84331098639969
124_72,2017,3,93.77636279060745
125_426,2000,3,0.0
125_426,2005,3,0.0
125_426,2010,3,0.0
125_426,2015,3,0.0
125_426,2017,3,0.0
125_508,2000,3,9.766602299945484
125_508,2005,3,-2.8820789196192305
125_508,2010,3,8.26460096831458
