id_bgl,start_year,basin_level,permanent_area
111045_729,2005,6,0.0
111045_729,2010,6,0.0
111045_729,2015,6,0.0
111045_729,2017,6,0.0
111046_729,2000,6,0.0
111046_729,2005,6,0.0
111046_729,2010,6,0.0
111046_729,2015,6,0.0
111046_729,2017,6,0.0
111047_729,2000,6,0.0
111047_729,2005,6,0.0
111047_729,2010,6,0.0
111047_729,2015,6,0.0
111047_729,2017,6,0.0
111048_729,2000,6,0.0
111048_729,2005,6,0.0
111048_729,2010,6,0.0
111048_729,2015,6,0.0
111048_729,2017,6,0.0
111049_729,2000,6,0.0
111049_729,2005,6,0.0
111049_729,2010,6,0.0
111049_729,2015,6,0.0
111049_729,2017,6,0.0
111050_729,2000,6,0.0
111050_729,2005,6,0.0
111050_729,2010,6,0.0
111050_729,2015,6,0.0
111050_729,2017,6,0.0
111060_729,2000,6,0.0
111060_729,2005,6,0.0
111060_729,2010,6,0.0
111060_729,2015,6,0.0
111060_729,2017,6,0.0
111070_729,2000,6,0.0
111070_729,2005,6,0.0
111070_729,2010,6,0.0
111070_729,2015,6,0.0
111070_729,2017,6,0.0
111081_232,2000,6,0.0
111081_232,2005,6,0.0
111081_232,2010,6,0.0
111081_232,2015,6,0.0
111081_232,2017,6,0.0
111081_729,2000,6,0.0
111081_729,2005,6,0.0
111081_729,2010,6,0.0
111081_729,2015,6,0.0
111081_729,2017,6,0.0
111082_232,2000,6,0.0
111082_232,2005,6,0.0
111082_232,2010,6,0.0
111082_232,2015,6,0.0
111082_232,2017,6,0.0
111082_729,2000,6,0.0
111082_729,2005,6,0.0
111082_729,2010,6,0.0
111082_729,2015,6,0.0
111082_729,2017,6,0.0
111083_232,2000,6,0.0
111083_232,2005,6,0.0
111083_232,2010,6,0.0
111083_232,2015,6,0.0
111083_232,2017,6,0.0
111083_729,2000,6,0.0
111083_729,2005,6,0.0
111083_729,2010,6,0.0
111083_729,2015,6,0.0
111083_729,2017,6,0.0
111084_232,2000,6,0.0
111084_232,2005,6,0.0
111084_232,2010,6,0.0
111084_232,2015,6,0.0
111084_232,2017,6,0.0
111084_729,2000,6,0.0
111084_729,2005,6,0.0
111084_729,2010,6,0.0
111084_729,2015,6,0.0
111084_729,2017,6,0.0
111085_232,2000,6,0.0
111085_232,2005,6,0.0
111085_232,2010,6,0.0
111085_232,2015,6,0.0
111085_232,2017,6,0.0
111085_729,2000,6,0.0
111085_729,2005,6,0.0
111085_729,2010,6,0.0
111085_729,2015,6,0.0
111085_729,2017,6,0.0
111086_232,2000,6,0.0
111086_232,2005,6,0.0
111086_232,2010,6,0.0
111086_232,2015,6,0.0
111086_232,2017,6,0.0
111087_232,2000,6,0.0
111087_232,2005,6,0.0
111087_232,2010,6,0.0
111088_232,2000,6,0.0
111088_232,2005,6,0.0
111088_232,2010,6,0.0
111088_232,2015,6,0.0
111088_232,2017,6,0.0
111089_232,2000,6,0.5565882113390705
111089_232,2005,6,3.3776217223239913e-06
111089_232,2010,6,0.37105436244242523
111089_232,2015,6,-16.511869477652567
111089_232,2017,6,5.565784062284914
111090_232,2000,6,0.0
111090_232,2005,6,0.0
111090_232,2010,6,0.0
111090_232,2015,6,0.0
111090_232,2017,6,0.0
111091_729,2000,6,0.0
111091_729,2005,6,0.0
111091_729,2010,6,0.0
111091_729,2015,6,0.0
111091_729,2017,6,0.0
111092_729,2000,6,0.0
111092_729,2005,6,0.0
111092_729,2010,6,0.0
111092_729,2015,6,0.0
111092_729,2017,6,0.0
111093_232,2000,6,0.0
111093_232,2005,6,0.0
111093_232,2010,6,0.0
111093_232,2015,6,0.0
111093_232,2017,6,0.0
111093_729,2000,6,0.0
111093_729,2005,6,0.0
111093_729,2010,6,0.0
111093_729,2015,6,0.0
111093_729,2017,6,0.0
111094_232,2000,6,0.0
111094_232,2005,6,0.0
111094_232,2010,6,0.0
111094_232,2015,6,0.0
111094_232,2017,6,0.0
111095_232,2000,6,0.0
111095_232,2005,6,0.0
111095_232,2010,6,0.0
111095_232,2015,6,0.0
111095_232,2017,6,0.0
111096_232,2000,6,0.0
111096_232,2005,6,0.0
111096_232,2010,6,0.0
111096_232,2015,6,0.0
111096_232,2017,6,0.0
111097_232,2000,6,0.0
111097_232,2005,6,0.0
111097_232,2010,6,0.0
111097_232,2015,6,0.0
111097_232,2017,6,0.0
111098_232,2000,6,0.0
111098_232,2005,6,0.0
111098_232,2010,6,0.0
111098_232,2015,6,0.0
111098_232,2017,6,0.0
111099_232,2000,6,0.0
111099_232,2005,6,0.0
111099_232,2010,6,0.0
111099_232,2015,6,0.0
111099_232,2017,6,0.0
112011_706,2000,6,0.0
112011_706,2005,6,0.0
112011_706,2010,6,0.0
112011_706,2015,6,0.0
112011_706,2017,6,0.0
112012_231,2000,6,0.0
112012_231,2005,6,0.0
112012_231,2010,6,0.0
112012_231,2015,6,0.0
112012_231,2017,6,0.0
112012_706,2000,6,0.0
112012_706,2005,6,0.0
112012_706,2010,6,0.0
112012_706,2015,6,0.0
112012_706,2017,6,0.0
112013_231,2000,6,0.0
112013_231,2005,6,0.0
112013_231,2010,6,0.0
112013_231,2015,6,0.0
112013_231,2017,6,0.0
112013_706,2000,6,0.0
112013_706,2005,6,0.0
112013_706,2010,6,0.0
112013_706,2015,6,0.0
112013_706,2017,6,0.0
112014_231,2000,6,0.0
112014_231,2005,6,0.0
112014_231,2010,6,0.0
112014_231,2015,6,0.0
112014_231,2017,6,0.0
112014_706,2000,6,0.0
112014_706,2005,6,0.0
112014_706,2010,6,0.0
112014_706,2015,6,0.0
112014_706,2017,6,0.0
112015_706,2000,6,0.0
112015_706,2005,6,0.0
112015_706,2010,6,0.0
112015_706,2015,6,0.0
112015_706,2017,6,0.0
112016_231,2000,6,0.0
112016_231,2005,6,0.0
112016_231,2010,6,0.0
112016_231,2015,6,0.0
112016_231,2017,6,0.0
112016_706,2000,6,0.0
112016_706,2005,6,0.0
112016_706,2010,6,0.0
112016_706,2015,6,0.0
112016_706,2017,6,0.0
112017_231,2000,6,0.0
112017_231,2005,6,0.0
112017_231,2010,6,0.0
112017_231,2015,6,0.0
112017_231,2017,6,0.0
112017_706,2000,6,0.0
112017_706,2005,6,0.0
112017_706,2010,6,0.0
112017_706,2015,6,0.0
112017_706,2017,6,0.0
112018_231,2000,6,0.0
112018_231,2005,6,0.0
112018_231,2010,6,0.0
112018_231,2015,6,0.0
112018_231,2017,6,0.0
112018_706,2000,6,0.0
112018_706,2005,6,0.0
112018_706,2010,6,0.0
112018_706,2015,6,0.0
112018_706,2017,6,0.0
112019_231,2000,6,0.0
112019_231,2005,6,0.0
112019_231,2010,6,0.0
112019_231,2015,6,0.0
112019_231,2017,6,0.0
112019_706,2000,6,0.0
112019_706,2005,6,0.0
112019_706,2010,6,0.0
112019_706,2015,6,0.0
112019_706,2017,6,0.0
112020_706,2000,6,0.0
112020_706,2005,6,0.0
112020_706,2010,6,0.0
112020_706,2015,6,0.0
112020_706,2017,6,0.0
112030_706,2000,6,0.0
112030_706,2005,6,0.0
112030_706,2010,6,0.0
112030_706,2015,6,0.0
112030_706,2017,6,0.0
112041_706,2000,6,0.0
112041_706,2005,6,0.0
112041_706,2010,6,0.0
112041_706,2015,6,0.0
112041_706,2017,6,0.0
112042_706,2000,6,0.0
112042_706,2005,6,0.0
112042_706,2010,6,0.0
112042_706,2015,6,0.0
112042_706,2017,6,0.0
112043_706,2000,6,0.0
112043_706,2005,6,0.0
112043_706,2010,6,0.0
112043_706,2015,6,0.0
112043_706,2017,6,0.0
112044_706,2000,6,0.0
112044_706,2005,6,0.0
112044_706,2010,6,0.0
112044_706,2015,6,0.0
112044_706,2017,6,0.0
112045_706,2000,6,0.0
112045_706,2005,6,0.0
112045_706,2010,6,0.0
112045_706,2015,6,0.0
112045_706,2017,6,0.0
112046_231,2000,6,0.0
112046_231,2005,6,0.0
112046_231,2010,6,0.0
112046_231,2015,6,0.0
112046_231,2017,6,0.0
112046_706,2000,6,0.0
112046_706,2005,6,0.0
112046_706,2010,6,0.0
112046_706,2015,6,0.0
112046_706,2017,6,0.0
112047_231,2000,6,0.0
112047_231,2005,6,0.0
112047_231,2010,6,0.0
112047_231,2015,6,0.0
112047_231,2017,6,0.0
112047_706,2000,6,0.0
112047_706,2005,6,0.0
112047_706,2010,6,0.0
112047_706,2015,6,0.0
112047_706,2017,6,0.0
112048_231,2000,6,0.0
112048_231,2005,6,0.0
112048_231,2010,6,0.0
112048_231,2015,6,0.0
112048_231,2017,6,0.0
112049_231,2000,6,0.0
112049_231,2005,6,0.0
112049_231,2010,6,0.0
112049_231,2015,6,0.0
112049_231,2017,6,0.0
112050_706,2000,6,0.0
112050_706,2005,6,0.0
112050_706,2010,6,0.0
112050_706,2015,6,0.0
112050_706,2017,6,0.0
112060_706,2000,6,0.0
112060_706,2005,6,0.0
112060_706,2010,6,0.0
112060_706,2015,6,0.0
112060_706,2017,6,0.0
112070_706,2000,6,0.0
112070_706,2005,6,0.0
112070_706,2010,6,0.0
112070_706,2015,6,0.0
112070_706,2017,6,0.0
112111_231,2000,6,0.0
112111_231,2005,6,0.0
112111_231,2010,6,0.0
