id_bgl,start_year,basin_level,permanent_area
11101_818,2000,5,0.0
11101_818,2005,5,0.0
11101_818,2010,5,0.0
11101_818,2015,5,0.0
11101_818,2017,5,0.0
11102_729,2000,5,0.0
11102_729,2005,5,0.0
11102_729,2010,5,0.0
11102_729,2015,5,0.0
11102_729,2017,5,0.0
11102_818,2000,5,0.0
11102_818,2005,5,0.0
11102_818,2010,5,0.0
11102_818,2015,5,0.0
11102_818,2017,5,0.0
11103_729,2000,5,0.0
11103_729,2005,5,0.0
11103_729,2010,5,0.0
11103_729,2015,5,0.0
11103_729,2017,5,0.0
11103_818,2000,5,0.0
11103_818,2005,5,0.0
11103_818,2010,5,0.0
11103_818,2015,5,0.0
11103_818,2017,5,0.0
11104_729,2000,5,0.0
11104_729,2005,5,0.0
11104_729,2010,5,0.0
11104_729,2015,5,0.0
11104_729,2017,5,0.0
11105_729,2000,5,0.0
11105_729,2005,5,0.0
11105_729,2010,5,0.0
11105_729,2015,5,0.0
11105_729,2017,5,0.0
11106_729,2000,5,0.0
11106_729,2005,5,0.0
11106_729,2010,5,0.0
11106_729,2015,5,0.0
11106_729,2017,5,0.0
11107_729,2000,5,0.0
11107_729,2005,5,0.0
11107_729,2010,5,0.0
11107_729,2015,5,0.0
11107_729,2017,5,0.0
11108_232,2000,5,-0.36764061880368015
11108_232,2005,5,-0.9191098080974064
11108_232,2010,5,0.0
11108_232,2015,5,6909.7965306720225
11108_232,2017,5,6909.7965306720225
11108_729,2000,5,0.0
11108_729,2005,5,0.0
11108_729,2010,5,0.0
11108_729,2015,5,0.0
11108_729,2017,5,0.0
11109_232,2000,5,0.0
11109_232,2005,5,0.0
11109_232,2010,5,0.0
11109_232,2015,5,0.0
11109_232,2017,5,0.0
11109_729,2000,5,0.0
11109_729,2005,5,0.0
11109_729,2010,5,0.0
11109_729,2015,5,0.0
11109_729,2017,5,0.0
11201_231,2000,5,0.0
11201_231,2005,5,0.0
11201_231,2010,5,0.0
11201_231,2015,5,0.0
11201_231,2017,5,0.0
11201_706,2000,5,0.0
11201_706,2005,5,0.0
11201_706,2010,5,0.0
11201_706,2015,5,0.0
11201_706,2017,5,0.0
11202_706,2000,5,0.0
11202_706,2005,5,0.0
11202_706,2010,5,0.0
11202_706,2015,5,0.0
11202_706,2017,5,0.0
11203_706,2000,5,0.0
11203_706,2005,5,0.0
11203_706,2010,5,0.0
11203_706,2015,5,0.0
11203_706,2017,5,0.0
11204_231,2000,5,0.0
11204_231,2005,5,0.0
11204_231,2010,5,0.0
11204_231,2015,5,0.0
11204_231,2017,5,0.0
11204_706,2000,5,0.0
11204_706,2005,5,0.0
11204_706,2010,5,0.0
11204_706,2015,5,0.0
11204_706,2017,5,0.0
11205_706,2000,5,0.0
11205_706,2005,5,0.0
11205_706,2010,5,0.0
11205_706,2015,5,0.0
11205_706,2017,5,0.0
11206_706,2000,5,0.0
11206_706,2005,5,0.0
11206_706,2010,5,0.0
11206_706,2015,5,0.0
11206_706,2017,5,0.0
11207_706,2000,5,0.0
11207_706,2005,5,0.0
11207_706,2010,5,0.0
11207_706,2015,5,0.0
11207_706,2017,5,0.0
11211_231,2000,5,0.0
11211_231,2005,5,0.0
11211_231,2010,5,0.0
11211_231,2015,5,0.0
11211_231,2017,5,0.0
11211_232,2000,5,0.0
11211_232,2005,5,0.0
11211_232,2010,5,0.0
11211_232,2015,5,0.0
11211_232,2017,5,0.0
11211_262,2000,5,0.0
11211_262,2005,5,0.0
11211_262,2010,5,0.0
11211_262,2015,5,0.0
11211_262,2017,5,0.0
11211_706,2000,5,0.0
11211_706,2005,5,0.0
11211_706,2010,5,0.0
11211_706,2015,5,0.0
11211_706,2017,5,0.0
11212_706,2000,5,0.0
11212_706,2005,5,0.0
11212_706,2010,5,0.0
11212_706,2015,5,0.0
11212_706,2017,5,0.0
11213_706,2000,5,0.0
11213_706,2005,5,0.0
11213_706,2010,5,0.0
11213_706,2015,5,0.0
11213_706,2017,5,0.0
11214_706,2000,5,0.0
11214_706,2005,5,0.0
11214_706,2010,5,0.0
11214_706,2015,5,0.0
11214_706,2017,5,0.0
11215_706,2000,5,0.0
11215_706,2005,5,0.0
11215_706,2010,5,0.0
11215_706,2015,5,0.0
11215_706,2017,5,0.0
11216_706,2000,5,0.0
11216_706,2005,5,0.0
11216_706,2010,5,0.0
11216_706,2015,5,0.0
11216_706,2017,5,0.0
11217_706,2000,5,0.0
11217_706,2005,5,0.0
11217_706,2010,5,0.0
11217_706,2015,5,0.0
11217_706,2017,5,0.0
11218_706,2000,5,0.0
11218_706,2005,5,0.0
11218_706,2010,5,0.0
11218_706,2015,5,0.0
11218_706,2017,5,0.0
11219_706,2000,5,0.0
11219_706,2005,5,0.0
11219_706,2010,5,0.0
11219_706,2015,5,0.0
11219_706,2017,5,0.0
11220_706,2000,5,0.0
11220_706,2005,5,0.0
11220_706,2010,5,0.0
11220_706,2015,5,0.0
11220_706,2017,5,0.0
11230_706,2000,5,0.0
11230_706,2005,5,0.0
11230_706,2010,5,0.0
11230_706,2015,5,0.0
11230_706,2017,5,0.0
11240_706,2000,5,0.0
11240_706,2005,5,0.0
11240_706,2010,5,0.0
11240_706,2015,5,0.0
11240_706,2017,5,0.0
11250_706,2000,5,0.0
11250_706,2005,5,0.0
11250_706,2010,5,0.0
11250_706,2015,5,0.0
11250_706,2017,5,0.0
11260_706,2000,5,0.0
11260_706,2005,5,0.0
11260_706,2010,5,0.0
11260_706,2015,5,0.0
11260_706,2017,5,0.0
11270_706,2000,5,0.0
11270_706,2005,5,0.0
11270_706,2010,5,0.0
11270_706,2015,5,0.0
11270_706,2017,5,0.0
11280_706,2000,5,0.0
11280_706,2005,5,0.0
11280_706,2010,5,0.0
11280_706,2015,5,0.0
11280_706,2017,5,0.0
11290_706,2000,5,0.0
11290_706,2005,5,0.0
11290_706,2010,5,0.0
11290_706,2015,5,0.0
11290_706,2017,5,0.0
11300_887,2000,5,0.0
11300_887,2005,5,0.0
11300_887,2010,5,0.0
11300_887,2015,5,0.0
11300_887,2017,5,0.0
11400_231,2000,5,0.0
11400_231,2005,5,0.0
11400_231,2010,5,0.0
11400_231,2015,5,0.0
11400_231,2017,5,0.0
11400_404,2000,5,0.0
11400_404,2005,5,0.0
11400_404,2010,5,0.0
11400_404,2015,5,0.0
11400_404,2017,5,0.0
11410_706,2000,5,0.0
11410_706,2005,5,0.0
11410_706,2010,5,0.0
11410_706,2015,5,0.0
11410_706,2017,5,0.0
11421_404,2000,5,0.0
11421_404,2005,5,0.0
11421_404,2010,5,0.0
11421_404,2015,5,0.0
11421_404,2017,5,0.0
11421_706,2000,5,0.0
11421_706,2005,5,0.0
11421_706,2010,5,0.0
11421_706,2015,5,0.0
11421_706,2017,5,0.0
11422_231,2000,5,0.0
11422_231,2005,5,0.0
11422_231,2010,5,0.0
11422_231,2015,5,0.0
11422_231,2017,5,0.0
11422_404,2000,5,0.0
11422_404,2005,5,0.0
11422_404,2010,5,0.0
11422_404,2015,5,0.0
11422_404,2017,5,0.0
11422_706,2000,5,0.0
11422_706,2005,5,0.0
11422_706,2010,5,0.0
11422_706,2015,5,0.0
11422_706,2017,5,0.0
11423_706,2000,5,0.0
11423_706,2005,5,0.0
11423_706,2010,5,0.0
11423_706,2015,5,0.0
11423_706,2017,5,0.0
11424_404,2000,5,0.0
11424_404,2005,5,0.0
11424_404,2010,5,0.0
11424_404,2015,5,0.0
11424_404,2017,5,0.0
11424_706,2000,5,0.0
11424_706,2005,5,0.0
11424_706,2010,5,0.0
11424_706,2015,5,0.0
11424_706,2017,5,0.0
11425_404,2000,5,0.0
11425_404,2005,5,0.0
11425_404,2010,5,0.0
11425_404,2015,5,0.0
11425_404,2017,5,0.0
11425_706,2000,5,0.0
11425_706,2005,5,0.0
11425_706,2010,5,0.0
11425_706,2015,5,0.0
