basin_level,num_basins,start_year,mean,std,aplha,thd_low,thd_high,neg,stable,pos
0,278,2017,0.2194801005543315,5.016068843874664,0.5,-2.2885543213830006,2.7275145224916635,30,191,57
0,278,2017,0.2194801005543315,5.016068843874664,1.0,-4.796588743320332,5.235548944428996,21,212,45
0,278,2017,0.2194801005543315,5.016068843874664,1.5,-7.304623165257665,7.7435833663663285,12,224,42
0,278,2017,0.2194801005543315,5.016068843874664,2.0,-9.812657587194996,10.25161778830366,7,235,36
0,278,2017,0.2194801005543315,5.016068843874664,2.5,-12.320692009132328,12.759652210240992,5,243,30
0,278,2017,0.2194801005543315,5.016068843874664,3.0,-14.828726431069661,15.267686632178325,4,247,27
0,278,2017,0.2194801005543315,5.016068843874664,4.0,-19.844795274944325,20.28375547605299,3,251,24
0,278,2017,0.2194801005543315,5.016068843874664,5.0,-24.860864118818988,25.29982431992765,2,253,23
3,778,2017,-0.0962460356902314,6.095627374668867,0.5,-3.144059723024665,2.951567651644202,76,565,137
3,778,2017,-0.0962460356902314,6.095627374668867,1.0,-6.191873410359098,5.999381338978636,53,609,116
3,778,2017,-0.0962460356902314,6.095627374668867,1.5,-9.239687097693533,9.04719502631307,39,638,101
3,778,2017,-0.0962460356902314,6.095627374668867,2.0,-12.287500785027966,12.095008713647502,28,668,82
3,778,2017,-0.0962460356902314,6.095627374668867,2.5,-15.335314472362398,15.142822400981935,21,682,75
3,778,2017,-0.0962460356902314,6.095627374668867,3.0,-18.383128159696835,18.19063608831637,16,693,69
3,778,2017,-0.0962460356902314,6.095627374668867,4.0,-24.4787555343657,24.286263462985236,13,704,61
3,778,2017,-0.0962460356902314,6.095627374668867,5.0,-30.574382909034565,30.3818908376541,12,710,56
4,2212,2017,-0.2264190422649588,5.02476409052992,0.5,-2.738801087529919,2.285963003000001,182,1708,322
4,2212,2017,-0.2264190422649588,5.02476409052992,1.0,-5.251183132794878,4.798345048264961,132,1809,271
4,2212,2017,-0.2264190422649588,5.02476409052992,1.5,-7.763565178059838,7.310727093529921,102,1867,243
4,2212,2017,-0.2264190422649588,5.02476409052992,2.0,-10.275947223324799,9.82310913879488,83,1918,211
4,2212,2017,-0.2264190422649588,5.02476409052992,2.5,-12.78832926858976,12.33549118405984,73,1948,191
4,2212,2017,-0.2264190422649588,5.02476409052992,3.0,-15.300711313854718,14.847873229324799,59,1975,178
4,2212,2017,-0.2264190422649588,5.02476409052992,4.0,-20.325475404384637,19.87263731985472,45,2006,161
4,2212,2017,-0.2264190422649588,5.02476409052992,5.0,-25.350239494914558,24.897401410384642,35,2029,148
5,6238,2017,-0.1316992644938262,2.9290253759643465,0.5,-1.5962119524759995,1.332813423488347,443,5087,708
5,6238,2017,-0.1316992644938262,2.9290253759643465,1.0,-3.0607246404581727,2.7973261114705203,370,5259,609
5,6238,2017,-0.1316992644938262,2.9290253759643465,1.5,-4.525237328440346,4.261838799452693,306,5377,555
5,6238,2017,-0.1316992644938262,2.9290253759643465,2.0,-5.989750016422519,5.726351487434867,260,5460,518
5,6238,2017,-0.1316992644938262,2.9290253759643465,2.5,-7.454262704404693,7.19086417541704,225,5523,490
5,6238,2017,-0.1316992644938262,2.9290253759643465,3.0,-8.918775392386866,8.655376863399212,201,5576,461
5,6238,2017,-0.1316992644938262,2.9290253759643465,4.0,-11.847800768351213,11.584402239363559,161,5683,394
5,6238,2017,-0.1316992644938262,2.9290253759643465,5.0,-14.77682614431556,14.513427615327906,133,5744,361
6,19163,2017,-0.0857345316429409,1.753821090649771,0.5,-0.9626450769678264,0.7911760136819447,1058,16404,1701
6,19163,2017,-0.0857345316429409,1.753821090649771,1.0,-1.839555622292712,1.6680865590068301,934,16715,1514
6,19163,2017,-0.0857345316429409,1.753821090649771,1.5,-2.7164661676175976,2.544997104331716,835,16950,1378
6,19163,2017,-0.0857345316429409,1.753821090649771,2.0,-3.593376712942483,3.4219076496566014,756,17125,1282
6,19163,2017,-0.0857345316429409,1.753821090649771,2.5,-4.470287258267368,4.298818194981487,682,17249,1232
6,19163,2017,-0.0857345316429409,1.753821090649771,3.0,-5.3471978035922545,5.175728740306373,632,17361,1170
6,19163,2017,-0.0857345316429409,1.753821090649771,4.0,-7.101018894242025,6.929549830956144,545,17553,1065
6,19163,2017,-0.0857345316429409,1.753821090649771,5.0,-8.854839984891797,8.683370921605913,488,17681,994
7,62716,2017,-0.0201986687742257,0.5465112684149,0.5,-0.29345430298167574,0.2530569654332243,2475,56464,3777
7,62716,2017,-0.0201986687742257,0.5465112684149,1.0,-0.5667099371891258,0.5263125996406743,2294,56891,3531
7,62716,2017,-0.0201986687742257,0.5465112684149,1.5,-0.8399655713965758,0.7995682338481244,2159,57187,3370
7,62716,2017,-0.0201986687742257,0.5465112684149,2.0,-1.1132212056040258,1.0728238680555744,2054,57422,3240
7,62716,2017,-0.0201986687742257,0.5465112684149,2.5,-1.3864768398114757,1.3460795022630243,1973,57629,3114
7,62716,2017,-0.0201986687742257,0.5465112684149,3.0,-1.6597324740189259,1.6193351364704744,1904,57814,2998
7,62716,2017,-0.0201986687742257,0.5465112684149,4.0,-2.2062437424338257,2.1658464048853747,1782,58121,2813
7,62716,2017,-0.0201986687742257,0.5465112684149,5.0,-2.7527550108487255,2.7123576733002746,1670,58366,2680
8,199144,2017,-0.0007770295402668,0.0474858226037737,0.5,-0.02451994084215365,0.022965881761620052,4989,186806,7349
8,199144,2017,-0.0007770295402668,0.0474858226037737,1.0,-0.048262852144040504,0.0467087930635069,4907,186967,7270
8,199144,2017,-0.0007770295402668,0.0474858226037737,1.5,-0.07200576344592735,0.07045170436539375,4860,187090,7194
8,199144,2017,-0.0007770295402668,0.0474858226037737,2.0,-0.0957486747478142,0.0941946156672806,4804,187227,7113
8,199144,2017,-0.0007770295402668,0.0474858226037737,2.5,-0.11949158604970106,0.11793752696916746,4765,187333,7046
8,199144,2017,-0.0007770295402668,0.0474858226037737,3.0,-0.14323449735158789,0.1416804382710543,4716,187453,6975
8,199144,2017,-0.0007770295402668,0.0474858226037737,4.0,-0.1907203199553616,0.18916626087482802,4629,187664,6851
8,199144,2017,-0.0007770295402668,0.0474858226037737,5.0,-0.2382061425591353,0.23665208347860173,4553,187859,6732
