id_bgl,start_year,basin_level,seasonal_area
1110_232,2000,4,-17.19249512154486
1110_232,2005,4,-18.728308043700487
1110_232,2010,4,769.1064938854288
1110_232,2015,4,1229.8830337224726
1110_232,2017,4,1133.756387603068
1110_729,2000,4,0.0
1110_729,2005,4,0.0
1110_729,2010,4,0.0
1110_729,2015,4,0.0
1110_729,2017,4,0.0
1110_818,2000,4,0.0
1110_818,2005,4,0.0
1110_818,2010,4,0.0
1110_818,2015,4,0.0
1110_818,2017,4,0.0
1120_231,2000,4,0.0
1120_231,2005,4,0.0
1120_231,2010,4,0.0
1120_231,2015,4,0.0
1120_231,2017,4,0.0
1120_706,2000,4,0.0
1120_706,2005,4,0.0
1120_706,2010,4,0.0
1120_706,2015,4,0.0
1120_706,2017,4,0.0
1121_231,2000,4,0.0
1121_231,2005,4,0.0
1121_231,2010,4,0.0
1121_231,2015,4,0.0
1121_231,2017,4,0.0
1121_232,2000,4,0.0
1121_232,2005,4,0.0
1121_232,2010,4,0.0
1121_232,2015,4,0.0
1121_232,2017,4,0.0
1121_262,2000,4,0.0
1121_262,2005,4,0.0
1121_262,2010,4,0.0
1121_262,2015,4,0.0
1121_262,2017,4,0.0
1121_706,2000,4,0.0
1121_706,2005,4,0.0
1121_706,2010,4,0.0
1121_706,2015,4,0.0
1121_706,2017,4,0.0
1122_706,2000,4,0.0
1122_706,2005,4,0.0
1122_706,2010,4,0.0
1122_706,2015,4,0.0
1122_706,2017,4,0.0
1123_706,2000,4,0.0
1123_706,2005,4,0.0
1123_706,2010,4,0.0
1123_706,2015,4,0.0
1123_706,2017,4,0.0
1124_706,2000,4,0.0
1124_706,2005,4,0.0
1124_706,2010,4,0.0
1124_706,2015,4,0.0
1124_706,2017,4,0.0
1125_706,2000,4,0.0
1125_706,2005,4,0.0
1125_706,2010,4,0.0
1125_706,2015,4,0.0
1125_706,2017,4,0.0
1126_706,2000,4,0.0
1126_706,2005,4,0.0
1126_706,2010,4,0.0
1126_706,2015,4,0.0
1126_706,2017,4,0.0
1127_706,2000,4,0.0
1127_706,2005,4,0.0
1127_706,2010,4,0.0
1127_706,2015,4,0.0
1127_706,2017,4,0.0
1128_706,2000,4,0.0
1128_706,2005,4,0.0
1128_706,2010,4,0.0
1128_706,2015,4,0.0
1128_706,2017,4,0.0
1129_706,2000,4,0.0
1129_706,2005,4,0.0
1129_706,2010,4,0.0
1129_706,2015,4,0.0
1129_706,2017,4,0.0
1130_887,2000,4,0.0
1130_887,2005,4,0.0
1130_887,2010,4,0.0
1130_887,2015,4,0.0
1130_887,2017,4,0.0
1140_231,2000,4,0.0
1140_231,2005,4,0.0
1140_231,2010,4,0.0
1140_231,2015,4,0.0
1140_231,2017,4,0.0
1140_404,2000,4,0.0
1140_404,2005,4,0.0
1140_404,2010,4,0.0
1140_404,2015,4,0.0
1140_404,2017,4,0.0
1141_706,2000,4,0.0
1141_706,2005,4,0.0
1141_706,2010,4,0.0
1141_706,2015,4,0.0
1141_706,2017,4,0.0
1142_231,2000,4,0.0
1142_231,2005,4,0.0
1142_231,2010,4,0.0
1142_231,2015,4,0.0
1142_231,2017,4,0.0
1142_404,2000,4,0.0
1142_404,2005,4,0.0
1142_404,2010,4,0.0
1142_404,2015,4,0.0
1142_404,2017,4,0.0
1142_706,2000,4,0.0
1142_706,2005,4,0.0
1142_706,2010,4,0.0
