id,t_score,u_score,p_t,p_u,p_u_thd_0.01
4,-1.7386202619500433,-43.5,0.09609346276209914,0.6833800574551345,0.0
8,4.642012414660701,90.5,0.0003618098466957316,0.006547287612860911,1.0
12,-1.3578114735952824,51.5,0.18906308952126083,0.9458048585528951,0.0
16,3.013304708484465,81.5,0.008212807510382381,0.035095797419284286,0.0
20,-4.5331634786074995,-10.5,0.0007558158270721847,0.008024002332133759,1.0
24,0.9575947635085789,65.5,0.3850474444693678,0.307900293130149,0.0
28,0.8602618109061585,55.5,0.4025518921965875,0.7339474627492532,0.0
31,7.214636572754464,79.5,7.471565966002871e-07,0.048689610702269216,0.0
32,-0.9249990484527534,-34.5,0.3927780647378423,0.307900293130149,0.0
36,-1.354485170022596,-38.5,0.2030452154850836,0.4546204062737812,0.0
40,3.259301719826245,82.5,0.005449461048264468,0.029613094352645416,0.0
44,4.344001573789457,86.5,0.0005949410125438943,0.014399864726701132,0.0
48,-0.6239688724944891,-43.5,0.5390989000776569,0.6833800574551345,0.0
50,0.7401727649566834,56.5,0.47576156845530326,0.6833800574551345,0.0
51,4.253764274231291,88.5,0.00036238888532986194,0.00979219587072503,1.0
52,1.317065690982758,-62.5,0.24161482791955144,0.4146659024229229,0.0
56,3.413721905486757,89.5,0.015274412705716093,0.008024002332133759,1.0
60,4.126759254616911,92.5,0.003920061443293888,0.004303876558312955,1.0
64,-0.3076355075429126,-25.5,0.7611282184068051,0.10280164223951978,0.0
68,-4.049104068488322,-14.5,0.0006442425776274886,0.017352389190761427,0.0
70,0.9408566044233277,55.5,0.3611037834741385,0.7339474627492532,0.0
72,0.6216442131995559,59.5,0.5593557253955131,0.5406815690956761,0.0
76,-2.3005795552039583,-23.5,0.04786727974281902,0.0771659313616824,0.0
84,-0.6280826783740339,-39.5,0.5556383906370403,0.49665738654204294,0.0
90,6.63386108031146,90.5,2.3586303727596935e-06,0.006547287612860911,1.0
92,1.7453388130788838,71.5,0.11231203313324,0.1534378834105726,0.0
96,4.22312735973299,92.5,0.0053675864618901665,0.004303876558312955,1.0
100,0.3224998956658064,-53.5,0.7542337770120413,0.838410115171209,0.0
104,4.294553450391223,78.5,0.00027935765223592503,0.05699830641051993,0.0
108,2.871260083730243,82.5,0.027337165434423175,0.029613094352645416,0.0
112,-0.2949327067306182,-44.5,0.7768254224434563,0.7339474627492532,0.0
116,0.606354898310928,56.5,0.5704423599602572,0.6833800574551345,0.0
120,-3.814918614099831,-10.5,0.007401323586085892,0.008024002332133759,1.0
124,2.0484404109530443,68.5,0.052333083794159185,0.2211162550702167,0.0
132,-3.6230287438078066,-20.5,0.0020415438101718513,0.048689610702269216,0.0
136,5.446309626862965,91.5,1.6197777215390202e-05,0.005319686062957794,1.0
140,1.1690410710785624,72.5,0.2880389491905906,0.13479216155813392,0.0
144,1.7105183925032632,73.5,0.1490411022339131,0.11794806736103866,0.0
148,3.340200217239568,94.5,0.02415605980086499,0.002781224934389138,1.0
152,2.4817298859322525,86.5,0.0592202282245621,0.014399864726701132,0.0
156,5.95986165863235,95.5,1.4402924198151404e-05,0.0022214145869887034,1.0
162,0.9532808676017416,76.0,0.3514996947454171,0.0561377186194892,0.0
166,0.7646014547562571,,0.4778762990780516,0.3833285226481784,0.0
170,-2.0371109057824004,-27.5,0.07051852420816668,0.13479216155813392,0.0
174,1.7388225761661207,82.5,0.1381956786665701,0.029613094352645416,0.0
175,-1.8865833210209848,-31.5,0.07453477789841173,0.2211162550702167,0.0
178,0.07510228678892387,-48.5,0.9430953750137371,0.9458048585528951,0.0
180,3.396716031732982,86.5,0.006609504201668823,0.014399864726701132,0.0
184,4.523918654338329,86.5,0.0001681088761388452,0.013747690848185086,0.0
188,1.3541180687120384,71.5,0.2111833665082294,0.1534378834105726,0.0
191,2.7056983049279077,68.5,0.01348828746701239,0.2211162550702167,0.0
192,2.4912626844014287,80.5,0.04783263997502793,0.04142253879330133,0.0
196,1.542647289846755,72.5,0.1797872449857252,0.13479216155813392,0.0
203,4.797227955160175,89.5,7.928207728422086e-05,0.008024002332133759,1.0
204,-0.670566700190112,-33.5,0.5136611295075897,0.27676572286017653,0.0
208,3.904519264655212,83.5,0.0019715041116131022,0.02488372328270136,0.0
212,-2.2781155636987793,-29.5,0.03992471296853025,0.17398281795260206,0.0
